outcome,kind,candidate,selected,log_loss,auc,C,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
andujak2,lasso,0,False,0.15807119692170793,0.4898820691503618,0.01,,,,,,,
andujak2,lasso,1,True,0.08648792394296417,0.8544775008189642,0.1,,,,,,,
andujak2,lasso,2,False,0.0882690946540104,0.8268113999821316,1.0,,,,,,,
andujak2,lasso,3,False,0.12144063567935845,0.7750379701599214,10.0,,,,,,,
andujak2,xgb,0,False,0.09092760212243442,0.8295214270824028,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
andujak2,xgb,1,False,0.08254388871402396,0.8593317251853837,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
andujak2,xgb,2,True,0.0820070598198838,0.8612525685696418,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
andujak2,xgb,3,False,0.08991910340302894,0.8188302212692457,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
