variable,p_value,selected,observed_n
sexo,0.016506933437857623,True,5742
insf_car,0.4051739280263109,False,5742
e_con_pp,0.19692577970885444,False,5742
e_con_cu,0.28028600052494956,False,5742
e_con_ec,0.4284500884059913,False,5742
e_con_lu,0.3828331305502468,False,5742
e_con_be,0.5495587567310688,False,5742
e_con_at,0.7140844733560519,False,5742
e_con_va,0.39722123381744123,False,5742
e_con_ar,0.2383222237158877,False,5742
e_con_ea,0.6361909555467171,False,5742
e_con_pr,0.6722417948031503,False,5742
e_con_ro,0.8324903508904791,False,5742
e_con_av,0.5756517893406531,False,5742
e_con_sm,0.4124012147121153,False,5742
sin_tvp_,0.0002269557784001652,True,5742
var171,0.035502160653712374,True,5742
tv_l_ein,1.0,False,5742
tvp_prox,0.28426030642005157,False,5742
fr_cance,0.6711800049789634,False,5742
fr_cirug,0.8909503828632844,False,5742
fr_inmov,0.02173596339862468,True,5742
fr_tvp_a,0.019907183663394255,True,5742
fr_viaje,0.20896846150044857,False,5742
fr_estro,0.3369332391720591,False,5742
fr_embar,0.7918265268269444,False,5742
fr_varic,0.37485233343950086,False,5742
fr_antec,0.07273872989026983,True,5742
ana_dime,0.04877262178732874,True,5742
ana_crea,0.2618725595404633,False,5742
edad,0.07832316963387163,True,5742
peso,0.07968313713907443,True,5742
tension_,0.058297330589582655,True,5742
ana_hemo,0.4151599892067347,False,5742
ana_plaq,0.0008772271016229949,True,5742
ana_leuc,0.03542159153637219,True,5742
female_under45,0.7916934476159854,False,5742
