Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,0.0,score >= threshold,False,356,30680,0,0,1.0,0.0,0.0114705503286506,,31036,0
Automatic Integer Score,1.0,score >= threshold,False,356,29886,794,0,1.0,0.02588005215123859,0.011771708220355797,1.0,30242,794
Automatic Integer Score,2.0,score >= threshold,False,356,27073,3607,0,1.0,0.11756844850065189,0.012978963870356193,1.0,27429,3607
Automatic Integer Score,3.0,score >= threshold,False,356,25640,5040,0,1.0,0.16427640156453716,0.013694414525311586,1.0,25996,5040
Automatic Integer Score,4.0,score >= threshold,False,356,13893,16787,0,1.0,0.5471642764015645,0.024984209418204787,1.0,14249,16787
Automatic Integer Score,5.0,score >= threshold,True,347,8914,21766,9,0.9747191011235955,0.7094524119947849,0.037468955836302775,0.9995866819747417,9261,21775
Automatic Integer Score,6.0,score >= threshold,False,307,6427,24253,49,0.8623595505617978,0.7905149934810952,0.04558954558954559,0.9979837050448522,6734,24302
Automatic Integer Score,7.0,score >= threshold,False,275,5342,25338,81,0.7724719101123596,0.8258800521512386,0.04895851878226812,0.9968134072937567,5617,25419
Automatic Integer Score,8.0,score >= threshold,False,231,4292,26388,125,0.648876404494382,0.8601043024771838,0.05107229714791068,0.9952853317240599,4523,26513
Automatic Integer Score,9.0,score >= threshold,False,132,2588,28092,224,0.3707865168539326,0.915645371577575,0.04852941176470588,0.9920892781466308,2720,28316
Automatic Integer Score,10.0,score >= threshold,False,83,1407,29273,273,0.23314606741573032,0.9541395045632334,0.05570469798657718,0.9907601705814661,1490,29546
Automatic Integer Score,11.0,score >= threshold,False,20,320,30360,336,0.056179775280898875,0.9895697522816167,0.058823529411764705,0.9890539483971853,340,30696
Automatic Integer Score,12.0,score >= threshold,False,5,74,30606,351,0.014044943820224719,0.9975880052151238,0.06329113924050633,0.988661692024421,79,30957
Automatic Integer Score,13.0,score >= threshold,False,2,15,30665,354,0.0056179775280898875,0.9995110821382008,0.11764705882352941,0.9885876398336504,17,31019
Automatic Integer Score,14.0,score >= threshold,False,1,0,30680,355,0.0028089887640449437,1.0,1.0,0.9885613017560818,1,31035
Association-Guided Integer Score,0.0,score <= threshold,False,25,1867,28813,331,0.0702247191011236,0.9391460234680573,0.013213530655391121,0.9886426022508922,1892,29144
Association-Guided Integer Score,1.0,score <= threshold,False,138,11336,19344,218,0.38764044943820225,0.6305084745762712,0.012027191912149206,0.9888559451998773,11474,19562
Association-Guided Integer Score,2.0,score <= threshold,False,238,19670,11010,118,0.6685393258426966,0.35886571056062583,0.011954992967651195,0.9893961179007909,19908,11128
Association-Guided Integer Score,3.0,score <= threshold,False,294,24982,5698,62,0.8258426966292135,0.18572359843546285,0.011631587276467795,0.9892361111111111,25276,5760
Association-Guided Integer Score,4.0,score <= threshold,False,298,25499,5181,58,0.8370786516853933,0.1688722294654498,0.011551730821413343,0.9889291849589616,25797,5239
Association-Guided Integer Score,5.0,score <= threshold,True,328,27631,3049,28,0.9213483146067416,0.09938070404172099,0.011731463929325083,0.9909002274943126,27959,3077
Association-Guided Integer Score,13.0,score <= threshold,False,328,27757,2923,28,0.9213483146067416,0.09527379400260756,0.01167883211678832,0.9905116909522196,28085,2951
Association-Guided Integer Score,14.0,score <= threshold,False,332,28040,2640,24,0.9325842696629213,0.08604954367666232,0.011701677710418723,0.990990990990991,28372,2664
Association-Guided Integer Score,17.0,score <= threshold,False,339,29000,1680,17,0.952247191011236,0.054758800521512385,0.0115545860458775,0.9899823217442546,29339,1697
Association-Guided Integer Score,18.0,score <= threshold,False,356,30680,0,0,1.0,0.0,0.0114705503286506,,31036,0
