Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,1.0,score >= threshold,False,1602,29535,0,0,1.0,0.0,0.05145004335677811,,31137,0
Automatic Integer Score,2.0,score >= threshold,False,1602,29488,47,0,1.0,0.0015913323175893008,0.051527822450948856,1.0,31090,47
Automatic Integer Score,3.0,score >= threshold,False,1602,27666,1869,0,1.0,0.0632808532249873,0.054735547355473556,1.0,29268,1869
Automatic Integer Score,4.0,score >= threshold,False,1602,18114,11421,0,1.0,0.3866937531742001,0.08125380401704199,1.0,19716,11421
Automatic Integer Score,5.0,score >= threshold,False,1602,11225,18310,0,1.0,0.6199424411714914,0.12489280424105402,1.0,12827,18310
Automatic Integer Score,6.0,score >= threshold,False,1602,6327,23208,0,1.0,0.7857795835449467,0.20204313280363223,1.0,7929,23208
Automatic Integer Score,7.0,score >= threshold,False,1602,5745,23790,0,1.0,0.8054850177755206,0.21804818293180891,1.0,7347,23790
Automatic Integer Score,8.0,score >= threshold,False,1602,5696,23839,0,1.0,0.8071440663619435,0.21951219512195122,1.0,7298,23839
Automatic Integer Score,9.0,score >= threshold,False,1601,5692,23843,1,0.9993757802746567,0.8072794988996106,0.21952557246674895,0.9999580607280658,7293,23844
Automatic Integer Score,10.0,score >= threshold,False,1585,5625,23910,17,0.9893882646691635,0.8095479939055358,0.21983356449375868,0.9992895055794709,7210,23927
Automatic Integer Score,11.0,score >= threshold,True,1523,5058,24477,79,0.9506866416978776,0.8287455561198578,0.23142379577571798,0.9967828636585763,6581,24556
Automatic Integer Score,12.0,score >= threshold,False,1351,3494,26041,251,0.8433208489388264,0.881699678347723,0.278844169246646,0.9904533698463411,4845,26292
Automatic Integer Score,13.0,score >= threshold,False,1134,2700,26835,468,0.7078651685393258,0.9085830370746572,0.29577464788732394,0.9828590264806065,3834,27303
Automatic Integer Score,14.0,score >= threshold,False,695,1285,28250,907,0.433832709113608,0.9564922972744202,0.351010101010101,0.9688925472442295,1980,29157
Automatic Integer Score,15.0,score >= threshold,False,538,813,28722,1064,0.3358302122347066,0.9724733367191468,0.3982235381199112,0.9642785201101188,1351,29786
Automatic Integer Score,16.0,score >= threshold,False,280,241,29294,1322,0.17478152309612985,0.9918401896055528,0.5374280230326296,0.9568199634178207,521,30616
Automatic Integer Score,17.0,score >= threshold,False,79,56,29479,1523,0.04931335830212235,0.9981039444726596,0.5851851851851851,0.9508741371524417,135,31002
Automatic Integer Score,18.0,score >= threshold,False,2,1,29534,1600,0.0012484394506866417,0.9999661418655832,0.6666666666666666,0.9486092374895613,3,31134
