Outcome,Model,Selected_Threshold,Sensitivity,Specificity,PPV,NPV,Tests_Avoided_per_1000,Missed_True_Positives_per_1000
Protein C deficiency,Automatic Integer Score,5.0,0.9747191011235955,0.7094524119947849,0.037468955836302775,0.9995866819747417,701.6045882201314,0.28998582291532415
Protein C deficiency,Association-Guided Integer Score,5.0,0.9213483146067416,0.09938070404172099,0.011731463929325083,0.9909002274943126,99.14293079005026,0.902178115736564
Protein S deficiency,Automatic Integer Score,8.0,0.9630118890356671,0.7945512714799301,0.10477148605921242,0.9988390413798822,776.0973098210837,0.9010168618869867
Protein S deficiency,Association-Guided Integer Score,7.0,1.0,0.0,0.024359634444587462,,0.0,0.0
Factor V Leiden,Automatic Integer Score,10.0,0.94873046875,0.8367687642669756,0.28853578853578854,0.9957429556051085,785.5345711646868,3.344055543170165
Factor V Leiden,Association-Guided Integer Score,3.0,0.90625,0.10135940853803958,0.06574100311703032,0.9393748026523524,100.86308481161821,6.114844421796873
Prothrombin G20210A,Automatic Integer Score,11.0,0.9506866416978776,0.8287455561198578,0.23142379577571798,0.9967828636585763,788.6437357484665,2.5371744227125284
Antiphospholipid syndrome,Automatic Integer Score,11.0,0.9638364779874213,0.8091533335588404,0.24582275096912176,0.9971238015839934,762.2890915445967,2.192494677639732
Antiphospholipid syndrome,Association-Guided Integer Score,1.0,1.0,0.0,0.06062724412951606,,0.0,0.0
