Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,0.0,score >= threshold,False,757,30319,0,0,1.0,0.0,0.024359634444587462,,31076,0
Automatic Integer Score,1.0,score >= threshold,False,757,30063,256,0,1.0,0.008443550249018767,0.024561972744970798,1.0,30820,256
Automatic Integer Score,2.0,score >= threshold,False,757,11185,19134,0,1.0,0.6310894158778324,0.06338971696533244,1.0,11942,19134
Automatic Integer Score,3.0,score >= threshold,False,757,7815,22504,0,1.0,0.742240839077806,0.08831077928138124,1.0,8572,22504
Automatic Integer Score,4.0,score >= threshold,False,757,6707,23612,0,1.0,0.7787855799993404,0.10142015005359056,1.0,7464,23612
Automatic Integer Score,5.0,score >= threshold,False,757,6487,23832,0,1.0,0.7860417559945908,0.1045002760905577,1.0,7244,23832
Automatic Integer Score,6.0,score >= threshold,False,757,6480,23839,0,1.0,0.7862726343217125,0.10460135415227304,1.0,7237,23839
Automatic Integer Score,7.0,score >= threshold,False,757,6479,23840,0,1.0,0.7863056169398727,0.10461580983969043,1.0,7236,23840
Automatic Integer Score,8.0,score >= threshold,True,729,6229,24090,28,0.9630118890356671,0.7945512714799301,0.10477148605921242,0.9988390413798822,6958,24118
Automatic Integer Score,9.0,score >= threshold,False,487,4006,26313,270,0.6433289299867899,0.8678716316501204,0.10839083018028044,0.9898431328292517,4493,26583
Automatic Integer Score,10.0,score >= threshold,False,236,1828,28491,521,0.31175693527080584,0.9397077740031003,0.11434108527131782,0.9820419136908866,2064,29012
Automatic Integer Score,11.0,score >= threshold,False,101,683,29636,656,0.1334214002642008,0.9774728717965632,0.1288265306122449,0.9783441172586822,784,30292
Automatic Integer Score,12.0,score >= threshold,False,38,190,30129,719,0.05019815059445178,0.9937333025495564,0.16666666666666666,0.9766921680497925,228,30848
Automatic Integer Score,13.0,score >= threshold,False,4,33,30286,753,0.005284015852047556,0.9989115736007125,0.10810810810810811,0.9757401978156512,37,31039
Automatic Integer Score,14.0,score >= threshold,False,0,11,30308,757,0.0,0.9996371912002375,0.0,0.9756317399002092,11,31065
Automatic Integer Score,15.0,score >= threshold,False,0,1,30318,757,0.0,0.9999670173818398,0.0,0.9756395816572808,1,31075
Association-Guided Integer Score,0.0,score <= threshold,False,57,2928,27391,700,0.07529722589167767,0.9034268940268478,0.019095477386934675,0.975080986792923,2985,28091
Association-Guided Integer Score,1.0,score <= threshold,False,363,15410,14909,394,0.4795244385733157,0.4917378541508625,0.023014011285107463,0.9742534143631968,15773,15303
Association-Guided Integer Score,2.0,score <= threshold,False,392,16832,13487,365,0.5178335535006605,0.4448365711270161,0.02275894101254064,0.9736500144383482,17224,13852
Association-Guided Integer Score,3.0,score <= threshold,False,528,22033,8286,229,0.6974900924702774,0.27329397407566214,0.02340321794246709,0.9731062830299472,22561,8515
Association-Guided Integer Score,4.0,score <= threshold,False,632,25834,4485,125,0.8348745046235139,0.14792704244862956,0.023879694702637348,0.972885032537961,26466,4610
Association-Guided Integer Score,6.0,score <= threshold,False,649,26524,3795,108,0.857331571994716,0.1251690359180712,0.023884002502484084,0.9723289777094543,27173,3903
Association-Guided Integer Score,7.0,score <= threshold,True,757,30319,0,0,1.0,0.0,0.024359634444587462,,31076,0
