Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,1.0,score >= threshold,False,1908,29563,0,0,1.0,0.0,0.06062724412951606,,31471,0
Automatic Integer Score,2.0,score >= threshold,False,1908,29202,361,0,1.0,0.012211209958393938,0.06133076181292189,1.0,31110,361
Automatic Integer Score,3.0,score >= threshold,False,1908,26413,3150,0,1.0,0.10655210905523797,0.0673705024540094,1.0,28321,3150
Automatic Integer Score,4.0,score >= threshold,False,1908,14564,14999,0,1.0,0.5073571694347664,0.11583292860611948,1.0,16472,14999
Automatic Integer Score,5.0,score >= threshold,False,1908,6335,23228,0,1.0,0.785711869566688,0.231469125318452,1.0,8243,23228
Automatic Integer Score,6.0,score >= threshold,False,1908,5778,23785,0,1.0,0.8045529885329635,0.24824355971896955,1.0,7686,23785
Automatic Integer Score,7.0,score >= threshold,False,1908,5742,23821,0,1.0,0.8057707269221662,0.24941176470588236,1.0,7650,23821
Automatic Integer Score,12.0,score >= threshold,False,1908,5722,23841,0,1.0,0.8064472482495011,0.25006553079947574,1.0,7630,23841
Automatic Integer Score,13.0,score >= threshold,True,1785,5491,24072,123,0.9355345911949685,0.8142610695802185,0.24532710280373832,0.9949163050216987,7276,24195
Automatic Integer Score,14.0,score >= threshold,False,1388,4321,25242,520,0.7274633123689728,0.8538375672293069,0.24312489052373445,0.9798152317366664,5709,25762
Automatic Integer Score,15.0,score >= threshold,False,658,2216,27347,1250,0.3448637316561845,0.9250414369312993,0.22894919972164232,0.9562891212364933,2874,28597
Automatic Integer Score,16.0,score >= threshold,False,251,731,28832,1657,0.13155136268343814,0.9752731454859115,0.2556008146639511,0.9456525304208075,982,30489
Automatic Integer Score,17.0,score >= threshold,False,119,367,29196,1789,0.062368972746331235,0.9875858336434056,0.2448559670781893,0.9422623850250121,486,30985
Automatic Integer Score,18.0,score >= threshold,False,5,10,29553,1903,0.002620545073375262,0.9996617393363326,0.3333333333333333,0.9395027975584944,15,31456
