variable_a,variable_b,cramers_v
ant_clau,ant_inf,0.1882782051952011
ant_inf,diabetes,0.18659214380439462
ant_isq,diabetes,0.13444522578882204
ant_clau,diabetes,0.12950834062374525
ant_inf,ant_isq,0.116822000081546
ant_clau,ant_isq,0.1046631956082495
ant_inf,eisq_ang,0.08717662024698052
e_con_at,e_con_pr,0.08550402137489799
e_con_av,e_con_be,0.07076105970475166
ant_inf,e_con_pp,0.04484520775443719
ant_isq,e_con_pr,0.04047178864650754
ant_clau,e_con_pp,0.040246451672095514
diabetes,eisq_ang,0.03675301468767634
ant_clau,eisq_ang,0.035818634056865
diabetes,e_con_pp,0.03391125646563157
e_con_ec,e_con_sm,0.030224713071474434
e_con_af,e_con_lu,0.03022157313598343
e_con_cu,e_con_ea,0.030163572114784702
diabetes,e_con_at,0.026355007827234767
e_con_cu,e_con_sm,0.026192507483405146
ant_isq,e_con_at,0.026162196102533685
e_con_ar,e_con_lu,0.02522109738956424
ant_isq,eisq_ang,0.02432620718564891
ant_clau,e_con_at,0.024235652509986064
ant_isq,e_con_pp,0.02087521558245094
