outcome,variable,selected,imputation
ana_dura,sexo,True,1
ana_dura,raza,True,1
ana_dura,ant_inf,True,1
ana_dura,ant_isq,True,1
ana_dura,ant_clau,True,1
ana_dura,fum_act,True,1
ana_dura,diabetes,True,1
ana_dura,hip_art,False,1
ana_dura,insf_car,True,1
ana_dura,fibr_aur,True,1
ana_dura,trat_est,True,1
ana_dura,e_con_pp,True,1
ana_dura,e_con_cu,True,1
ana_dura,e_con_ec,False,1
ana_dura,e_con_lu,True,1
ana_dura,e_con_be,True,1
ana_dura,e_con_at,True,1
ana_dura,e_con_va,True,1
ana_dura,e_con_ar,True,1
ana_dura,e_con_ea,True,1
ana_dura,e_con_pr,True,1
ana_dura,e_con_ro,True,1
ana_dura,e_con_av,True,1
ana_dura,e_con_sm,True,1
ana_dura,sin_tvp_,True,1
ana_dura,var171,True,1
ana_dura,tv_l_esu,True,1
ana_dura,tvp_orig,True,1
ana_dura,tv_l_ein,True,1
ana_dura,tvp_prox,True,1
ana_dura,tv_l_svc,True,1
ana_dura,tv_l_vre,True,1
ana_dura,tv_l_vrn,True,1
ana_dura,tv_l_vca,True,1
ana_dura,tv_l_yug,True,1
ana_dura,tv_l_ova,True,1
ana_dura,tv_l_sup,True,1
ana_dura,tv_l_pul,True,1
ana_dura,tv_l_ove,True,1
ana_dura,fr_cance,True,1
ana_dura,fr_cirug,True,1
ana_dura,fr_inmov,True,1
ana_dura,fr_tvp_a,True,1
ana_dura,fr_antfa,True,1
ana_dura,fr_tvs_a,True,1
ana_dura,fr_viaje,True,1
ana_dura,fr_estro,True,1
ana_dura,fr_embar,True,1
ana_dura,fr_varic,False,1
ana_dura,fr_antec,True,1
ana_dura,ana_dime,True,1
ana_dura,ana_crea,True,1
ana_dura,ana_trop,True,1
ana_dura,edad,True,1
ana_dura,peso,True,1
ana_dura,tension_,True,1
ana_dura,ana_hemo,True,1
ana_dura,ana_plaq,True,1
ana_dura,ana_leuc,True,1
ana_dura,ana_neu,True,1
ana_dura,protcrea,True,1
ana_dura,splanchnic,True,1
var156,sexo,True,1
var156,raza,True,1
var156,ant_inf,False,1
var156,ant_isq,True,1
var156,ant_clau,True,1
var156,fum_act,False,1
var156,diabetes,True,1
var156,hip_art,True,1
var156,insf_car,True,1
var156,fibr_aur,True,1
var156,trat_est,True,1
var156,e_con_pp,True,1
var156,e_con_cu,True,1
var156,e_con_ec,True,1
var156,e_con_lu,True,1
var156,e_con_be,True,1
var156,e_con_at,False,1
var156,e_con_va,False,1
var156,e_con_ar,False,1
var156,e_con_ea,True,1
var156,e_con_pr,True,1
var156,e_con_ro,True,1
var156,e_con_av,True,1
var156,e_con_sm,True,1
var156,sin_tvp_,True,1
var156,var171,True,1
var156,tv_l_esu,True,1
var156,tvp_orig,True,1
var156,tv_l_ein,True,1
var156,tvp_prox,True,1
var156,tv_l_svc,True,1
var156,tv_l_vre,True,1
var156,tv_l_vrn,True,1
var156,tv_l_vca,True,1
var156,tv_l_yug,True,1
var156,tv_l_ova,True,1
var156,tv_l_sup,True,1
var156,tv_l_pul,True,1
var156,tv_l_ove,True,1
var156,fr_cance,True,1
var156,fr_cirug,True,1
var156,fr_inmov,True,1
var156,fr_tvp_a,True,1
var156,fr_antfa,True,1
var156,fr_tvs_a,True,1
var156,fr_viaje,True,1
var156,fr_estro,True,1
var156,fr_embar,True,1
var156,fr_varic,True,1
var156,fr_antec,True,1
var156,ana_dime,True,1
var156,ana_crea,False,1
var156,ana_trop,True,1
var156,edad,True,1
var156,peso,True,1
var156,tension_,True,1
var156,ana_hemo,True,1
var156,ana_plaq,True,1
var156,ana_leuc,True,1
var156,ana_neu,True,1
var156,protcrea,True,1
var156,splanchnic,True,1
var157,sexo,True,1
var157,raza,True,1
var157,ant_inf,True,1
var157,ant_isq,False,1
var157,ant_clau,False,1
var157,fum_act,True,1
var157,diabetes,True,1
var157,hip_art,False,1
var157,insf_car,True,1
var157,fibr_aur,True,1
var157,trat_est,True,1
var157,e_con_pp,True,1
var157,e_con_cu,True,1
var157,e_con_ec,True,1
var157,e_con_lu,True,1
var157,e_con_be,True,1
var157,e_con_at,True,1
var157,e_con_va,False,1
var157,e_con_ar,False,1
var157,e_con_ea,False,1
var157,e_con_pr,True,1
var157,e_con_ro,True,1
var157,e_con_av,True,1
var157,e_con_sm,True,1
var157,sin_tvp_,True,1
var157,var171,True,1
var157,tv_l_esu,True,1
var157,tvp_orig,True,1
var157,tv_l_ein,True,1
var157,tvp_prox,True,1
var157,tv_l_svc,True,1
var157,tv_l_vre,True,1
var157,tv_l_vrn,True,1
var157,tv_l_vca,True,1
var157,tv_l_yug,True,1
var157,tv_l_ova,True,1
var157,tv_l_sup,True,1
var157,tv_l_pul,True,1
var157,tv_l_ove,True,1
var157,fr_cance,True,1
var157,fr_cirug,True,1
var157,fr_inmov,True,1
var157,fr_tvp_a,True,1
var157,fr_antfa,True,1
var157,fr_tvs_a,True,1
var157,fr_viaje,True,1
var157,fr_estro,True,1
var157,fr_embar,True,1
var157,fr_varic,True,1
var157,fr_antec,True,1
var157,ana_dime,True,1
var157,ana_crea,True,1
var157,ana_trop,True,1
var157,edad,True,1
var157,peso,True,1
var157,tension_,True,1
var157,ana_hemo,True,1
var157,ana_plaq,True,1
var157,ana_leuc,True,1
var157,ana_neu,True,1
var157,protcrea,True,1
var157,splanchnic,True,1
var161,sexo,False,1
var161,raza,True,1
var161,ant_inf,True,1
var161,ant_isq,True,1
var161,ant_clau,True,1
var161,fum_act,True,1
var161,diabetes,True,1
var161,hip_art,False,1
var161,insf_car,True,1
var161,fibr_aur,True,1
var161,trat_est,False,1
var161,e_con_pp,True,1
var161,e_con_cu,False,1
var161,e_con_ec,True,1
var161,e_con_lu,True,1
var161,e_con_be,True,1
var161,e_con_at,False,1
var161,e_con_va,True,1
var161,e_con_ar,False,1
var161,e_con_ea,True,1
var161,e_con_pr,True,1
var161,e_con_ro,True,1
var161,e_con_av,True,1
var161,e_con_sm,True,1
var161,sin_tvp_,True,1
var161,var171,True,1
var161,tv_l_esu,False,1
var161,tvp_orig,True,1
var161,tv_l_ein,True,1
var161,tvp_prox,True,1
var161,tv_l_svc,True,1
var161,tv_l_vre,True,1
var161,tv_l_vrn,True,1
var161,tv_l_vca,True,1
var161,tv_l_yug,True,1
var161,tv_l_ova,True,1
var161,tv_l_sup,True,1
var161,tv_l_pul,True,1
var161,tv_l_ove,False,1
var161,fr_cance,True,1
var161,fr_cirug,True,1
var161,fr_inmov,True,1
var161,fr_tvp_a,True,1
var161,fr_antfa,True,1
var161,fr_tvs_a,True,1
var161,fr_viaje,True,1
var161,fr_estro,True,1
var161,fr_embar,True,1
var161,fr_varic,True,1
var161,fr_antec,True,1
var161,ana_dime,True,1
var161,ana_crea,True,1
var161,ana_trop,True,1
var161,edad,True,1
var161,peso,True,1
var161,tension_,True,1
var161,ana_hemo,True,1
var161,ana_plaq,True,1
var161,ana_leuc,True,1
var161,ana_neu,True,1
var161,protcrea,True,1
var161,splanchnic,True,1
var155,sexo,False,1
var155,raza,True,1
var155,ant_inf,True,1
var155,ant_isq,False,1
var155,ant_clau,True,1
var155,fum_act,True,1
var155,diabetes,True,1
var155,hip_art,True,1
var155,insf_car,True,1
var155,fibr_aur,True,1
var155,trat_est,False,1
var155,e_con_pp,True,1
var155,e_con_cu,False,1
var155,e_con_ec,True,1
var155,e_con_lu,False,1
var155,e_con_be,False,1
var155,e_con_at,True,1
var155,e_con_va,True,1
var155,e_con_ar,False,1
var155,e_con_ea,True,1
var155,e_con_pr,True,1
var155,e_con_ro,False,1
var155,e_con_av,True,1
var155,e_con_sm,True,1
var155,sin_tvp_,True,1
var155,var171,True,1
var155,tv_l_esu,True,1
var155,tvp_orig,False,1
var155,tv_l_ein,True,1
var155,tvp_prox,True,1
var155,tv_l_svc,False,1
var155,tv_l_vre,True,1
var155,tv_l_vrn,True,1
var155,tv_l_vca,False,1
var155,tv_l_yug,True,1
var155,tv_l_ova,True,1
var155,tv_l_sup,False,1
var155,tv_l_pul,False,1
var155,tv_l_ove,False,1
var155,fr_cance,True,1
var155,fr_cirug,True,1
var155,fr_inmov,True,1
var155,fr_tvp_a,False,1
var155,fr_antfa,True,1
var155,fr_tvs_a,True,1
var155,fr_viaje,True,1
var155,fr_estro,True,1
var155,fr_embar,True,1
var155,fr_varic,True,1
var155,fr_antec,False,1
var155,ana_dime,True,1
var155,ana_crea,True,1
var155,ana_trop,True,1
var155,edad,True,1
var155,peso,True,1
var155,tension_,True,1
var155,ana_hemo,True,1
var155,ana_plaq,True,1
var155,ana_leuc,True,1
var155,ana_neu,True,1
var155,protcrea,True,1
var155,splanchnic,False,1
var154,sexo,True,1
var154,raza,True,1
var154,ant_inf,True,1
var154,ant_isq,True,1
var154,ant_clau,True,1
var154,fum_act,True,1
var154,diabetes,True,1
var154,hip_art,True,1
var154,insf_car,False,1
var154,fibr_aur,True,1
var154,trat_est,True,1
var154,e_con_pp,True,1
var154,e_con_cu,True,1
var154,e_con_ec,False,1
var154,e_con_lu,True,1
var154,e_con_be,True,1
var154,e_con_at,False,1
var154,e_con_va,True,1
var154,e_con_ar,False,1
var154,e_con_ea,True,1
var154,e_con_pr,True,1
var154,e_con_ro,False,1
var154,e_con_av,True,1
var154,e_con_sm,True,1
var154,sin_tvp_,True,1
var154,var171,True,1
var154,tv_l_esu,False,1
