iteration,variable,missing_n,imputed_mean,imputed_sd,imputation
1,raza,435,2.901149425287356,0.5647691528960201,1
1,ant_inf,28,0.0,0.0,1
1,ant_isq,27,0.037037037037037035,0.18885257457751053,1
1,ant_clau,28,0.03571428571428571,0.1855768722395226,1
1,fum_act,36,0.2777777777777778,0.44790320823880836,1
1,diabetes,27,0.037037037037037035,0.18885257457751053,1
1,hip_art,27,0.25925925925925924,0.43822813208145295,1
1,insf_car,6,0.0,0.0,1
1,fibr_aur,184,0.010869565217391304,0.10368904363227668,1
1,trat_est,30,0.16666666666666666,0.3726779962499649,1
1,var171,20,0.05,0.21794494717703364,1
1,tv_l_esu,360,0.008333333333333333,0.09090593428863096,1
1,tvp_orig,1293,0.30935808197989173,0.46222901152309154,1
1,tv_l_ein,277,0.703971119133574,0.4565038691614753,1
1,tvp_prox,550,0.8581818181818182,0.3488635623334242,1
1,tv_l_svc,475,0.010526315789473684,0.10205641805087008,1
1,tv_l_vre,489,0.0081799591002045,0.09007245621899894,1
1,tv_l_vrn,483,0.004140786749482402,0.06421557937586263,1
1,tv_l_vca,928,0.04418103448275862,0.20549713057556768,1
1,tv_l_yug,937,0.014941302027748132,0.12131800988090656,1
1,tv_l_ova,939,0.0,0.0,1
1,tv_l_sup,939,0.0,0.0,1
1,tv_l_pul,939,0.0,0.0,1
1,tv_l_ove,482,0.04564315352697095,0.20870998074621236,1
1,fr_antfa,693,0.13275613275613277,0.3393109812130589,1
1,fr_tvs_a,254,0.015748031496062992,0.12449912047907008,1
1,fr_viaje,9,0.0,0.0,1
1,fr_estro,15,0.0,0.0,1
1,fr_varic,32,0.21875,0.41339864235384227,1
1,fr_antec,1,0.0,0.0,1
1,ana_dime,182,1.532967032967033,0.5204720902367125,1
1,ana_crea,46,0.9782608695652174,0.14583052027172538,1
1,ana_trop,851,0.8401880141010576,0.3664315967025478,1
1,tension_,55,137.3272727272727,22.729279911366667,1
1,ana_hemo,2,12.600000000000001,1.2999999999999998,1
1,ana_plaq,2,250.5,66.5,1
1,ana_leuc,15,8.867333333333333,3.4965058113620935,1
1,ana_neu,1050,6.462109523809524,3.2298645456493422,1
1,protcrea,1320,43.910666666666664,51.1827147625509,1
1,splanchnic,465,0.012903225806451613,0.11285713344861874,1
2,raza,435,2.8873563218390803,0.6204937962588074,1
2,ant_inf,28,0.0,0.0,1
2,ant_isq,27,0.037037037037037035,0.18885257457751053,1
