iteration,variable,missing_n,imputed_mean,imputed_sd,imputation
1,raza,10643,2.924645306774406,0.6053075357362099,1
1,ant_inf,4335,0.031141868512110725,0.17370104357108834,1
1,ant_isq,4339,0.031804563263424755,0.17547943759611143,1
1,ant_clau,4354,0.017684887459807074,0.131803384688486,1
1,fum_act,4478,0.1962929879410451,0.3971927124535668,1
1,diabetes,4316,0.09291010194624652,0.290306415538108,1
1,hip_art,4193,0.328881469115192,0.46980682028662063,1
1,insf_car,134,0.04477611940298507,0.20681203672464207,1
1,fibr_aur,9238,0.027711625893050443,0.16414533707484372,1
1,trat_est,4397,0.17443711621560154,0.37948492552667523,1
1,var171,785,0.033121019108280254,0.17895255572779395,1
1,tv_l_esu,9950,0.03336683417085427,0.17959256261958337,1
1,tvp_orig,16619,0.22438173175281304,0.4171745080999338,1
1,tv_l_ein,4537,0.8051575931232091,0.39607933972785037,1
1,tvp_prox,6783,0.8372401592215833,0.3691464140530165,1
1,tv_l_svc,11254,0.008441443042473787,0.09148871559834283,1
1,tv_l_vre,11866,0.010450025282319232,0.10168983358191772,1
1,tv_l_vrn,11814,0.006602336211274758,0.08098608132159532,1
1,tv_l_vca,14689,0.048607801756416366,0.21504670042766363,1
1,tv_l_yug,14753,0.015115569714634312,0.12201266027276163,1
1,tv_l_ova,14755,0.005354117248390376,0.07297568551840306,1
1,tv_l_sup,14750,0.010169491525423728,0.10032982092846605,1
1,tv_l_pul,14758,0.004404390838867055,0.0662192734798983,1
1,tv_l_ove,11844,0.030310705842620737,0.1714408555564946,1
1,fr_antfa,12635,0.1147605856747131,0.31873279349685674,1
1,fr_tvs_a,9839,0.05071653623335705,0.21941825171541135,1
1,fr_viaje,316,0.028481012658227847,0.16634255191077751,1
1,fr_estro,217,0.06451612903225806,0.24567010018915833,1
1,fr_varic,617,0.2025931928687196,0.40193182391044546,1
1,fr_antec,73,0.0410958904109589,0.19851201022177314,1
1,ana_dime,1167,1.585261353898886,0.5685762185230534,1
1,ana_crea,558,0.921146953405018,0.26950926447465895,1
1,ana_trop,11713,0.8825236916246905,0.32198699561600097,1
1,peso,12,82.08333333333333,13.961007206581558,1
1,tension_,811,130.57090012330457,22.065329334106416,1
1,ana_hemo,40,13.4575,1.4922947932630468,1
1,ana_plaq,32,229.5625,85.96835809616233,1
1,ana_leuc,89,8.681011235955056,3.3360866682837726,1
1,ana_neu,14918,7.049771350046924,3.3414122979458236,1
1,protcrea,17142,25.223553377668882,41.61069292946276,1
1,splanchnic,11153,0.013000986281717924,0.11327824432529181,1
2,raza,10643,2.8997463121300386,0.6084399128916671,1
2,ant_inf,4335,0.03298731257208766,0.17860333082380928,1
2,ant_isq,4339,0.03987093800414842,0.1956559385932811,1
2,ant_clau,4354,0.0245751033532384,0.15482624986873528,1
2,fum_act,4478,0.2025457793657883,0.4018967362730055,1
2,diabetes,4316,0.0984708063021316,0.2979501747076844,1
