n,positive_n,tp,fp,tn,fn,auc,brier,log_loss,tests_avoided_per_1000,missed_positive_per_1000,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper,false_negative_rate,false_positive_rate,lr_positive,lr_negative,auc_lower,auc_upper,mean_fold_raw_auc,outcome,label,priority,validation,model,calibration_intercept,calibration_slope,calibration_fit_success
21762,1544,1395,16458,3760,149,0.5959991084228542,0.0654181915682971,0.252158259996511,179.62503446374416,6.8467971693778145,0.9034974093264249,0.8877517828207172,0.9172402225939275,0.1859728954397072,0.18066953662569973,0.19139556309046984,0.0781381280457066,0.07429133576102014,0.08216642667493564,0.9618828344845229,0.9554126513418787,0.9674461043738035,0.09650259067357513,0.8140271045602928,1.109910719514015,0.5189067495314739,0.5817739024810907,0.6114724158550042,0.5969626937855066,var157,Prothrombin G20210A,primary,nested_cv,MI continuous XGBoost,-0.0003620133684609973,1.0009451943832732,True
21762,1544,1389,16138,4080,155,0.6019333885005769,0.06538359370806894,0.25179540024709207,194.60527525043656,7.122507122507122,0.8996113989637305,0.8836156948244464,0.9136235785958359,0.201800375902661,0.19632508624449804,0.20738896103677248,0.07924915844126205,0.0753416272890351,0.08334108428274761,0.9634002361275088,0.9573118563134486,0.9686487011007441,0.10038860103626943,0.798199624097339,1.1270506422263418,0.4974648862135527,0.5877151476048378,0.6176222952204392,0.6030701998006112,var157,Prothrombin G20210A,primary,nested_cv,MI spline LASSO,-0.21854840310185922,0.916309215368646,True
1085,58,56,855,172,2,0.6216633650068831,0.05047087713539397,0.206808329738423,160.36866359447006,1.8433179723502304,0.9655172413793104,0.8827085453568732,0.9904920716688347,0.16747809152872445,0.14588914365204242,0.19154534333360196,0.06147091108671789,0.047639312539858876,0.07898531482456261,0.9885057471264368,0.9590654074816999,0.9968421808124327,0.034482758620689655,0.8325219084712756,1.1597499495866102,0.20589414595028066,0.5563450626196151,0.6865510526139073,0.6216633650068831,var157,Prothrombin G20210A,primary,temporal_holdout,MI continuous XGBoost,0.605883249374374,1.3682450128445898,True
1085,58,55,858,169,3,0.6276902931202365,0.05051056569322563,0.20727532368975354,158.5253456221198,2.7649769585253456,0.9482758620689655,0.8586059880915734,0.9822538653405896,0.16455696202531644,0.1431381224548066,0.18847587686160475,0.060240963855421686,0.04657245563440927,0.07759455025898153,0.9825581395348837,0.9499814467435205,0.9940507576825729,0.05172413793103448,0.8354430379746836,1.1350574712643677,0.31432360742705573,0.5556848705637444,0.69817429406037,0.6276902931202365,var157,Prothrombin G20210A,primary,temporal_holdout,MI spline LASSO,-0.026248924321286546,1.1259725968081806,True
