Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,0.0,score >= threshold,False,356,30680,0,0,1.0,0.0,0.0114705503286506,,31036,0
Automatic Integer Score,1.0,score >= threshold,False,356,29886,794,0,1.0,0.02588005215123859,0.011771708220355797,1.0,30242,794
Automatic Integer Score,2.0,score >= threshold,False,356,27073,3607,0,1.0,0.11756844850065189,0.012978963870356193,1.0,27429,3607
Automatic Integer Score,3.0,score >= threshold,False,356,25640,5040,0,1.0,0.16427640156453716,0.013694414525311586,1.0,25996,5040
Automatic Integer Score,4.0,score >= threshold,False,356,13893,16787,0,1.0,0.5471642764015645,0.024984209418204787,1.0,14249,16787
Automatic Integer Score,5.0,score >= threshold,False,356,9103,21577,0,1.0,0.7032920469361147,0.037636113754096624,1.0,9459,21577
Automatic Integer Score,6.0,score >= threshold,True,347,7250,23430,9,0.9747191011235955,0.7636897001303781,0.04567592470712123,0.9996160245744272,7597,23439
Automatic Integer Score,7.0,score >= threshold,False,301,5762,24918,55,0.8455056179775281,0.8121903520208605,0.04964539007092199,0.9977976214311456,6063,24973
Automatic Integer Score,8.0,score >= threshold,False,274,5269,25411,82,0.7696629213483146,0.8282594524119948,0.049431715677430994,0.9967834307456949,5543,25493
Automatic Integer Score,9.0,score >= threshold,False,183,3405,27275,173,0.5140449438202247,0.8890156453715776,0.05100334448160535,0.9936971728359079,3588,27448
Automatic Integer Score,10.0,score >= threshold,False,119,2286,28394,237,0.3342696629213483,0.9254889178617992,0.04948024948024948,0.9917222590897977,2405,28631
Automatic Integer Score,11.0,score >= threshold,False,80,1371,29309,276,0.2247191011235955,0.9553129074315515,0.05513439007580979,0.9906709481155991,1451,29585
Automatic Integer Score,12.0,score >= threshold,False,20,315,30365,336,0.056179775280898875,0.9897327249022164,0.05970149253731343,0.9890557310836781,335,30701
Automatic Integer Score,13.0,score >= threshold,False,5,73,30607,351,0.014044943820224719,0.9976205997392438,0.0641025641025641,0.9886620582724982,78,30958
Automatic Integer Score,14.0,score >= threshold,False,2,15,30665,354,0.0056179775280898875,0.9995110821382008,0.11764705882352941,0.9885876398336504,17,31019
Automatic Integer Score,15.0,score >= threshold,False,1,0,30680,355,0.0028089887640449437,1.0,1.0,0.9885613017560818,1,31035
Association-Guided Integer Score,0.0,score <= threshold,False,25,1867,28813,331,0.0702247191011236,0.9391460234680573,0.013213530655391121,0.9886426022508922,1892,29144
Association-Guided Integer Score,1.0,score <= threshold,False,138,11336,19344,218,0.38764044943820225,0.6305084745762712,0.012027191912149206,0.9888559451998773,11474,19562
Association-Guided Integer Score,2.0,score <= threshold,False,238,19670,11010,118,0.6685393258426966,0.35886571056062583,0.011954992967651195,0.9893961179007909,19908,11128
Association-Guided Integer Score,3.0,score <= threshold,False,294,24982,5698,62,0.8258426966292135,0.18572359843546285,0.011631587276467795,0.9892361111111111,25276,5760
Association-Guided Integer Score,4.0,score <= threshold,False,298,25499,5181,58,0.8370786516853933,0.1688722294654498,0.011551730821413343,0.9889291849589616,25797,5239
Association-Guided Integer Score,5.0,score <= threshold,True,328,27631,3049,28,0.9213483146067416,0.09938070404172099,0.011731463929325083,0.9909002274943126,27959,3077
Association-Guided Integer Score,13.0,score <= threshold,False,328,27757,2923,28,0.9213483146067416,0.09527379400260756,0.01167883211678832,0.9905116909522196,28085,2951
Association-Guided Integer Score,14.0,score <= threshold,False,332,28040,2640,24,0.9325842696629213,0.08604954367666232,0.011701677710418723,0.990990990990991,28372,2664
Association-Guided Integer Score,17.0,score <= threshold,False,339,29000,1680,17,0.952247191011236,0.054758800521512385,0.0115545860458775,0.9899823217442546,29339,1697
Association-Guided Integer Score,18.0,score <= threshold,False,356,30680,0,0,1.0,0.0,0.0114705503286506,,31036,0
