Outcome,Model,Selected_Threshold,Sensitivity,Specificity,PPV,NPV,Tests_Avoided_per_1000,Missed_True_Positives_per_1000,TP,FP,TN,FN
Protein C deficiency,Automatic Integer Score,1.0,0.9497041420118344,0.2253474738159541,0.0134642003271674,0.9975215045925062,223.42019543973942,0.5537459283387622,321,23520,6842,17
Protein C deficiency,Association-Guided Integer Score,8.0,0.908284023668639,0.0890586917857848,0.0109780082245664,0.9886654478976236,89.08794788273616,1.009771986970684,307,27658,2704,31
Protein S deficiency,Automatic Integer Score,1.0,0.9178082191780822,0.2832165498832165,0.0302455760202239,0.9929808142255498,278.43648208469057,1.9543973941368078,670,21482,8488,60
Protein S deficiency,Association-Guided Integer Score,7.0,0.9821917808219178,0.023023023023023,0.0239023902390239,0.9815078236130867,22.89902280130293,0.4234527687296417,717,29280,690,13
Factor V Leiden,Automatic Integer Score,1.0,0.941919191919192,0.4065111420612813,0.0986250661025912,0.9902459711620016,384.03908794788276,3.745928338762215,1865,17045,11675,115
Factor V Leiden,Association-Guided Integer Score,6.0,0.9025252525252524,0.1125696378830083,0.0655202757204663,0.9436660828955048,111.59609120521172,6.286644951140065,1787,25487,3233,193
Prothrombin G20210A,Automatic Integer Score,1.0,0.9403463758819756,0.3910298205277787,0.0763064751197168,0.9919045961002786,374.20195439739416,3.029315960912052,1466,17746,11395,93
Prothrombin G20210A,Association-Guided Integer Score,1.0,0.9794740218088518,0.0238838749528156,0.0509475510476444,0.956043956043956,23.713355048859935,1.0423452768729642,1527,28445,696,32
