iteration,variable,missing_n,imputed_mean,imputed_sd,imputation
1,raza,10636,2.9096464836404663,0.644513561814763,1
1,ant_inf,4358,0.028453418999541073,0.1662643135094769,1
1,ant_isq,4367,0.036409434394321046,0.18730666694329562,1
1,ant_clau,4381,0.020086738187628395,0.14029704607228927,1
1,fum_act,4504,0.2024866785079929,0.4018529874653088,1
1,diabetes,4331,0.09720618794735626,0.29623832461735855,1
1,hip_art,4215,0.33997627520759194,0.47370075733902267,1
1,insf_car,129,0.015503875968992248,0.12354556163185446,1
1,fibr_aur,9234,0.025449426034221356,0.1574857223647593,1
1,trat_est,4427,0.1847752428281003,0.38811512784986474,1
1,var171,780,0.038461538461538464,0.1923076923076923,1
1,tv_l_esu,9931,0.03786124257375894,0.1908606006606128,1
1,tvp_orig,16608,0.29076348747591524,0.454114613095371,1
1,tv_l_ein,4471,0.8195034667859539,0.3846004871444612,1
1,tvp_prox,6737,0.8347929345405967,0.3713673262171778,1
1,tv_l_svc,11207,0.007495315427857589,0.086250424198925,1
1,tv_l_vre,11820,0.004399323181049069,0.06618133525849833,1
1,tv_l_vrn,11765,0.007394815129621759,0.08567456938217125,1
1,tv_l_vca,14689,0.04077881407856219,0.19777740619420675,1
1,tv_l_yug,14745,0.017497456765005085,0.1311155817275806,1
1,tv_l_ova,14752,0.008405639913232104,0.09129613973701836,1
1,tv_l_sup,14752,0.0056941431670282,0.0752444011247454,1
1,tv_l_pul,14756,0.003930604499864462,0.06257119823153547,1
1,tv_l_ove,11788,0.03172718018323719,0.17527283366471139,1
1,fr_antfa,12679,0.1376291505639246,0.344510330003292,1
1,fr_tvs_a,9860,0.04279918864097363,0.2024040960372294,1
1,fr_viaje,321,0.040498442367601244,0.19712513420007943,1
1,fr_estro,207,0.0821256038647343,0.2745559852827598,1
1,fr_varic,621,0.17713365539452497,0.38178177473669256,1
1,fr_antec,78,0.05128205128205128,0.22057244274468277,1
1,ana_dime,1166,1.5728987993138936,0.577823147772287,1
1,ana_crea,583,0.9108061749571184,0.28502330890139754,1
1,ana_trop,11688,0.8779089664613279,0.32739091781558477,1
1,peso,12,78.33333333333333,10.24966124101453,1
1,tension_,790,129.15569620253166,21.21391498691988,1
1,ana_hemo,38,13.463157894736844,1.979024354605542,1
1,ana_plaq,30,258.8,127.95478368027773,1
1,ana_leuc,87,8.847816091954021,2.9257102194197073,1
1,ana_neu,14965,6.551524356832609,3.3375450751300253,1
1,protcrea,17140,23.13494854142357,35.770641476111685,1
1,splanchnic,11111,0.012600126001260013,0.11154085720493807,1
2,raza,10636,2.9128431741256113,0.6269164391997176,1
2,ant_inf,4358,0.03441945846718678,0.1823040299774319,1
2,ant_isq,4367,0.040531257155942295,0.19720160838416395,1
2,ant_clau,4381,0.023054097238073498,0.1500753338780592,1
2,fum_act,4504,0.21758436944937834,0.41260321329419475,1
2,diabetes,4331,0.09558993304086816,0.2940280560458653,1
2,hip_art,4215,0.34922894424673784,0.476726429671197,1
2,insf_car,129,0.007751937984496124,0.08770316665879659,1
2,fibr_aur,9234,0.023824994585228503,0.15250365313080974,1
2,trat_est,4427,0.19471425344477072,0.3959805714302361,1
2,var171,780,0.041025641025641026,0.1983495344186022,1
2,tv_l_esu,9931,0.024972308931628235,0.15604067648613792,1
2,tvp_orig,16608,0.2905828516377649,0.4540313402969334,1
2,tv_l_ein,4471,0.8203981212256766,0.38385549874276476,1
2,tvp_prox,6737,0.8328632922665875,0.37309788080535694,1
2,tv_l_svc,11207,0.0077630052645667885,0.0877652608600299,1
2,tv_l_vre,11820,0.003976311336717428,0.06293250578890786,1
2,tv_l_vrn,11765,0.007054823629409265,0.08369619521201184,1
2,tv_l_vca,14689,0.04043842330995984,0.19698517007674543,1
2,tv_l_yug,14745,0.01959986436080027,0.1386207404317208,1
2,tv_l_ova,14752,0.005084056399132321,0.07112108526775139,1
2,tv_l_sup,14752,0.004202819956616052,0.06469278368588202,1
2,tv_l_pul,14756,0.004404987801572242,0.0662237410906409,1
2,tv_l_ove,11788,0.034356973193077706,0.1821443701740129,1
