Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,0.0,score >= threshold,False,338,30362,0,0,1.0,0.0,0.011009771986970684,,30700,0
Automatic Integer Score,1.0,score >= threshold,True,321,23520,6842,17,0.9497041420118343,0.22534747381595416,0.013464200327167485,0.9975215045925062,23841,6859
Automatic Integer Score,2.0,score >= threshold,False,291,15723,14639,47,0.8609467455621301,0.4821487385547724,0.018171599850131136,0.9967996731581098,16014,14686
Automatic Integer Score,3.0,score >= threshold,False,213,9917,20445,125,0.6301775147928994,0.673374613003096,0.02102665350444225,0.9939231891103549,10130,20570
Automatic Integer Score,4.0,score >= threshold,False,119,4577,25785,219,0.3520710059171598,0.8492523549173309,0.025340715502555365,0.9915782187355792,4696,26004
Automatic Integer Score,5.0,score >= threshold,False,58,1836,28526,280,0.17159763313609466,0.9395296752519597,0.030623020063357972,0.9902798028188572,1894,28806
Automatic Integer Score,6.0,score >= threshold,False,32,831,29531,306,0.09467455621301775,0.9726302615110994,0.03707995365005794,0.9897442772396688,863,29837
Automatic Integer Score,7.0,score >= threshold,False,10,305,30057,328,0.029585798816568046,0.9899545484487188,0.031746031746031744,0.9892051999341781,315,30385
Automatic Integer Score,8.0,score >= threshold,False,4,87,30275,334,0.011834319526627219,0.9971345761148804,0.04395604395604396,0.9890881766800614,91,30609
Automatic Integer Score,9.0,score >= threshold,False,0,14,30348,338,0.0,0.9995388973058428,0.0,0.9889852049794695,14,30686
Automatic Integer Score,10.0,score >= threshold,False,0,1,30361,338,0.0,0.9999670640932745,0.0,0.9889898693768526,1,30699
Association-Guided Integer Score,0.0,score <= threshold,False,33,2222,28140,305,0.09763313609467456,0.926816415255912,0.014634146341463415,0.9892775531727896,2255,28445
Association-Guided Integer Score,1.0,score <= threshold,False,44,3554,26808,294,0.1301775147928994,0.8829457874975298,0.012229016120066704,0.9891520920965242,3598,27102
Association-Guided Integer Score,2.0,score <= threshold,False,107,8566,21796,231,0.3165680473372781,0.7178710229892629,0.012337138245128559,0.9895128705679394,8673,22027
Association-Guided Integer Score,3.0,score <= threshold,False,181,16636,13726,157,0.5355029585798816,0.4520782557143798,0.010762918475352322,0.9886912050709501,16817,13883
Association-Guided Integer Score,4.0,score <= threshold,False,221,19723,10639,117,0.6538461538461539,0.3504051116527238,0.011081026875250703,0.9891223503161026,19944,10756
Association-Guided Integer Score,5.0,score <= threshold,False,272,24871,5491,66,0.8047337278106509,0.18085106382978725,0.010818120351588911,0.9881230879971208,25143,5557
Association-Guided Integer Score,6.0,score <= threshold,False,302,27504,2858,36,0.893491124260355,0.09413082142151373,0.010860965259296555,0.9875604699378023,27806,2894
Association-Guided Integer Score,7.0,score <= threshold,False,304,27567,2795,34,0.8994082840236687,0.09205585929780646,0.01090739478310789,0.9879816189466243,27871,2829
Association-Guided Integer Score,8.0,score <= threshold,True,307,27658,2704,31,0.908284023668639,0.08905869178578486,0.010978008224566422,0.9886654478976235,27965,2735
Association-Guided Integer Score,9.0,score <= threshold,False,337,30294,68,1,0.9970414201183432,0.0022396416573348264,0.011001926153243446,0.9855072463768116,30631,69
Association-Guided Integer Score,10.0,score <= threshold,False,338,30362,0,0,1.0,0.0,0.011009771986970684,,30700,0
