candidate,auc,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,selected
0,0.5665730619876312,80,2,0.03,0.8,0.8,0.0,1.0,False
1,0.5744045735653676,80,3,0.08,0.8,0.8,0.1,5.0,True
2,0.5672365645524714,120,2,0.08,1.0,0.9,0.5,5.0,False
3,0.5731823193825207,120,3,0.03,0.9,1.0,0.1,10.0,False
