iteration,variable,missing_n,imputed_mean,imputed_sd,imputation
1,raza,438,2.901826484018265,0.6870932400898262,1
1,ant_inf,21,0.09523809523809523,0.29354352395090366,1
1,ant_isq,23,0.043478260869565216,0.20393111999232305,1
1,ant_clau,23,0.0,0.0,1
1,fum_act,32,0.21875,0.41339864235384227,1
1,diabetes,21,0.0,0.0,1
1,hip_art,21,0.19047619047619047,0.392676726249301,1
1,insf_car,4,0.0,0.0,1
1,fibr_aur,181,0.016574585635359115,0.1276709393181364,1
1,trat_est,25,0.28,0.448998886412873,1
1,var171,24,0.041666666666666664,0.19982631347136334,1
1,tv_l_esu,361,0.008310249307479225,0.0907809950591354,1
1,tvp_orig,1294,0.2534775888717156,0.4350019549513509,1
1,tv_l_ein,286,0.47202797202797203,0.4992169524877256,1
1,tvp_prox,556,0.9010791366906474,0.29855573367712246,1
1,tv_l_svc,476,0.0063025210084033615,0.07913784958755195,1
1,tv_l_vre,492,0.006097560975609756,0.07784844716343724,1
1,tv_l_vrn,486,0.0,0.0,1
1,tv_l_vca,935,0.06417112299465241,0.24505752379442997,1
1,tv_l_yug,948,0.022151898734177215,0.147177417142196,1
1,tv_l_ova,952,0.004201680672268907,0.06468405175773384,1
1,tv_l_sup,949,0.0136986301369863,0.11623673115395303,1
1,tv_l_pul,948,0.0,0.0,1
1,tv_l_ove,490,0.03877551020408163,0.1930594986331799,1
1,fr_antfa,701,0.14978601997146934,0.3568615532564077,1
1,fr_tvs_a,255,0.023529411764705882,0.15157763207911915,1
1,fr_viaje,7,0.0,0.0,1
1,fr_estro,10,0.0,0.0,1
1,fr_varic,32,0.3125,0.46351240544347894,1
1,ana_dime,193,1.5544041450777202,0.5273786797927242,1
1,ana_crea,51,0.9215686274509803,0.2688492000157272,1
1,ana_trop,844,0.8234597156398105,0.38127917902530817,1
1,tension_,68,131.80882352941177,21.489571583705693,1
1,ana_hemo,4,13.975,2.9345996319770777,1
1,ana_plaq,5,217.6,41.591345253550045,1
1,ana_leuc,8,9.245000000000001,3.882421924520827,1
1,ana_neu,1034,6.6049129593810445,3.057740414603717,1
1,protcrea,1323,18.398367346938777,24.562463106486238,1
1,splanchnic,466,0.01072961373390558,0.10302664278247042,1
2,raza,438,2.906392694063927,0.5345635792126096,1
2,ant_inf,21,0.0,0.0,1
2,ant_isq,23,0.043478260869565216,0.20393111999232305,1
2,ant_clau,23,0.0,0.0,1
2,fum_act,32,0.3125,0.46351240544347894,1
2,diabetes,21,0.047619047619047616,0.21295885499998,1
2,hip_art,21,0.23809523809523808,0.4259177099999599,1
2,insf_car,4,0.0,0.0,1
2,fibr_aur,181,0.0,0.0,1
2,trat_est,25,0.2,0.4,1
2,var171,24,0.0,0.0,1
2,tv_l_esu,361,0.002770083102493075,0.0525586314709426,1
2,tvp_orig,1294,0.2604327666151468,0.43887075624644584,1
2,tv_l_ein,286,0.48951048951048953,0.499889958060462,1
2,tvp_prox,556,0.8794964028776978,0.3255495049956121,1
2,tv_l_svc,476,0.014705882352941176,0.12037283488047723,1
2,tv_l_vre,492,0.006097560975609756,0.07784844716343724,1
2,tv_l_vrn,486,0.00823045267489712,0.09034773004156439,1
2,tv_l_vca,935,0.07058823529411765,0.2561357771420852,1
2,tv_l_yug,948,0.0189873417721519,0.13648011805599888,1
2,tv_l_ova,952,0.004201680672268907,0.06468405175773384,1
2,tv_l_sup,949,0.02107481559536354,0.1436337973562802,1
2,tv_l_pul,948,0.013713080168776372,0.11629716935962407,1
