Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Association-Guided Integer Score,232.0,score <= threshold,False,40,1504,600,16,0.7142857142857143,0.28517110266159695,0.025906735751295335,0.974025974025974,1544,616
Association-Guided Integer Score,279.0,score <= threshold,False,40,1505,599,16,0.7142857142857143,0.2846958174904943,0.025889967637540454,0.9739837398373984,1545,615
Association-Guided Integer Score,292.0,score <= threshold,False,40,1509,595,16,0.7142857142857143,0.28279467680608367,0.025823111684958037,0.9738134206219312,1549,611
Association-Guided Integer Score,293.0,score <= threshold,False,40,1524,580,16,0.7142857142857143,0.27566539923954375,0.02557544757033248,0.9731543624161074,1564,596
Association-Guided Integer Score,319.0,score <= threshold,False,40,1526,578,16,0.7142857142857143,0.2747148288973384,0.02554278416347382,0.9730639730639731,1566,594
Association-Guided Integer Score,379.0,score <= threshold,False,40,1527,577,16,0.7142857142857143,0.27423954372623577,0.025526483726866625,0.9730185497470489,1567,593
Association-Guided Integer Score,380.0,score <= threshold,False,40,1529,575,16,0.7142857142857143,0.2732889733840304,0.025493945188017845,0.9729272419627749,1569,591
Association-Guided Integer Score,393.0,score <= threshold,False,40,1535,569,16,0.7142857142857143,0.27043726235741444,0.025396825396825397,0.9726495726495726,1575,585
Association-Guided Integer Score,394.0,score <= threshold,False,40,1574,530,16,0.7142857142857143,0.25190114068441066,0.024783147459727387,0.9706959706959707,1614,546
Association-Guided Integer Score,395.0,score <= threshold,False,41,1586,518,15,0.7321428571428571,0.2461977186311787,0.02519975414874001,0.9718574108818011,1627,533
Association-Guided Integer Score,408.0,score <= threshold,False,44,1599,505,12,0.7857142857142857,0.24001901140684412,0.02678027997565429,0.97678916827853,1643,517
Association-Guided Integer Score,409.0,score <= threshold,False,48,1674,430,8,0.8571428571428571,0.20437262357414449,0.027874564459930314,0.9817351598173516,1722,438
Association-Guided Integer Score,435.0,score <= threshold,False,48,1677,427,8,0.8571428571428571,0.2029467680608365,0.02782608695652174,0.9816091954022989,1725,435
Association-Guided Integer Score,436.0,score <= threshold,False,49,1685,419,7,0.875,0.1991444866920152,0.02825836216839677,0.9835680751173709,1734,426
Association-Guided Integer Score,495.0,score <= threshold,False,49,1687,417,7,0.875,0.19819391634980987,0.028225806451612902,0.9834905660377359,1736,424
Association-Guided Integer Score,496.0,score <= threshold,False,50,1709,395,6,0.8928571428571429,0.18773764258555134,0.028425241614553724,0.9850374064837906,1759,401
Association-Guided Integer Score,509.0,score <= threshold,False,50,1730,374,6,0.8928571428571429,0.17775665399239543,0.028089887640449437,0.9842105263157894,1780,380
Association-Guided Integer Score,510.0,score <= threshold,True,55,1871,233,1,0.9821428571428571,0.11074144486692016,0.028556593977154723,0.9957264957264957,1926,234
Association-Guided Integer Score,584.0,score <= threshold,False,55,1874,230,1,0.9821428571428571,0.10931558935361217,0.02851218247796786,0.9956709956709957,1929,231
Association-Guided Integer Score,597.0,score <= threshold,False,55,1881,223,1,0.9821428571428571,0.10598859315589354,0.028409090909090908,0.9955357142857143,1936,224
Association-Guided Integer Score,598.0,score <= threshold,False,55,1916,188,1,0.9821428571428571,0.08935361216730038,0.027904616945712835,0.9947089947089947,1971,189
Association-Guided Integer Score,699.0,score <= threshold,False,55,1919,185,1,0.9821428571428571,0.0879277566539924,0.027862208713272545,0.9946236559139785,1974,186
Association-Guided Integer Score,700.0,score <= threshold,False,55,1933,171,1,0.9821428571428571,0.08127376425855513,0.02766599597585513,0.9941860465116279,1988,172
Association-Guided Integer Score,713.0,score <= threshold,False,55,1969,135,1,0.9821428571428571,0.06416349809885931,0.02717391304347826,0.9926470588235294,2024,136
Association-Guided Integer Score,714.0,score <= threshold,False,56,2104,0,0,1.0,0.0,0.025925925925925925,,2160,0
