n,positive_n,tp,fp,tn,fn,auc,brier,log_loss,tests_avoided_per_1000,missed_positive_per_1000,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper,false_negative_rate,false_positive_rate,lr_positive,lr_negative,auc_lower,auc_upper,mean_fold_raw_auc,outcome,label,priority,validation,model,calibration_intercept,calibration_slope,calibration_fit_success
21762,349,319,18684,2729,30,0.5689159050610205,0.01576811733068233,0.08179453827655774,126.78062678062679,1.3785497656465397,0.9140401146131805,0.8799395311902135,0.9391252152427251,0.12744594405267828,0.12304615630068082,0.1319793790623404,0.016786823133189497,0.015055453418317639,0.018713516571318818,0.9891264951069227,0.9845200077507857,0.9923728180692145,0.08595988538681948,0.8725540559473217,1.0475455456118623,0.6744811380681441,0.5366580259401106,0.598714002232262,0.5705212648960224,var154,Protein C deficiency,exploratory,nested_cv,MI continuous XGBoost,-1.1516682796925157,0.7192115400723265,True
21762,349,314,18189,3224,35,0.5481751505425365,0.015785248644078237,0.08218025183200932,149.7564562080691,1.6083080599209632,0.8997134670487106,0.8637186715243662,0.9270047342015503,0.15056274225937516,0.1458354585469881,0.15541538048200676,0.01697022104523591,0.015206944288284617,0.018934022457801986,0.989260509358699,0.9851011915978256,0.992267779664608,0.10028653295128939,0.8494372577406248,1.059187666716919,0.6660780180167368,0.5138747556748926,0.5808389769918576,0.551423139940684,var154,Protein C deficiency,exploratory,nested_cv,MI spline LASSO,-2.0310139718174613,0.507258467634808,True
1085,6,6,980,99,0,0.5971578622181032,0.0056646309492743956,0.03953179035769527,91.2442396313364,0.0,1.0,0.6096657120978346,1.0,0.0917516218721038,0.07594510603430293,0.11045471932934406,0.006085192697768763,0.002791794330872968,0.013212242153482594,1.0,0.9626467879321726,1.0,0.0,0.9082483781278962,1.1010204081632653,0.0,0.41919601482854496,0.7612218103181959,0.5971578622181032,var154,Protein C deficiency,exploratory,temporal_holdout,MI continuous XGBoost,-2.3318523888882456,0.7031446138449924,True
1085,6,5,930,149,1,0.45026258881680564,0.00572770905361255,0.04096046346241787,138.2488479262673,0.9216589861751152,0.8333333333333334,0.43649717781352987,0.9699466302516935,0.1380908248378128,0.11878621486176967,0.15996323304856896,0.0053475935828877,0.0022862709224924227,0.012456856035365598,0.9933333333333333,0.9632071602251817,0.9988221986649826,0.16666666666666666,0.8619091751621872,0.9668458781362007,1.2069351230425056,0.22527417361754712,0.630993203583565,0.45026258881680564,var154,Protein C deficiency,exploratory,temporal_holdout,MI spline LASSO,-7.627944375261479,-0.5883521475810473,True
