variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
sexo,Sex,Female,Development eligible,Temporal eligible,10379,239,10379,239,0,0,4832.0,95.0,46.555544850178244,39.74895397489539,0.13775233844568424,0.04180257258972903,,,,,,,,,,
sexo,Sex,Male,Development eligible,Temporal eligible,10379,239,10379,239,0,0,5547.0,144.0,53.444455149821756,60.25104602510461,-0.13775233844568424,0.04180257258972903,,,,,,,,,,
raza,Recorded ethnicity,América Latina,Development eligible,Temporal eligible,10379,239,2705,212,7674,27,56.0,11.0,2.0702402957486137,5.188679245283019,-0.16732417793196264,1.3405094714534043e-05,,,,,,,,,,
raza,Recorded ethnicity,Arábica,Development eligible,Temporal eligible,10379,239,2705,212,7674,27,42.0,4.0,1.5526802218114601,1.8867924528301887,-0.025701835643192172,1.3405094714534043e-05,,,,,,,,,,
raza,Recorded ethnicity,Asiática,Development eligible,Temporal eligible,10379,239,2705,212,7674,27,7.0,1.0,0.2587800369685767,0.4716981132075472,-0.03530092733139832,1.3405094714534043e-05,,,,,,,,,,
raza,Recorded ethnicity,Caucásica,Development eligible,Temporal eligible,10379,239,2705,212,7674,27,2563.0,187.0,94.75046210720888,88.20754716981132,0.2359758095910156,1.3405094714534043e-05,,,,,,,,,,
raza,Recorded ethnicity,Negra,Development eligible,Temporal eligible,10379,239,2705,212,7674,27,7.0,5.0,0.2587800369685767,2.358490566037736,-0.18555457063920594,1.3405094714534043e-05,,,,,,,,,,
raza,Recorded ethnicity,Otras,Development eligible,Temporal eligible,10379,239,2705,212,7674,27,3.0,0.0,0.11090573012939,0.0,0.04712300234610512,1.3405094714534043e-05,,,,,,,,,,
raza,Recorded ethnicity,Romaní,Development eligible,Temporal eligible,10379,239,2705,212,7674,27,27.0,4.0,0.9981515711645103,1.8867924528301887,-0.0745812131071626,1.3405094714534043e-05,,,,,,,,,,
ant_inf,Prior myocardial ischemia,No,Development eligible,Temporal eligible,10379,239,5426,235,4953,4,5219.0,227.0,96.18503501658681,96.59574468085106,-0.022019843336553633,0.8627948878571149,,,,,,,,,,
ant_inf,Prior myocardial ischemia,Yes,Development eligible,Temporal eligible,10379,239,5426,235,4953,4,207.0,8.0,3.814964983413196,3.404255319148936,0.02201984333655401,0.8627948878571149,,,,,,,,,,
