variable,p_value,selected,observed_n
sexo,0.5941142083712796,False,7209
ant_inf,0.3553551763183769,False,7209
ant_isq,0.0477429772398703,True,7209
ant_clau,0.4970578693595694,False,7209
fum_act,0.17938311105477084,False,7209
diabetes,0.17519257503521662,False,7209
hip_art,0.7156246787649282,False,7209
insf_car,0.9150975654295908,False,7209
trat_est,0.33035626418324016,False,7209
e_con_pp,0.6685631480741768,False,7209
e_con_cu,0.23436390779773728,False,7209
e_con_ec,0.29198669830021373,False,7209
e_con_lu,0.3406036635703234,False,7209
e_con_be,0.463365578812148,False,7209
e_con_at,0.6534998809491156,False,7209
e_con_va,0.23436390779773728,False,7209
e_con_ar,0.09213093850369385,True,7209
e_con_ea,0.17605798542051412,False,7209
e_con_pr,0.3689844959012931,False,7209
e_con_ro,0.7509471225282078,False,7209
e_con_av,0.3689844959012931,False,7209
e_con_sm,0.25805981645105536,False,7209
sin_tvp_,0.2994866346333853,False,7209
var171,0.2983423991913515,False,7209
tv_l_ein,1.0,False,7209
tvp_prox,0.9427277108736432,False,7209
fr_cance,0.033792085913754016,True,7209
fr_cirug,0.45773319869290185,False,7209
fr_inmov,0.018057639813460032,True,7209
fr_tvp_a,0.7577542400213524,False,7209
fr_viaje,0.7017648940845522,False,7209
fr_estro,0.22128571798940613,False,7209
fr_embar,0.18424213638658418,False,7209
fr_varic,0.32275546086834994,False,7209
fr_antec,0.9743854000621204,False,7209
ana_dime,0.009530747855997758,True,7209
ana_crea,0.32429083271088704,False,7209
edad,0.9053908100638196,False,7209
peso,0.9378998856468403,False,7209
tension_,0.04123481612435407,True,7209
ana_hemo,0.15895147163664,False,7209
ana_plaq,0.35807315019769914,False,7209
ana_leuc,0.20340424288733014,False,7209
female_under45,0.6393797885403834,False,7209
