iteration,variable,missing_n,imputed_mean,imputed_sd,imputation
1,raza,675,2.8177777777777777,0.7722853691207835,1
1,ant_inf,40,0.0,0.0,1
1,ant_isq,41,0.024390243902439025,0.1542574468374819,1
1,ant_clau,41,0.07317073170731707,0.260416542732471,1
1,fum_act,53,0.1320754716981132,0.3385728008476672,1
1,diabetes,39,0.05128205128205128,0.2205724427446827,1
1,hip_art,40,0.35,0.4769696007084729,1
1,insf_car,8,0.0,0.0,1
1,fibr_aur,299,0.006688963210702341,0.08151209101641431,1
1,trat_est,46,0.2391304347826087,0.4265525406597519,1
1,var171,32,0.0625,0.24206145913796356,1
1,tv_l_esu,565,0.01415929203539823,0.11814739304976025,1
1,tvp_orig,2015,0.23821339950372208,0.4259903470744404,1
1,tv_l_ein,432,0.7685185185185185,0.4217793323677917,1
1,tvp_prox,855,0.9064327485380117,0.29122572159037974,1
1,tv_l_svc,746,0.012064343163538873,0.10917323292625919,1
1,tv_l_vre,770,0.00909090909090909,0.09491187735373229,1
1,tv_l_vrn,759,0.007905138339920948,0.08855872135339161,1
1,tv_l_vca,1456,0.04395604395604396,0.20499734182612783,1
1,tv_l_yug,1471,0.016315431679129844,0.12668558863680388,1
1,tv_l_ova,1474,0.008819538670284939,0.09349734973745666,1
1,tv_l_sup,1472,0.002717391304347826,0.05205772842572831,1
1,tv_l_pul,1472,0.002717391304347826,0.05205772842572831,1
1,tv_l_ove,761,0.06044678055190539,0.2383127509656485,1
1,fr_antfa,1097,0.12215132178669097,0.32746049589600157,1
1,fr_tvs_a,405,0.037037037037037035,0.18885257457751053,1
1,fr_viaje,14,0.07142857142857142,0.25753937681885636,1
1,fr_estro,20,0.05,0.21794494717703367,1
1,fr_varic,47,0.14893617021276595,0.3560255432059895,1
1,fr_antec,1,0.0,0.0,1
1,ana_dime,289,1.5536332179930796,0.5436601737318095,1
1,ana_crea,77,0.8701298701298701,0.33616049624791644,1
1,ana_trop,1334,0.8545727136431784,0.35253112024289796,1
1,tension_,100,132.7,25.278647115698263,1
1,ana_hemo,6,13.533333333333333,0.6420453428086073,1
1,ana_plaq,6,224.5,46.342025563556604,1
1,ana_leuc,20,8.2745,4.1937673695616455,1
1,ana_neu,1635,6.937780428134557,3.2011375354076144,1
1,protcrea,2062,56.166411251212416,56.24873270710905,1
1,splanchnic,728,0.016483516483516484,0.1273256068819392,1
2,raza,675,2.917037037037037,0.6592409485596958,1
2,ant_inf,40,0.0,0.0,1
2,ant_isq,41,0.04878048780487805,0.2154088016177524,1
2,ant_clau,41,0.07317073170731707,0.260416542732471,1
2,fum_act,53,0.24528301886792453,0.4302548773959012,1
2,diabetes,39,0.07692307692307693,0.26646935501059643,1
2,hip_art,40,0.3,0.45825756949558405,1
2,insf_car,8,0.0,0.0,1
2,fibr_aur,299,0.006688963210702341,0.08151209101641431,1
2,trat_est,46,0.1956521739130435,0.3967019041498838,1
