outcome,variable,selected,imputation
andujak2,tv_l_ein,False,4
andujak2,tvp_prox,False,4
andujak2,tv_l_svc,False,4
andujak2,tv_l_vre,False,4
andujak2,tv_l_vrn,False,4
andujak2,tv_l_vca,False,4
andujak2,tv_l_yug,False,4
andujak2,tv_l_ova,False,4
andujak2,tv_l_sup,True,4
andujak2,tv_l_pul,False,4
andujak2,tv_l_ove,False,4
andujak2,fr_cance,False,4
andujak2,fr_cirug,False,4
andujak2,fr_inmov,False,4
andujak2,fr_tvp_a,False,4
andujak2,fr_antfa,False,4
andujak2,fr_tvs_a,False,4
andujak2,fr_viaje,False,4
andujak2,fr_estro,False,4
andujak2,fr_embar,False,4
andujak2,fr_varic,False,4
andujak2,fr_antec,False,4
andujak2,ana_dime,False,4
andujak2,ana_crea,True,4
andujak2,ana_trop,False,4
andujak2,edad,True,4
andujak2,peso,False,4
andujak2,tension_,False,4
andujak2,ana_hemo,True,4
andujak2,ana_plaq,True,4
andujak2,ana_leuc,False,4
andujak2,ana_neu,True,4
andujak2,protcrea,False,4
andujak2,splanchnic,True,4
andujak2,sexo,False,5
andujak2,raza,True,5
andujak2,ant_inf,False,5
andujak2,ant_isq,False,5
andujak2,ant_clau,True,5
andujak2,fum_act,False,5
andujak2,diabetes,False,5
andujak2,hip_art,True,5
andujak2,insf_car,False,5
andujak2,fibr_aur,True,5
andujak2,trat_est,False,5
andujak2,e_con_pp,False,5
andujak2,e_con_cu,False,5
andujak2,e_con_ec,True,5
andujak2,e_con_lu,False,5
andujak2,e_con_be,False,5
andujak2,e_con_va,False,5
andujak2,e_con_ar,False,5
andujak2,e_con_ea,False,5
andujak2,e_con_pr,False,5
andujak2,e_con_av,False,5
andujak2,e_con_sm,False,5
andujak2,sin_tvp_,False,5
andujak2,var171,False,5
andujak2,tv_l_esu,False,5
andujak2,tvp_orig,False,5
andujak2,tv_l_ein,False,5
andujak2,tvp_prox,False,5
andujak2,tv_l_svc,False,5
andujak2,tv_l_vre,False,5
andujak2,tv_l_vrn,False,5
andujak2,tv_l_vca,False,5
andujak2,tv_l_yug,True,5
andujak2,tv_l_ova,True,5
andujak2,tv_l_sup,False,5
andujak2,tv_l_pul,False,5
andujak2,tv_l_ove,False,5
andujak2,fr_cance,False,5
andujak2,fr_cirug,False,5
andujak2,fr_inmov,False,5
andujak2,fr_tvp_a,False,5
andujak2,fr_antfa,False,5
andujak2,fr_tvs_a,False,5
andujak2,fr_viaje,False,5
andujak2,fr_estro,False,5
andujak2,fr_embar,False,5
andujak2,fr_varic,False,5
andujak2,fr_antec,False,5
andujak2,ana_dime,False,5
andujak2,ana_crea,True,5
andujak2,ana_trop,False,5
andujak2,edad,True,5
andujak2,peso,False,5
andujak2,tension_,False,5
andujak2,ana_hemo,True,5
andujak2,ana_plaq,True,5
andujak2,ana_leuc,False,5
