variable,p_value,selected,observed_n
sexo,3.879716517352301e-06,True,5866
insf_car,0.9635518051200931,False,5866
e_con_pp,0.3730327009599079,False,5866
e_con_cu,0.2833157988903326,False,5866
e_con_ec,0.010345986865447568,True,5866
e_con_lu,1.9425245559954889e-10,True,5866
e_con_be,0.030941268552851637,True,5866
e_con_at,0.3320984648334865,False,5866
e_con_va,0.0053254955400759895,True,5866
e_con_ar,0.1393725430534018,False,5866
e_con_ea,0.210480371337698,False,5866
e_con_pr,0.210480371337698,False,5866
e_con_ro,0.5755354539400275,False,5866
e_con_av,0.986680324646753,False,5866
e_con_sm,0.5634832936721504,False,5866
sin_tvp_,0.2287154057607914,False,5866
var171,0.8335567676701164,False,5866
tv_l_ein,1.0,False,5866
tvp_prox,0.02698784900758063,True,5866
fr_cance,0.025932959687089346,True,5866
fr_cirug,0.0014790777003946243,True,5866
fr_inmov,0.00880727928767372,True,5866
fr_tvp_a,0.14309674493596664,False,5866
fr_viaje,0.775143555029493,False,5866
fr_estro,0.0002685720622375208,True,5866
fr_embar,0.052871405232831264,True,5866
fr_varic,0.6876612295554371,False,5866
fr_antec,0.8412227002334312,False,5866
ana_dime,5.3803623585435416e-08,True,5866
ana_crea,0.1580638680241172,False,5866
edad,0.0016795882943565956,True,5866
peso,0.3857024431433663,False,5866
tension_,0.46865311777642404,False,5866
ana_hemo,0.22801346920728854,False,5866
ana_plaq,4.452633848104301e-09,True,5866
ana_leuc,0.20753110211258893,False,5866
female_under45,0.02258624082513048,True,5866
