candidate,auc,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,selected
0,0.5897639431913417,80,2,0.03,0.8,0.8,0.0,1.0,False
1,0.6058902474992897,80,3,0.08,0.8,0.8,0.1,5.0,True
2,0.5986316096625794,120,2,0.08,1.0,0.9,0.5,5.0,False
3,0.5997275925199895,120,3,0.03,0.9,1.0,0.1,10.0,False
