bin,n,predicted,observed,absolute_error,outcome,analysis,validation,model
2,652,0.27034988185847625,0.2837423312883436,0.013392449429867337,ana_dura,guided_complete_case,nested_cv,Logistic LASSO
3,3174,0.3572670922762736,0.3588531821045999,0.0015860898283262537,ana_dura,guided_complete_case,nested_cv,Logistic LASSO
4,3376,0.44135604266991124,0.4369075829383886,0.004448459731522636,ana_dura,guided_complete_case,nested_cv,Logistic LASSO
1,7,0.1897359360635012,0.14285714285714285,0.04687879320635835,ana_dura,guided_complete_case,nested_cv,Automatic integer score
2,628,0.2697762184153991,0.28662420382165604,0.016847985406256927,ana_dura,guided_complete_case,nested_cv,Automatic integer score
3,3383,0.35945949525252857,0.3609222583505764,0.0014627630980478257,ana_dura,guided_complete_case,nested_cv,Automatic integer score
4,3191,0.44322649818644255,0.4384205578188656,0.004805940367576977,ana_dura,guided_complete_case,nested_cv,Automatic integer score
2,16,0.28249591389144507,0.375,0.09250408610855493,ana_dura,guided_complete_case,temporal_holdout,Logistic LASSO
3,156,0.3653243909317293,0.33974358974358976,0.025580801188139546,ana_dura,guided_complete_case,temporal_holdout,Logistic LASSO
4,251,0.4429190496298989,0.32669322709163345,0.11622582253826547,ana_dura,guided_complete_case,temporal_holdout,Logistic LASSO
2,16,0.28071713801341475,0.375,0.09428286198658525,ana_dura,guided_complete_case,temporal_holdout,Automatic integer score
3,157,0.3650617308593698,0.34394904458598724,0.021112686273382586,ana_dura,guided_complete_case,temporal_holdout,Automatic integer score
4,250,0.44278671303705125,0.324,0.11878671303705124,ana_dura,guided_complete_case,temporal_holdout,Automatic integer score
