bin,n,predicted,observed,absolute_error,outcome,validation,model
0,76,0.07917963017366435,0.0,0.07917963017366435,ana_dura,nested_cv,MI continuous XGBoost
1,254,0.15399797351693545,0.04330708661417323,0.11069088690276221,ana_dura,nested_cv,MI continuous XGBoost
2,1577,0.268387228826896,0.274571972098922,0.006184743272026005,ana_dura,nested_cv,MI continuous XGBoost
3,11832,0.358561315833817,0.35361730899256255,0.004944006841254456,ana_dura,nested_cv,MI continuous XGBoost
4,7811,0.4330824547258997,0.4430930738701831,0.010010619144283417,ana_dura,nested_cv,MI continuous XGBoost
5,212,0.518502801656723,0.5235849056603774,0.005082104003654386,ana_dura,nested_cv,MI continuous XGBoost
0,4,0.08686099943829492,0.25,0.16313900056170508,ana_dura,nested_cv,MI spline LASSO
1,332,0.17381769207805056,0.10843373493975904,0.06538395713829152,ana_dura,nested_cv,MI spline LASSO
2,2712,0.2617045257589659,0.28244837758112096,0.020743851822155046,ana_dura,nested_cv,MI spline LASSO
3,9957,0.3565238221519199,0.35502661444210104,0.0014972077098188707,ana_dura,nested_cv,MI spline LASSO
4,8069,0.4381462885081856,0.4327673813359772,0.0053789071722084025,ana_dura,nested_cv,MI spline LASSO
5,674,0.5244760452124412,0.5385756676557863,0.014099622443345172,ana_dura,nested_cv,MI spline LASSO
6,14,0.624710748964694,0.5,0.12471074896469403,ana_dura,nested_cv,MI spline LASSO
0,3,0.07742095614473025,0.0,0.07742095614473025,ana_dura,temporal_holdout,MI continuous XGBoost
1,25,0.14882547169923782,0.0,0.14882547169923782,ana_dura,temporal_holdout,MI continuous XGBoost
2,73,0.271952043453308,0.2602739726027397,0.011678070850568267,ana_dura,temporal_holdout,MI continuous XGBoost
3,553,0.3604326861999781,0.30018083182640143,0.06025185437357666,ana_dura,temporal_holdout,MI continuous XGBoost
4,420,0.4303719081339382,0.3619047619047619,0.06846714622917632,ana_dura,temporal_holdout,MI continuous XGBoost
5,11,0.5130022655833851,0.7272727272727273,0.21427046168934216,ana_dura,temporal_holdout,MI continuous XGBoost
