bin,n,predicted,observed,absolute_error,outcome,validation,model
1,21,0.17810193212027747,0.047619047619047616,0.13048288450122986,ana_dura,temporal_holdout,MI spline LASSO
2,129,0.26122697038269216,0.2558139534883721,0.005413016894320055,ana_dura,temporal_holdout,MI spline LASSO
3,468,0.35745094230975916,0.2863247863247863,0.07112615598497285,ana_dura,temporal_holdout,MI spline LASSO
4,435,0.43903090465367395,0.3632183908045977,0.07581251384907622,ana_dura,temporal_holdout,MI spline LASSO
5,31,0.5205929738456581,0.5806451612903226,0.06005218744466456,ana_dura,temporal_holdout,MI spline LASSO
6,1,0.6042173175610565,1.0,0.39578268243894354,ana_dura,temporal_holdout,MI spline LASSO
0,13572,0.06390465816545758,0.061523725316828766,0.0023809328486288153,var156,nested_cv,MI continuous XGBoost
1,7962,0.133223898649867,0.13614669680984678,0.0029227981599797836,var156,nested_cv,MI continuous XGBoost
2,228,0.21812253334281737,0.23684210526315788,0.018719571920340516,var156,nested_cv,MI continuous XGBoost
0,13404,0.060634873674943184,0.06005669949268875,0.0005781741822544345,var156,nested_cv,MI spline LASSO
1,7907,0.13545849951193414,0.13507019097002657,0.00038830854190757824,var156,nested_cv,MI spline LASSO
2,447,0.22449736765167672,0.22371364653243847,0.0007837211192382454,var156,nested_cv,MI spline LASSO
3,3,0.34640486754841265,0.0,0.34640486754841265,var156,nested_cv,MI spline LASSO
5,1,0.540863250390863,0.0,0.540863250390863,var156,nested_cv,MI spline LASSO
0,684,0.0649516304453824,0.043859649122807015,0.02109198132257538,var156,temporal_holdout,MI continuous XGBoost
1,394,0.13169430812754607,0.10406091370558376,0.027633394421962304,var156,temporal_holdout,MI continuous XGBoost
2,7,0.23868407947676523,0.14285714285714285,0.09582693661962238,var156,temporal_holdout,MI continuous XGBoost
0,654,0.05969223544721084,0.04434250764525994,0.015349727801950902,var156,temporal_holdout,MI spline LASSO
1,415,0.13347203486983691,0.09397590361445783,0.03949613125537908,var156,temporal_holdout,MI spline LASSO
2,15,0.22792781127587836,0.26666666666666666,0.03873885539078831,var156,temporal_holdout,MI spline LASSO
3,1,0.3588064301757538,0.0,0.3588064301757538,var156,temporal_holdout,MI spline LASSO
0,19558,0.06654657636417596,0.06708252377543716,0.0005359474112612006,var157,nested_cv,MI continuous XGBoost
1,2204,0.11177118467386751,0.10526315789473684,0.006508026779130677,var157,nested_cv,MI continuous XGBoost
0,18836,0.06477809016184197,0.06577829687831811,0.0010002067164761458,var157,nested_cv,MI spline LASSO
1,2925,0.1150716375168106,0.10427350427350428,0.010798133243306321,var157,nested_cv,MI spline LASSO
2,1,0.24942615426887485,0.0,0.24942615426887485,var157,nested_cv,MI spline LASSO
0,990,0.06762198065642756,0.051515151515151514,0.01610682914127605,var157,temporal_holdout,MI continuous XGBoost
1,95,0.11306942873879483,0.07368421052631578,0.03938521821247905,var157,temporal_holdout,MI continuous XGBoost
0,939,0.06636026602832261,0.04898828541001065,0.01737198061831196,var157,temporal_holdout,MI spline LASSO
1,146,0.1165100674476951,0.0821917808219178,0.034318286625777294,var157,temporal_holdout,MI spline LASSO
0,17774,0.07163799150078848,0.07100258804996061,0.0006354034508278678,var161,nested_cv,MI continuous XGBoost
1,3834,0.11809085586813196,0.11580594679186229,0.0022849090762696728,var161,nested_cv,MI continuous XGBoost
2,127,0.2350909699370542,0.3464566929133858,0.11136572297633163,var161,nested_cv,MI continuous XGBoost
3,22,0.3348745663057674,0.5454545454545454,0.21057997914877802,var161,nested_cv,MI continuous XGBoost
4,5,0.4251134991645813,0.2,0.2251134991645813,var161,nested_cv,MI continuous XGBoost
0,16553,0.06757566819365687,0.06741980305684771,0.00015586513680916625,var161,nested_cv,MI spline LASSO
1,5040,0.1205409039091346,0.11825396825396825,0.0022869356551663556,var161,nested_cv,MI spline LASSO
2,115,0.22939608587323673,0.23478260869565218,0.005386522822415446,var161,nested_cv,MI spline LASSO
3,22,0.34701331680772074,0.5454545454545454,0.19844122864682467,var161,nested_cv,MI spline LASSO
4,19,0.4366801477096863,0.47368421052631576,0.03700406281662949,var161,nested_cv,MI spline LASSO
5,11,0.5416236417082281,0.2727272727272727,0.26889636898095537,var161,nested_cv,MI spline LASSO
6,2,0.6397736028360175,0.0,0.6397736028360175,var161,nested_cv,MI spline LASSO
0,860,0.07460858187270025,0.0872093023255814,0.012600720452881145,var161,temporal_holdout,MI continuous XGBoost
1,218,0.1184796499208026,0.2018348623853211,0.08335521246451852,var161,temporal_holdout,MI continuous XGBoost
2,6,0.22062002370754877,0.3333333333333333,0.11271330962578455,var161,temporal_holdout,MI continuous XGBoost
3,1,0.344061940908432,1.0,0.655938059091568,var161,temporal_holdout,MI continuous XGBoost
0,768,0.06918119103015503,0.09505208333333333,0.025870892303178294,var161,temporal_holdout,MI spline LASSO
1,303,0.12214578652246773,0.1353135313531353,0.013167744830667585,var161,temporal_holdout,MI spline LASSO
2,11,0.230224549732242,0.5454545454545454,0.3152299957223034,var161,temporal_holdout,MI spline LASSO
4,2,0.46170170044552417,0.5,0.038298299554475834,var161,temporal_holdout,MI spline LASSO
5,1,0.5474639516322576,1.0,0.4525360483677424,var161,temporal_holdout,MI spline LASSO
0,21698,0.03322042723668157,0.03309060742925615,0.0001298198074254145,var155,nested_cv,MI continuous XGBoost
1,64,0.11786153248976916,0.109375,0.00848653248976916,var155,nested_cv,MI continuous XGBoost
0,21674,0.033605463425148675,0.03303497277844422,0.0005704906467044538,var155,nested_cv,MI spline LASSO
1,87,0.11676311844676347,0.10344827586206896,0.013314842584694508,var155,nested_cv,MI spline LASSO
2,1,0.200263900930688,0.0,0.200263900930688,var155,nested_cv,MI spline LASSO
0,1082,0.032998473807831954,0.02865064695009242,0.004347826857739535,var155,temporal_holdout,MI continuous XGBoost
1,3,0.1314645359913508,0.0,0.1314645359913508,var155,temporal_holdout,MI continuous XGBoost
0,1079,0.033692273421557735,0.028730305838739572,0.004961967582818163,var155,temporal_holdout,MI spline LASSO
1,6,0.11159741966758473,0.0,0.11159741966758473,var155,temporal_holdout,MI spline LASSO
0,21762,0.0161914137108747,0.016037128940354747,0.00015428477051995446,var154,nested_cv,MI continuous XGBoost
0,21762,0.016578022813115424,0.016037128940354747,0.0005408938727606769,var154,nested_cv,MI spline LASSO
0,1085,0.017102706327622386,0.005529953917050691,0.011572752410571695,var154,temporal_holdout,MI continuous XGBoost
0,1085,0.0176276114778532,0.005529953917050691,0.012097657560802508,var154,temporal_holdout,MI spline LASSO
0,21762,0.011290779012541588,0.011212204760591857,7.857425194973157e-05,var158,nested_cv,MI continuous XGBoost
0,21762,0.01180494818125042,0.011212204760591857,0.0005927434206585633,var158,nested_cv,MI spline LASSO
0,1085,0.011945200229518562,0.013824884792626729,0.0018796845631081673,var158,temporal_holdout,MI continuous XGBoost
0,1085,0.012327863397290976,0.013824884792626729,0.0014970213953357531,var158,temporal_holdout,MI spline LASSO
0,2029,0.013555033940915064,0.01232134056185313,0.0012336933790619339,andujak2,nested_cv,MI continuous XGBoost
1,40,0.1373474381864071,0.275,0.13765256181359292,andujak2,nested_cv,MI continuous XGBoost
2,7,0.24216971014227187,0.42857142857142855,0.18640171842915668,andujak2,nested_cv,MI continuous XGBoost
3,7,0.33696589299610685,0.5714285714285714,0.23446267843246454,andujak2,nested_cv,MI continuous XGBoost
4,3,0.44462279478708905,0.0,0.44462279478708905,andujak2,nested_cv,MI continuous XGBoost
5,5,0.5455148458480835,0.2,0.3455148458480835,andujak2,nested_cv,MI continuous XGBoost
6,6,0.6603166361649832,1.0,0.33968336383501685,andujak2,nested_cv,MI continuous XGBoost
8,1,0.8715280294418335,1.0,0.1284719705581665,andujak2,nested_cv,MI continuous XGBoost
0,1999,0.02200049185027667,0.01200600300150075,0.009994488848775919,andujak2,nested_cv,MI spline LASSO
1,67,0.1342435983269542,0.1044776119402985,0.0297659863866557,andujak2,nested_cv,MI spline LASSO
2,20,0.23402790387865555,0.55,0.31597209612134447,andujak2,nested_cv,MI spline LASSO
3,6,0.3291902570714745,0.6666666666666666,0.33747640959519215,andujak2,nested_cv,MI spline LASSO
4,3,0.4746521026083002,0.6666666666666666,0.19201456405836642,andujak2,nested_cv,MI spline LASSO
5,2,0.5094495135111539,1.0,0.49055048648884614,andujak2,nested_cv,MI spline LASSO
8,1,0.8413760414249255,1.0,0.1586239585750745,andujak2,nested_cv,MI spline LASSO
0,128,0.013088333053019596,0.015625,0.0025366669469804037,andujak2,temporal_holdout,MI continuous XGBoost
1,4,0.13386190496385098,0.5,0.366138095036149,andujak2,temporal_holdout,MI continuous XGBoost
2,3,0.2356803168853124,0.6666666666666666,0.4309863497813542,andujak2,temporal_holdout,MI continuous XGBoost
3,1,0.35462936758995056,1.0,0.6453706324100494,andujak2,temporal_holdout,MI continuous XGBoost
5,2,0.5879453718662262,0.5,0.0879453718662262,andujak2,temporal_holdout,MI continuous XGBoost
6,1,0.6034885048866272,0.0,0.6034885048866272,andujak2,temporal_holdout,MI continuous XGBoost
7,2,0.751729279756546,1.0,0.24827072024345398,andujak2,temporal_holdout,MI continuous XGBoost
0,129,0.022922956927963114,0.031007751937984496,0.008084795010021382,andujak2,temporal_holdout,MI spline LASSO
1,4,0.1291385500924383,0.25,0.1208614499075617,andujak2,temporal_holdout,MI spline LASSO
2,3,0.24229787159363078,0.3333333333333333,0.09103546173970253,andujak2,temporal_holdout,MI spline LASSO
3,2,0.3602209891954434,0.5,0.13977901080455662,andujak2,temporal_holdout,MI spline LASSO
4,2,0.4508179454794759,1.0,0.5491820545205242,andujak2,temporal_holdout,MI spline LASSO
6,1,0.6830188569355897,1.0,0.3169811430644103,andujak2,temporal_holdout,MI spline LASSO
