threshold,n,tp,fp,net_benefit,test_all_net_benefit,test_none_net_benefit,net_tests_avoided_per_1000,outcome,validation,model
0.42,21762,2367,2734,0.017792799216603455,-0.07447654722404429,0.0,127.41957365613263,ana_dura,nested_cv,MI continuous XGBoost
0.43,21762,1857,2031,0.014927033602755177,-0.09332701296481699,0.0,143.49955010120033,ana_dura,nested_cv,MI continuous XGBoost
0.44,21762,1425,1451,0.013092940512295356,-0.11285070962490307,0.0,160.2919183564344,ana_dura,nested_cv,MI continuous XGBoost
0.45,21762,1056,1050,0.00904829937088002,-0.13308435889081033,0.0,173.71769343095488,ana_dura,nested_cv,MI continuous XGBoost
0.46,21762,762,709,0.0072620640123627,-0.1540674025739736,0.0,189.38676512309047,ana_dura,nested_cv,MI continuous XGBoost
0.47,21762,521,486,0.0041365163093708465,-0.17584225922631264,0.0,202.95478943385586,ana_dura,nested_cv,MI continuous XGBoost
0.48,21762,323,305,0.0019052264709832943,-0.19845461036528017,0.0,217.0564899059521,ana_dura,nested_cv,MI continuous XGBoost
0.49,21762,202,191,0.000849655182356005,-0.2219537203724426,0.0,231.8973908835659,ana_dura,nested_cv,MI continuous XGBoost
0.5,21762,111,101,0.00045951658854884663,-0.24639279477989146,0.0,246.8523113684403,ana_dura,nested_cv,MI continuous XGBoost
0.01,21762,8200,13562,0.37050868950510524,0.3705086895051053,0.0,-5.495603971894524e-12,ana_dura,nested_cv,MI spline LASSO
0.02,21762,8200,13562,0.3640853087857696,0.3640853087857696,0.0,0.0,ana_dura,nested_cv,MI spline LASSO
0.03,21762,8200,13562,0.35752948722686,0.35752948722686007,0.0,-1.7948605564773361e-12,ana_dura,nested_cv,MI spline LASSO
0.04,21762,8200,13562,0.3508370860521398,0.3508370860521398,0.0,0.0,ana_dura,nested_cv,MI spline LASSO
0.05,21762,8200,13562,0.3440037922211097,0.3440037922211097,0.0,0.0,ana_dura,nested_cv,MI spline LASSO
0.06,21762,8200,13562,0.33702510915963213,0.3370251091596322,0.0,-8.696747026230394e-13,ana_dura,nested_cv,MI spline LASSO
0.07,21762,8199,13562,0.32985039523367654,0.32989634689253144,0.0,-0.6105006105008619,ana_dura,nested_cv,MI spline LASSO
0.08,21762,8199,13562,0.3225666598738127,0.3226126115326677,0.0,-0.5284440768320298,ana_dura,nested_cv,MI spline LASSO
0.09,21762,8199,13561,0.31512738708768484,0.3151687940769827,0.0,-0.4186706695669673,ana_dura,nested_cv,MI spline LASSO
0.1,21762,8199,13559,0.3075289240163792,0.30755955845561583,0.0,-0.2757099531295881,ana_dura,nested_cv,MI spline LASSO
0.11,21762,8199,13558,0.29975609479052756,0.29977932877534186,0.0,-0.18798405895203985,ana_dura,nested_cv,MI spline LASSO
0.12,21762,8199,13557,0.29180765471088055,0.2918222756932435,0.0,-0.10722053732818242,ana_dura,nested_cv,MI spline LASSO
0.13,21762,8199,13547,0.2837393452892155,0.28368230185063703,0.0,0.3817522427944813,ana_dura,nested_cv,MI spline LASSO
0.14,21762,8198,13530,0.275500499056388,0.27535302629076075,0.0,0.905904131710346,ana_dura,nested_cv,MI spline LASSO
0.15,21762,8198,13509,0.2671656476210556,0.2668277677765344,0.0,1.914652452286891,ana_dura,nested_cv,MI spline LASSO
0.16,21762,8196,13477,0.2586596995199146,0.2580995269167312,0.0,2.9409061667126504,ana_dura,nested_cv,MI spline LASSO
0.17,21762,8193,13441,0.2499781314394606,0.24916096700006535,0.0,3.989685204106227,ana_dura,nested_cv,MI spline LASSO
0.18,21762,8186,13401,0.2409850690731887,0.24000439342689545,0.0,4.467522388669274,ana_dura,nested_cv,MI spline LASSO
0.19,21762,8181,13339,0.23215231897031977,0.23062173161735094,0.0,6.525135557393394,ana_dura,nested_cv,MI spline LASSO
0.2,21762,8163,13263,0.22273917838433968,0.22100450326256782,0.0,6.938700487087446,ana_dura,nested_cv,MI spline LASSO
0.21,21762,8141,13147,0.21350187703801426,0.21114380077222059,0.0,8.870858333223842,ana_dura,nested_cv,MI spline LASSO
0.22,21762,8122,13045,0.2041467248249713,0.2010302597564798,0.0,11.049285242833411,ana_dura,nested_cv,MI spline LASSO
0.23,21762,8076,12906,0.19396016170209718,0.19065402936370685,0.0,11.068356089393722,ana_dura,nested_cv,MI spline LASSO
0.24,21762,8022,12751,0.18359380668378972,0.1800047402763872,0.0,11.36537695677468,ana_dura,nested_cv,MI spline LASSO
0.25,21762,7958,12590,0.17283950617283952,0.169071470146739,0.0,11.304108078301539,ana_dura,nested_cv,MI spline LASSO
0.26,21762,7872,12396,0.16159583901519384,0.15784270622980304,0.0,10.681993312266123,ana_dura,nested_cv,MI spline LASSO
0.27,21762,7785,12183,0.1506736009608303,0.1463063049452798,0.0,11.807874412414309,ana_dura,nested_cv,MI spline LASSO
0.28,21762,7690,11925,0.1402674386545354,0.13444944806951978,0.0,14.960547218611579,ana_dura,nested_cv,MI spline LASSO
0.29,21762,7546,11629,0.12848666301642223,0.12225859522542853,0.0,15.248028040019037,ana_dura,nested_cv,MI spline LASSO
0.3,21762,7397,11317,0.11703231058069764,0.10971943230007752,0.0,17.063382654780277,ana_dura,nested_cv,MI spline LASSO
0.31,21762,7235,10925,0.10691419293569829,0.09681681537689019,0.0,22.474808114766418,ana_dura,nested_cv,MI spline LASSO
0.32,21762,7000,10446,0.0957740692086043,0.08353470972066801,0.0,26.008638911864622,ana_dura,nested_cv,MI spline LASSO
0.33,21762,6726,9914,0.08468822142389784,0.06985612329858842,0.0,30.113653769567602,ana_dura,nested_cv,MI spline LASSO
0.34,21762,6378,9355,0.07162749635867913,0.05576303425765794,0.0,30.795720549041125,ana_dura,nested_cv,MI spline LASSO
0.35,21762,6048,8699,0.06267452793507385,0.04123631170777581,0.0,39.813830136410644,ana_dura,nested_cv,MI spline LASSO
0.36,21762,5652,8000,0.05293631100082713,0.026255629078209775,0.0,47.43232341798641,ana_dura,nested_cv,MI spline LASSO
0.37,21762,5222,7252,0.04424634173738116,0.010799369222308342,0.0,56.950250498637494,ana_dura,nested_cv,MI spline LASSO
0.38,21762,4792,6445,0.038683885197933074,-0.0051554796612027776,0.0,71.52738477016902,ana_dura,nested_cv,MI spline LASSO
0.39,21762,4332,5683,0.03210213019837555,-0.02163343834417336,0.0,84.04794054090983,ana_dura,nested_cv,MI spline LASSO
0.4,21762,3862,4895,0.02750972643445761,-0.03866066231657628,0.0,99.25558312655082,ana_dura,nested_cv,MI spline LASSO
0.41,21762,3378,4111,0.02395016036350103,-0.05626508032194183,0.0,115.43168781563733,ana_dura,nested_cv,MI spline LASSO
0.42,21762,2891,3394,0.01990974460384919,-0.07447654722404429,0.0,130.34297442899575,ana_dura,nested_cv,MI spline LASSO
0.43,21762,2426,2722,0.017119814516532137,-0.09332701296481699,0.0,146.4062596845791,ana_dura,nested_cv,MI spline LASSO
0.44,21762,1988,2162,0.013293158454448775,-0.11285070962490307,0.0,160.54674119190236,ana_dura,nested_cv,MI spline LASSO
0.45,21762,1601,1664,0.011007511007511015,-0.13308435889081033,0.0,176.11228543128166,ana_dura,nested_cv,MI spline LASSO
0.46,21762,1247,1243,0.008645719517881997,-0.1540674025739736,0.0,191.01105636870008,ana_dura,nested_cv,MI spline LASSO
0.47,21762,943,912,0.006168793448160463,-0.17584225922631264,0.0,205.24650620738458,ana_dura,nested_cv,MI spline LASSO
0.48,21762,703,646,0.004902688525517312,-0.19845461036528017,0.0,220.30374046503061,ana_dura,nested_cv,MI spline LASSO
0.49,21762,535,465,0.004054558134254529,-0.2219537203724426,0.0,235.23310620084806,ana_dura,nested_cv,MI spline LASSO
0.5,21762,370,318,0.0023894862604540022,-0.24639279477989146,0.0,248.78228104034548,ana_dura,nested_cv,MI spline LASSO
0.01,1085,345,740,0.311083182050924,0.311083182050924,0.0,0.0,ana_dura,temporal_holdout,MI continuous XGBoost
0.02,1085,345,740,0.30405341860246404,0.30405341860246404,0.0,0.0,ana_dura,temporal_holdout,MI continuous XGBoost
0.03,1085,345,740,0.29687871157774715,0.29687871157774715,0.0,0.0,ana_dura,temporal_holdout,MI continuous XGBoost
0.04,1085,345,740,0.28955453149001537,0.28955453149001537,0.0,0.0,ana_dura,temporal_holdout,MI continuous XGBoost
0.05,1085,345,740,0.28207615813727865,0.2820761581372787,0.0,-1.0547118733938987e-12,ana_dura,temporal_holdout,MI continuous XGBoost
0.06,1085,345,739,0.2744974997548779,0.27443867045788806,0.0,0.9216589861744674,ana_dura,temporal_holdout,MI continuous XGBoost
0.07,1085,345,739,0.2667063079133839,0.2666369357316288,0.0,0.9216589861752046,ana_dura,temporal_holdout,MI continuous XGBoost
0.08,1085,345,739,0.2587457423362052,0.2586655980765378,0.0,0.9216589861751334,ana_dura,temporal_holdout,MI continuous XGBoost
0.09,1085,345,738,0.25070137236035855,0.250519066187269,0.0,1.8433179723500324,ana_dura,temporal_holdout,MI continuous XGBoost
0.1,1085,345,737,0.24249871991807473,0.24219150025601638,0.0,2.7649769585251507,ana_dura,temporal_holdout,MI continuous XGBoost
0.11,1085,345,735,0.23424636255372028,0.233676798011702,0.0,4.608294930875223,ana_dura,temporal_holdout,MI continuous XGBoost
0.12,1085,345,735,0.2255969836614998,0.22496857980728951,0.0,4.608294930875426,ana_dura,temporal_holdout,MI continuous XGBoost
0.13,1085,345,732,0.21716192594946765,0.21606017267863764,0.0,7.373271889400824,ana_dura,temporal_holdout,MI continuous XGBoost
0.14,1085,345,727,0.2088950809130854,0.20694459329117995,0.0,11.981566820276301,ana_dura,temporal_holdout,MI continuous XGBoost
0.15,1085,345,726,0.1998915695310382,0.19761452968284088,0.0,12.903225806451516,ana_dura,temporal_holdout,MI continuous XGBoost
0.16,1085,345,719,0.19174895764757516,0.1880623217028747,0.0,19.35483870967736,ana_dura,temporal_holdout,MI continuous XGBoost
0.17,1085,345,717,0.18262173116428848,0.1782799400366443,0.0,21.198156682027484,ana_dura,temporal_holdout,MI continuous XGBoost
0.18,1085,345,713,0.1737214791502754,0.1682589636956278,0.0,24.88479262672795,ana_dura,temporal_holdout,MI continuous XGBoost
0.19,1085,345,713,0.16382772941912727,0.15799055584001825,0.0,24.884792626727894,ana_dura,temporal_holdout,MI continuous XGBoost
0.2,1085,345,712,0.15391705069124423,0.14746543778801846,0.0,25.806451612903068,ana_dura,temporal_holdout,MI continuous XGBoost
0.21,1085,345,712,0.14353380388496764,0.13667386105115795,0.0,25.806451612903142,ana_dura,temporal_holdout,MI continuous XGBoost
