outcome,kind,candidate,selected,log_loss,auc,C,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
ana_dura,lasso,0,False,0.6547436689739573,0.5704081133700083,0.01,,,,,,,
ana_dura,lasso,1,True,0.653098688236044,0.5742806462998726,0.1,,,,,,,
ana_dura,lasso,2,False,0.6535798690726955,0.573527471903671,1.0,,,,,,,
ana_dura,lasso,3,False,0.653809105557495,0.5731696497822661,10.0,,,,,,,
ana_dura,xgb,0,False,0.6546732206000933,0.5701846677450322,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
ana_dura,xgb,1,True,0.6512237826197966,0.57619020888741,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
ana_dura,xgb,2,False,0.6521019458930833,0.5738571569482632,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
ana_dura,xgb,3,False,0.6520799606457832,0.5756408649555202,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var156,lasso,0,False,0.29457296838397284,0.6468079664621312,0.01,,,,,,,
var156,lasso,1,True,0.290152119189656,0.6632743296866629,0.1,,,,,,,
var156,lasso,2,False,0.2906989500776639,0.66283365783923,1.0,,,,,,,
var156,lasso,3,False,0.29134185952050884,0.6621963347772323,10.0,,,,,,,
var156,xgb,0,False,0.2948973062664573,0.6432101148696372,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var156,xgb,1,True,0.2913037169882915,0.6562736346145893,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var156,xgb,2,False,0.29149293789119135,0.6559573776225905,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var156,xgb,3,False,0.2924624417653823,0.6513559916783714,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var157,lasso,0,False,0.2554634570355821,0.5753176208632884,0.01,,,,,,,
var157,lasso,1,True,0.2533965235349615,0.5919694038542125,0.1,,,,,,,
var157,lasso,2,False,0.25392977682233747,0.5898135551727012,1.0,,,,,,,
var157,lasso,3,False,0.2544268665363456,0.5867909512567677,10.0,,,,,,,
var157,xgb,0,False,0.25465771584699287,0.5855156383756217,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var157,xgb,1,True,0.253361774274784,0.5913020058124583,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var157,xgb,2,False,0.25354122637051546,0.5911608609200494,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var157,xgb,3,False,0.25387321662921464,0.5878789182161039,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var161,lasso,0,False,0.2764920615029564,0.5937305311771279,0.01,,,,,,,
var161,lasso,1,True,0.2734904739018822,0.6081557764781571,0.1,,,,,,,
var161,lasso,2,False,0.2746044607239682,0.6046530961037129,1.0,,,,,,,
var161,lasso,3,False,0.2750747740706563,0.6034059752683164,10.0,,,,,,,
var161,xgb,0,False,0.2751605192790418,0.6048588065268358,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var161,xgb,1,True,0.2722859556535823,0.6138739235083148,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var161,xgb,2,False,0.2724808397353745,0.6152832240750175,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var161,xgb,3,False,0.27308784283018234,0.612676896453655,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var155,lasso,0,False,0.1475196794539467,0.5551781964355236,0.01,,,,,,,
var155,lasso,1,True,0.14480873135857952,0.6111493305423118,0.1,,,,,,,
var155,lasso,2,False,0.14577345568192165,0.6046671639813769,1.0,,,,,,,
var155,lasso,3,False,0.14642790310630982,0.6025561462153938,10.0,,,,,,,
var155,xgb,0,False,0.14673838463959948,0.5913243164779893,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var155,xgb,1,True,0.14476388525755465,0.6132129769519585,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var155,xgb,2,False,0.14482822959239974,0.6105295468437795,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var155,xgb,3,False,0.14522346572070335,0.6040781158737865,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var154,lasso,0,False,0.08413634008704317,0.47695387441421133,0.01,,,,,,,
var154,lasso,1,True,0.08299632535713614,0.5397864182761489,0.1,,,,,,,
var154,lasso,2,False,0.08370477715090946,0.5564247401659774,1.0,,,,,,,
var154,lasso,3,False,0.08421625615501896,0.5531024590180905,10.0,,,,,,,
var154,xgb,0,False,0.0847878046688732,0.5700104600301379,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var154,xgb,1,False,0.08247882667698862,0.5774410774410774,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var154,xgb,2,True,0.08243032961786768,0.5774488417152296,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var154,xgb,3,False,0.08279269552902078,0.5750428484409544,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var158,lasso,0,False,0.06445962100619021,0.43628057992910685,0.01,,,,,,,
var158,lasso,1,True,0.06273021814666102,0.5653431344064153,0.1,,,,,,,
var158,lasso,2,False,0.0638145489814552,0.5725518623975826,1.0,,,,,,,
var158,lasso,3,False,0.06474963749041351,0.5689496774943343,10.0,,,,,,,
var158,xgb,0,False,0.06558134033687114,0.550418385728398,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var158,xgb,1,True,0.06265510879895984,0.5733778836655238,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var158,xgb,2,False,0.06277898354874573,0.5635048521122669,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var158,xgb,3,False,0.06307507115713622,0.557475448893021,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
