candidate,auc,C,selected,outer_fold,inner_splits,analysis,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
0,0.5894922656513432,,False,4,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6045365853658536,,True,4,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5986543568056648,,False,4,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5990380535573789,,False,4,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5858170450713724,,False,5,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5997825109587502,,True,5,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5912983660222546,,False,5,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5943858323030236,,False,5,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.4997081032265446,0.01,False,1,5,guided_complete_case,lasso,,,,,,,
1,0.563177016378364,0.1,False,1,5,guided_complete_case,lasso,,,,,,,
2,0.5658535066717997,1.0,False,1,5,guided_complete_case,lasso,,,,,,,
3,0.5660187861802033,10.0,True,1,5,guided_complete_case,lasso,,,,,,,
0,0.4997081032265446,0.01,False,2,5,guided_complete_case,lasso,,,,,,,
1,0.5613218614674238,0.1,False,2,5,guided_complete_case,lasso,,,,,,,
2,0.5636216005384114,1.0,False,2,5,guided_complete_case,lasso,,,,,,,
3,0.5636294468856708,10.0,True,2,5,guided_complete_case,lasso,,,,,,,
0,0.4997081032265446,0.01,False,3,5,guided_complete_case,lasso,,,,,,,
1,0.5651262641794252,0.1,False,3,5,guided_complete_case,lasso,,,,,,,
2,0.566042325221982,1.0,False,3,5,guided_complete_case,lasso,,,,,,,
3,0.56638781760938,10.0,True,3,5,guided_complete_case,lasso,,,,,,,
0,0.49982988375389853,0.01,False,4,5,guided_complete_case,lasso,,,,,,,
1,0.5646899935193811,0.1,False,4,5,guided_complete_case,lasso,,,,,,,
2,0.5664313434120458,1.0,False,4,5,guided_complete_case,lasso,,,,,,,
3,0.5666414572279153,10.0,True,4,5,guided_complete_case,lasso,,,,,,,
0,0.4996514426163844,0.01,False,5,5,guided_complete_case,lasso,,,,,,,
1,0.5562623489579399,0.1,False,5,5,guided_complete_case,lasso,,,,,,,
2,0.5565383482074345,1.0,False,5,5,guided_complete_case,lasso,,,,,,,
3,0.5567586162309826,10.0,True,5,5,guided_complete_case,lasso,,,,,,,
