iteration,variable,missing_n,imputed_mean,imputed_sd,imputation
1,raza,8476,2.913874469089193,0.6367990425400195,1
1,ant_inf,3456,0.026041666666666668,0.1592592172022985,1
1,ant_isq,3464,0.03348729792147806,0.17990524950483305,1
1,ant_clau,3471,0.01959089599539038,0.13858965614174884,1
1,fum_act,3563,0.19702497895032275,0.39775135024277114,1
1,diabetes,3439,0.09886594940389648,0.29848194828559177,1
1,hip_art,3347,0.3346280250971019,0.4718602652446116,1
1,insf_car,102,0.049019607843137254,0.2159089759367181,1
1,fibr_aur,7377,0.024942388504812254,0.15594956159119927,1
1,trat_est,3503,0.18526976876962603,0.38851625648056903,1
1,var171,616,0.03571428571428571,0.1855768722395226,1
1,tv_l_esu,8002,0.03974006498375406,0.19534787487669544,1
1,tvp_orig,13303,0.11952191235059761,0.3244016412083232,1
1,tv_l_ein,3634,0.5321959273527793,0.49896234553510604,1
1,tvp_prox,5410,0.8462107208872458,0.3607466378813995,1
1,tv_l_svc,9045,0.0076285240464344945,0.08700764143055174,1
1,tv_l_vre,9534,0.010279001468428781,0.10086299419133274,1
1,tv_l_vrn,9495,0.005476566614007372,0.07380090671617599,1
1,tv_l_vca,11756,0.039384144266757404,0.19450715525947276,1
1,tv_l_yug,11805,0.01668784413384159,0.12809902416492563,1
1,tv_l_ova,11808,0.006436314363143632,0.07996804499650108,1
1,tv_l_sup,11804,0.00669264656048797,0.081534379512598,1
1,tv_l_pul,11814,0.0030472320975114273,0.05511756955867452,1
1,tv_l_ove,9521,0.027413086860623884,0.1632838311940156,1
1,fr_antfa,10097,0.1242943448549074,0.3299170512295428,1
1,fr_tvs_a,7849,0.04790419161676647,0.2135635269476288,1
1,fr_viaje,248,0.056451612903225805,0.23079174227829327,1
1,fr_estro,183,0.03825136612021858,0.19180250027086604,1
1,fr_varic,482,0.25311203319502074,0.43479458580679614,1
1,fr_antec,52,0.038461538461538464,0.19230769230769232,1
1,ana_dime,960,1.5989583333333333,0.5778903427674569,1
1,ana_crea,433,0.9284064665127021,0.25781369135501914,1
1,ana_trop,9359,0.8818249813014211,0.3228152469357193,1
1,peso,8,87.625,24.191617866525586,1
1,tension_,663,129.11764705882354,21.29200926205421,1
1,ana_hemo,28,13.77142857142857,2.3315931314473044,1
1,ana_plaq,22,246.5909090909091,72.4936731351647,1
1,ana_leuc,70,8.732,2.354029129568524,1
1,ana_neu,11925,6.472380628930817,3.2863148426301168,1
1,protcrea,13715,5.6049150565074735,19.8590324082937,1
1,splanchnic,8970,0.015830546265328874,0.12481963014794649,1
2,raza,8476,2.9163520528551206,0.6064866450874682,1
2,ant_inf,3456,0.03153935185185185,0.17477019521822632,1
2,ant_isq,3464,0.0424364896073903,0.20158282158257473,1
2,ant_clau,3471,0.02679343128781331,0.16147923497353628,1
2,fum_act,3563,0.2031995509402189,0.4023797875613439,1
2,diabetes,3439,0.10904332654841524,0.3116935666382463,1
2,hip_art,3347,0.3426949507021213,0.4746104944745658,1
2,insf_car,102,0.029411764705882353,0.1689577248981773,1
2,fibr_aur,7377,0.02548461434187339,0.15759171543491546,1
2,trat_est,3503,0.17756208963745362,0.3821436823513304,1
2,var171,616,0.05194805194805195,0.22192217520305274,1
2,tv_l_esu,8002,0.027118220444888777,0.16242789958868273,1
2,tvp_orig,13303,0.1384650078929565,0.34538739045043315,1
2,tv_l_ein,3634,0.5277930654925702,0.4992269479009779,1
2,tvp_prox,5410,0.8377079482439926,0.3687185128154441,1
2,tv_l_svc,9045,0.009397457158651189,0.09648391035609255,1
2,tv_l_vre,9534,0.0071323683658485425,0.08415163508418827,1
2,tv_l_vrn,9495,0.009057398630858346,0.09473838800032473,1
2,tv_l_vca,11756,0.05069751616195985,0.21937930170589853,1
2,tv_l_yug,11805,0.01397712833545108,0.11739577598425512,1
2,tv_l_ova,11808,0.009823848238482384,0.0986272794122886,1
2,tv_l_sup,11804,0.007031514740765842,0.08355879691101491,1
2,tv_l_pul,11814,0.004232266802099204,0.06491806158393097,1
2,tv_l_ove,9521,0.029093582606869027,0.16806887295976702,1
2,fr_antfa,10097,0.14449836585124295,0.35159435165765,1
2,fr_tvs_a,7849,0.05019747738565422,0.21835221695639126,1
2,fr_viaje,248,0.028225806451612902,0.1656173611122004,1
2,fr_estro,183,0.07650273224043716,0.26580079796754774,1
2,fr_varic,482,0.1991701244813278,0.3993762461582063,1
2,fr_antec,52,0.038461538461538464,0.19230769230769232,1
2,ana_dime,960,1.5729166666666667,0.5763533288896857,1
2,ana_crea,433,0.9284064665127021,0.25781369135501914,1
2,ana_trop,9359,0.8879153755743135,0.3154705396594733,1
2,peso,8,86.375,16.710307447799995,1
2,tension_,663,128.78280542986425,21.186264510155375,1
