candidate,auc,C,selected,outer_fold,inner_splits,analysis,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
0,0.4944882525244374,0.01,False,1,5,primary_complete_case,lasso,,,,,,,
1,0.5548848514771577,0.1,False,1,5,primary_complete_case,lasso,,,,,,,
2,0.5927834562122284,1.0,True,1,5,primary_complete_case,lasso,,,,,,,
3,0.5770968140105678,10.0,False,1,5,primary_complete_case,lasso,,,,,,,
0,0.4944882525244374,0.01,False,2,5,primary_complete_case,lasso,,,,,,,
1,0.5772095650894176,0.1,False,2,5,primary_complete_case,lasso,,,,,,,
2,0.6007757274224865,1.0,True,2,5,primary_complete_case,lasso,,,,,,,
3,0.5782219510921426,10.0,False,2,5,primary_complete_case,lasso,,,,,,,
0,0.49170961021214343,0.01,False,3,5,primary_complete_case,lasso,,,,,,,
1,0.5441404314082114,0.1,True,3,5,primary_complete_case,lasso,,,,,,,
2,0.5010104363641613,1.0,False,3,5,primary_complete_case,lasso,,,,,,,
3,0.488647025708388,10.0,False,3,5,primary_complete_case,lasso,,,,,,,
0,0.49170961021214343,0.01,False,4,5,primary_complete_case,lasso,,,,,,,
1,0.4941851793043386,0.1,False,4,5,primary_complete_case,lasso,,,,,,,
2,0.49831233069176395,1.0,True,4,5,primary_complete_case,lasso,,,,,,,
3,0.4974522568817934,10.0,False,4,5,primary_complete_case,lasso,,,,,,,
0,0.49452363322226334,0.01,False,5,5,primary_complete_case,lasso,,,,,,,
1,0.5770025821395685,0.1,False,5,5,primary_complete_case,lasso,,,,,,,
2,0.6175549891303317,1.0,True,5,5,primary_complete_case,lasso,,,,,,,
3,0.6113393425037261,10.0,False,5,5,primary_complete_case,lasso,,,,,,,
0,0.6444281977392815,,False,1,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6731061379313619,,True,1,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6570480105962277,,False,1,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6469194031551313,,False,1,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5780000094948278,,False,2,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5899172051025203,,False,2,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6021857093348398,,True,2,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5688280059437621,,False,2,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5552263618035808,,False,3,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5717277499506811,,True,3,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5438806049145699,,False,3,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5602280218061791,,False,3,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5742442176576159,,False,4,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6157106014021008,,False,4,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6290988832272375,,True,4,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5813762143279877,,False,4,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.6401119243584997,,False,5,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6766202451133958,,True,5,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6398022100076894,,False,5,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6530214355556822,,False,5,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5438568189875266,,False,1,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5811457877160213,,True,1,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5580328176528943,,False,1,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.550387728533424,,False,1,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5416461854245054,,False,2,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5758495619248495,,True,2,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5666233209105289,,False,2,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5627238413575116,,False,2,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5767712801398008,,False,3,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.62277723044603,,True,3,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6017691757776655,,False,3,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5945992286771802,,False,3,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5710595262032961,,False,4,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5968925430267283,,True,4,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5937996827453697,,False,4,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5875682358110473,,False,4,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5840044087967411,,False,5,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6213576412937436,,True,5,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6048180998979722,,False,5,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5878151880068813,,False,5,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
