variable,p_value,selected,observed_n
sexo,0.0708700920339215,True,7209
ant_inf,0.15472352875855427,False,7209
ant_isq,0.3854422767852449,False,7209
ant_clau,0.7994818140592143,False,7209
fum_act,0.19620418131962122,False,7209
diabetes,0.10038965253495191,False,7209
hip_art,0.14172024773228853,False,7209
insf_car,0.45229791280461284,False,7209
trat_est,0.3895409482864547,False,7209
e_con_pp,0.1535303482556705,False,7209
e_con_cu,0.2982354067507319,False,7209
e_con_ec,0.35664856131621425,False,7209
e_con_lu,0.4045080411264541,False,7209
e_con_be,0.5212261769158786,False,7209
e_con_at,0.6945610246739031,False,7209
e_con_va,0.2982354067507319,False,7209
e_con_ar,0.14067709923875968,False,7209
e_con_ea,0.5948821009890835,False,7209
e_con_pr,0.43196100518605207,False,7209
e_con_ro,0.7812943699859868,False,7209
e_con_av,0.43196100518605207,False,7209
e_con_sm,0.32251026620145895,False,7209
sin_tvp_,0.001896450258898571,True,7209
var171,0.15337404668905116,False,7209
tv_l_ein,1.0,False,7209
tvp_prox,0.37620640502033886,False,7209
fr_cance,0.6931777463244306,False,7209
fr_cirug,0.4245918968474378,False,7209
fr_inmov,0.022015444115581498,True,7209
fr_tvp_a,0.006519262846448518,True,7209
fr_viaje,0.4374137556657416,False,7209
fr_estro,0.34215697960843494,False,7209
fr_embar,0.680513969812683,False,7209
fr_varic,0.503794726356551,False,7209
fr_antec,0.008948645680182147,True,7209
ana_dime,0.22291566877179078,False,7209
ana_crea,0.5917978683045613,False,7209
edad,0.2168234527154897,False,7209
peso,0.37027706757287376,False,7209
tension_,0.831774617969014,False,7209
ana_hemo,0.5562808511478996,False,7209
ana_plaq,0.0668091933435407,True,7209
ana_leuc,0.3469948450988733,False,7209
female_under45,0.6558490358543583,False,7209
