n,positive_n,tp,fp,tn,fn,auc,brier,log_loss,tests_avoided_per_1000,missed_positive_per_1000,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper,false_negative_rate,false_positive_rate,lr_positive,lr_negative,auc_lower,auc_upper,mean_fold_raw_auc,outcome,label,priority,analysis,validation,model,mace,ece
7209,2801,2528,3698,710,273,0.5835861382148325,0.2327866597368054,0.6578924856366024,136.35733111388544,37.86933000416146,0.9025348089967868,0.890993501849777,0.9129735077323342,0.161070780399274,0.1505148889615858,0.172216893698912,0.4060391904914873,0.3939022534202753,0.4182920042131314,0.7222787385554426,0.6934565483077343,0.7493704084379101,0.0974651910032131,0.838929219600726,1.0758175873601503,0.6051078337213571,0.5709967051808047,0.5957791995712576,0.5839230059023428,ana_dura,Composite thrombophilia,composite,primary_complete_case,nested_cv,Logistic LASSO,0.0863061643026389,0.0145810527335888
7209,2801,2523,3691,717,278,0.5838334086024501,0.2328255034735074,0.6580004294795456,138.02191704813427,38.56290747676516,0.9007497322384862,0.8891220032486346,0.9112797424328908,0.1626588021778584,0.152058562907124,0.1738464978801318,0.4060186675249437,0.3938701902773683,0.41828327041548,0.7206030150753768,0.6919151559529829,0.74759403354173,0.0992502677615137,0.8373411978221416,1.075726041643795,0.6101745889717609,0.5713188451217512,0.5962412602917289,0.5840193181151366,ana_dura,Composite thrombophilia,composite,primary_complete_case,nested_cv,Automatic integer score,0.053398555558854,0.0155703901521506
7209,2801,2542,3669,739,259,0.5913048133574281,0.2317094623303714,0.6553794215925243,138.43806353169649,35.92731308087113,0.9075330239200284,0.8962397696662177,0.917709978837534,0.1676497277676951,0.1569124945082247,0.178965726105985,0.4092738689421993,0.3971052611401235,0.4215546342944647,0.7404809619238477,0.7123981860905646,0.7667195383496141,0.0924669760799714,0.832350272232305,1.090325857029023,0.551548620514904,0.5781198002755045,0.6048640942258112,0.591729658145179,ana_dura,Composite thrombophilia,composite,primary_complete_case,nested_cv,XGBoost,0.0241791744246473,0.0063219149673856
7209,806,734,5093,1310,72,0.6188674934864977,0.097685205067093,0.3418306623038374,191.70481342765987,9.987515605493131,0.9106699751861044,0.8889817408487527,0.9284622079508266,0.2045915976885834,0.1948892223446238,0.2146482191052952,0.125965333790973,0.1176914709688759,0.1347320375787872,0.9479015918958033,0.9348943678383352,0.9584257100972012,0.0893300248138957,0.7954084023114165,1.1449086689802916,0.4366260678499043,0.597855148641165,0.6385634578665631,0.6193062473015096,var156,Factor V Leiden,primary,primary_complete_case,nested_cv,Logistic LASSO,0.0362074851790221,0.0073451722599262
7209,806,735,5108,1295,71,0.6187450322797665,0.0977212384697804,0.3420012402121063,189.48536551532808,9.848800110972396,0.911910669975186,0.8903389672552295,0.929574600725013,0.2022489458066531,0.1925902064666323,0.2122647404666325,0.1257915454389868,0.1175338168660424,0.1345409946712566,0.9480234260614934,0.93494497899795,0.958589080814891,0.0880893300248139,0.7977510541933469,1.1431018049825992,0.4355490194199872,0.5976117497264968,0.6386035992743786,0.6192849232789754,var156,Factor V Leiden,primary,primary_complete_case,nested_cv,Automatic integer score,0.0315773123269413,0.0088073062951313
7209,806,731,5108,1295,75,0.6150641235556069,0.0977237953447381,0.3418606233643415,190.040227493411,10.403662089055349,0.9069478908188584,0.8849167029333188,0.92511838832427,0.2022489458066531,0.1925902064666323,0.2122647404666325,0.1251926699777359,0.1169499318201738,0.1339282529041052,0.9452554744525548,0.9319173511298336,0.9561036007544168,0.0930521091811414,0.7977510541933469,1.136880842778612,0.4600869923450569,0.5948420119639949,0.6342134086108056,0.6155768233466798,var156,Factor V Leiden,primary,primary_complete_case,nested_cv,XGBoost,0.0168267898294452,0.0016319223612811
7209,592,538,5685,932,54,0.5460551037663022,0.0754840248236339,0.2844804718258812,136.77347759744762,7.49063670411985,0.9087837837837838,0.8828806331733479,0.9294159816979068,0.140849327489799,0.1326758993071699,0.1494395191691689,0.086453479029407,0.0797236965981302,0.0936935111406397,0.9452332657200812,0.9292264104787424,0.9577843246000416,0.0912162162162162,0.859150672510201,1.0577699731393662,0.6476155608398098,0.5227072294591327,0.569059536834893,0.5517184690220849,var157,Prothrombin G20210A,primary,primary_complete_case,nested_cv,Logistic LASSO,0.1483826165956072,0.0093513399736248
7209,592,541,5730,887,51,0.5468845091880455,0.0755791697200898,0.2850955751551532,130.1151338604522,7.074490220557636,0.9138513513513512,0.8884966115375108,0.9338697960800816,0.1340486625358924,0.1260515263424513,0.142470453813431,0.0862701323552862,0.0795719849474145,0.093474850729095,0.945628997867804,0.929216649733444,0.9584062003445076,0.0861486486486486,0.8659513374641076,1.055314902598934,0.6426669764465706,0.5241056959653472,0.5702297509179877,0.5517676985052588,var157,Prothrombin G20210A,primary,primary_complete_case,nested_cv,Automatic integer score,0.1489114635636322,0.0100469066832095
7209,592,535,5557,1060,57,0.5583066395320816,0.0752536249134793,0.2829201695464803,154.9452073796643,7.906783187682064,0.9037162162162162,0.8772857198165327,0.9249411023083842,0.1601934411364666,0.1515534619671647,0.1692277366206947,0.0878200919238345,0.0809700203808747,0.0951896560271859,0.9489704565801254,0.9344572434434698,0.960406157715261,0.0962837837837837,0.8398065588635333,1.0761004503693905,0.601046978582356,0.5371174625963429,0.5824299785513563,0.5614357118034461,var157,Prothrombin G20210A,primary,primary_complete_case,nested_cv,XGBoost,0.0031133582262755,0.003082187379156
7209,636,581,5501,1072,55,0.5958623136195623,0.0792854877986827,0.29291295877625,156.3323623248717,7.629352198640588,0.9135220125786164,0.8891199574158023,0.9329586883935552,0.1630914346569298,0.1543572325712444,0.1722192057189113,0.0955277869121999,0.0883936872780319,0.1031725023293143,0.9511978704525288,0.9370144951430336,0.9623158151027416,0.0864779874213836,0.8369085653430701,1.0915433900525804,0.5302423613066742,0.5724183953174173,0.6164541704820655,0.5970724070013729,var161,Registry-coded APS,exploratory,primary_complete_case,nested_cv,Logistic LASSO,0.1458025536764811,0.007982903021402
7209,636,579,5499,1074,57,0.5949293947892416,0.0793396709812247,0.2932228299675689,156.88722430295465,7.906783187682064,0.910377358490566,0.8856442822131677,0.930182814958856,0.1633957097215883,0.1546546349961507,0.172529997976064,0.0952615992102665,0.0881346060177121,0.1028998802784798,0.9496021220159152,0.9352616235420818,0.960898797894096,0.0896226415094339,0.8366042902784117,1.0881815561663013,0.5485005797406978,0.5721535869054556,0.6154285069614881,0.5963711156613205,var161,Registry-coded APS,exploratory,primary_complete_case,nested_cv,Automatic integer score,0.0481147619205008,0.0092509311569646
7209,636,585,5471,1102,51,0.612083978004166,0.0791281323088675,0.291203280111294,159.93896518241087,7.074490220557636,0.9198113207547168,0.8960969757853146,0.9384847672987098,0.1676555606268066,0.158819418456902,0.1768799400641389,0.0965984147952443,0.0894119721653779,0.104296306639846,0.955767562879445,0.9423095062456028,0.9661987357320052,0.080188679245283,0.8323444393731934,1.1050849591154732,0.4782941821045782,0.5883975994802446,0.631206113943357,0.6134138678612268,var161,Registry-coded APS,exploratory,primary_complete_case,nested_cv,XGBoost,0.1160063151971571,0.0060580185806888
7209,261,217,5246,1702,44,0.5459593653566616,0.0350318485629477,0.1572745805441537,242.1972534332085,6.10348175891247,0.8314176245210728,0.7812659443890653,0.8719550458982839,0.2449625791594703,0.234992965444284,0.2552140507840173,0.0397217645982061,0.0348579288128796,0.0452324601473199,0.9747995418098512,0.96633997418912,0.981174437269281,0.1685823754789272,0.7550374208405296,1.10116081875189,0.6881964423193809,0.5118737275480472,0.5832735501492201,0.5495870133962388,var155,Protein S deficiency,exploratory,primary_complete_case,nested_cv,Logistic LASSO,0.1007784810552459,0.0008919927995074
7209,261,232,5913,1035,29,0.5463547491270676,0.0350462444203574,0.1575113555196548,147.5932861700652,4.0227493411014015,0.8888888888888888,0.8449808607397141,0.9215154457824352,0.1489637305699482,0.1407857096153889,0.1575297038049424,0.0377542717656631,0.0332702499090355,0.0428158651670918,0.9727443609022556,0.9611306150832652,0.9809568003192136,0.1111111111111111,0.8510362694300518,1.0444782682225604,0.7458937198067632,0.5149950880321689,0.586210101807185,0.547968812773246,var155,Protein S deficiency,exploratory,primary_complete_case,nested_cv,Automatic integer score,0.0996184648238128,0.0017438920561393
7209,261,240,6113,835,21,0.55752447850149,0.0349326754416402,0.1557501078997284,118.7404633097517,2.913025384935497,0.9195402298850576,0.8801355485550171,0.946774259959026,0.1201784686240644,0.1127416793387597,0.1280350225949239,0.0377774279867779,0.0333615811437401,0.042751919870088,0.9754672897196262,0.962787192648725,0.9838989570473275,0.0804597701149425,0.8798215313759356,1.0451440401180074,0.6695023745612224,0.5244024921309256,0.5913894155158076,0.5599178074462315,var155,Protein S deficiency,exploratory,primary_complete_case,nested_cv,XGBoost,0.0204583758168094,0.0023333767832321
