endpoint,risk_ratio,rr_lower,rr_upper,odds_ratio,or_lower,or_upper,risk_difference,rd_lower,rd_upper,p_value
tested,1.1216767945437085,1.0957858791601591,1.1481794530717415,1.1525685789830995,1.1197760932878316,1.1863213880184709,0.021964327941459416,0.01750318308966856,0.026425472793250273,5.098870766759918e-22
positive,1.1070367654341853,1.0702739049016974,1.145062394224725,1.1761801557636593,1.1146251243828238,1.2411345559595424,0.03794587862809168,0.025404576556604386,0.05048718069957897,3.2430664333509364e-09
