bin,n,predicted,observed,absolute_error,outcome,analysis,validation,model
2,652,0.2703498818584762,0.2837423312883436,0.0133924494298673,ana_dura,guided_complete_case,nested_cv,Logistic LASSO
3,3174,0.3572670922762736,0.3588531821045999,0.0015860898283262,ana_dura,guided_complete_case,nested_cv,Logistic LASSO
4,3376,0.4413560426699112,0.4369075829383886,0.0044484597315226,ana_dura,guided_complete_case,nested_cv,Logistic LASSO
1,7,0.1897359360635012,0.1428571428571428,0.0468787932063583,ana_dura,guided_complete_case,nested_cv,Automatic integer score
2,628,0.2697762184153991,0.286624203821656,0.0168479854062569,ana_dura,guided_complete_case,nested_cv,Automatic integer score
3,3383,0.3594594952525285,0.3609222583505764,0.0014627630980478,ana_dura,guided_complete_case,nested_cv,Automatic integer score
4,3191,0.4432264981864425,0.4384205578188656,0.0048059403675769,ana_dura,guided_complete_case,nested_cv,Automatic integer score
2,16,0.282495913891445,0.375,0.0925040861085549,ana_dura,guided_complete_case,temporal_holdout,Logistic LASSO
3,156,0.3653243909317293,0.3397435897435897,0.0255808011881395,ana_dura,guided_complete_case,temporal_holdout,Logistic LASSO
4,251,0.4429190496298989,0.3266932270916334,0.1162258225382654,ana_dura,guided_complete_case,temporal_holdout,Logistic LASSO
2,16,0.2807171380134147,0.375,0.0942828619865852,ana_dura,guided_complete_case,temporal_holdout,Automatic integer score
3,157,0.3650617308593698,0.3439490445859872,0.0211126862733825,ana_dura,guided_complete_case,temporal_holdout,Automatic integer score
4,250,0.4427867130370512,0.324,0.1187867130370512,ana_dura,guided_complete_case,temporal_holdout,Automatic integer score
0,3168,0.0659014205632728,0.0738636363636363,0.0079622158003635,var156,primary_complete_case,nested_cv,Logistic LASSO
1,3711,0.1415310842139781,0.138776610078146,0.0027544741358321,var156,primary_complete_case,nested_cv,Logistic LASSO
2,318,0.2217584927770199,0.1698113207547169,0.0519471720223029,var156,primary_complete_case,nested_cv,Logistic LASSO
3,12,0.33216607875759,0.25,0.08216607875759,var156,primary_complete_case,nested_cv,Logistic LASSO
0,3216,0.0653889645254223,0.0749378109452736,0.0095488464198512,var156,primary_complete_case,nested_cv,Automatic integer score
1,3583,0.1412293505140271,0.1378732905386547,0.0033560599753723,var156,primary_complete_case,nested_cv,Automatic integer score
2,395,0.2197701293748545,0.1696202531645569,0.0501498762102976,var156,primary_complete_case,nested_cv,Automatic integer score
3,15,0.3299211333689106,0.2666666666666666,0.063254466702244,var156,primary_complete_case,nested_cv,Automatic integer score
0,157,0.0687197999215314,0.0382165605095541,0.0305032394119772,var156,primary_complete_case,temporal_holdout,Logistic LASSO
1,233,0.1355345287034055,0.0772532188841201,0.0582813098192853,var156,primary_complete_case,temporal_holdout,Logistic LASSO
