cohort,variable,n,null_n,sentinel_n,explicit_unknown_or_not_performed_n,unavailable_n,unavailable_pct
full_raw,ana_dime,119449,14686,0,26709,41395,34.65495734581286
full_raw,ddunidad,119449,43838,0,0,43838,36.700181667489886
full_raw,var130,119449,58135,0,0,58135,48.66930656598213
full_raw,ddvalmcg,119449,105290,0,0,105290,88.14640557895001
full_raw,protcrea,119449,115629,0,0,115629,96.80198243601872
full_raw,ana_crea,119449,5915,0,0,5915,4.951904159934365
full_raw,var139,119449,102615,0,0,102615,85.90695610679035
full_raw,ana_trop,119449,80285,0,0,80285,67.21278537283695
full_raw,var141,119449,106595,0,0,106595,89.23892205041483
full_raw,ana_port,119449,16880,0,0,16880,14.131554052357073
full_raw,ana_dura,119449,60791,0,0,60791,50.89284966805917
full_raw,var154,119449,88413,0,0,88413,74.01736305871125
full_raw,var155,119449,88373,0,0,88373,73.98387596380044
full_raw,var158,119449,88355,0,0,88355,73.96880677109058
full_raw,var156,119449,88050,0,0,88050,73.71346767239575
full_raw,var159,119449,88540,0,0,88540,74.12368458505304
full_raw,var160,119449,88356,0,0,88356,73.96964394846336
full_raw,var161,119449,87978,0,0,87978,73.65319090155631
full_raw,var157,119449,88312,0,0,88312,73.93280814406148
full_raw,andujak2,119449,117203,0,0,117203,98.11969962075865
full_raw,var162,119449,89224,0,0,89224,74.69631390802769
full_raw,anadutip,119449,116131,0,0,116131,97.22224547714924
full_raw,evn_fina,119449,0,0,0,0,0.0
full_raw,evn_defu,119449,4,0,0,4,0.003348709491079875
full_raw,evn_def_,119449,101250,0,0,101250,84.76420899295934
full_raw,var181,119449,101250,0,2311,103561,86.69892590143074
full_raw,evn_reci,119449,5,0,0,5,0.004185886863849844
full_raw,evn_rec_,119449,111999,0,0,111999,93.76302857286373
full_raw,var186,119449,111999,0,0,111999,93.76302857286373
full_raw,evn_rec2,119449,118091,0,0,118091,98.86311312777838
full_raw,evn_re2f,119449,118876,0,0,118876,99.52029736540281
full_raw,e_rec2_t,119449,118972,0,0,118972,99.60066639318873
full_raw,evn_rec3,119449,119316,0,0,119316,99.88865540942159
full_raw,evn_re3f,119449,119384,0,0,119384,99.94558347076995
full_raw,e_rec3_t,119449,119384,0,0,119384,99.94558347076995
full_raw,evn_rec4,119449,119428,0,0,119428,99.98241927517184
full_raw,evn_re4f,119449,119433,0,0,119433,99.98660516203569
full_raw,e_rec4_t,119449,119433,0,0,119433,99.98660516203569
full_raw,evn_hemo,119449,6,0,0,6,0.005023064236619813
full_raw,var194,119449,110487,0,0,110487,92.49721638523553
full_raw,var195,119449,110487,0,0,110487,92.49721638523553
full_raw,var196,119449,110487,0,0,110487,92.49721638523553
full_raw,evn_hem2,119449,117333,0,0,117333,98.22853267921874
full_raw,e_h2_fec,119449,118312,0,0,118312,99.04812932716055
full_raw,ev_hm2_f,119449,118314,0,0,118314,99.04980368190608
full_raw,ev_hm2_l,119449,118503,0,0,118503,99.2080302053596
full_raw,evn_hem3,119449,119157,0,0,119157,99.75554420715117
full_raw,e_h3_fec,119449,119248,0,0,119248,99.83172734807324
full_raw,ev_hm3_f,119449,119248,0,0,119248,99.83172734807324
full_raw,ev_hm3_l,119449,119254,0,0,119254,99.83675041230985
full_raw,evn_hem4,119449,119380,0,0,119380,99.94223476127887
full_raw,e_h4_fec,119449,119406,0,0,119406,99.96400137297088
full_raw,ev_hm4_f,119449,119406,0,0,119406,99.96400137297088
full_raw,ev_hm4_l,119449,119408,0,0,119408,99.96567572771643
full_raw,eisq_art,119449,35416,0,0,35416,29.64947383402121
full_raw,eisq_inf,119449,118204,0,0,118204,98.95771417090138
full_raw,eisqfinf,119449,119079,0,0,119079,99.69024437207511
full_raw,eisq_ang,119449,118341,0,0,118341,99.07240747097087
full_raw,eisqfang,119449,119340,0,0,119340,99.90874766636807
full_raw,eisq_cer,119449,118166,0,0,118166,98.92590143073613
full_raw,eisqfcer,119449,118701,0,0,118701,99.37379132516806
full_raw,eisq_ei,119449,118392,0,0,118392,99.11510351698215
full_raw,eisq_fei,119449,119349,0,0,119349,99.916282262723
full_raw,eisq_ol,119449,118608,0,0,118608,99.29593382950046
full_raw,eisq_fol,119449,119166,0,0,119166,99.7630788035061
full_raw,seco,119449,99294,0,0,99294,83.12669005182129
full_raw,secopri,119449,105622,0,0,105622,88.42434846670965
full_raw,f_secop,119449,105965,0,0,105965,88.71150030556974
full_raw,secopres,119449,106018,0,0,106018,88.75587070632655
tested_raw,id_pacie,22874,0,0,0,0,0.0
tested_raw,sexo,22874,0,0,0,0,0.0
tested_raw,edad,22874,0,0,0,0,0.0
tested_raw,raza,22874,13433,0,0,13433,58.72606452741104
tested_raw,peso,22874,0,0,0,0,0.0
tested_raw,talla,22874,0,5107,0,5107,22.32665908892192
tested_raw,tension_,22874,0,1036,0,1036,4.529159744688292
tested_raw,fecha_di,22874,0,0,0,0,0.0
tested_raw,f_alta_h,22874,10509,0,0,10509,45.942992043368015
tested_raw,ant_inf,22874,5471,0,0,5471,23.917985485704293
tested_raw,ant_isq,22874,5483,0,0,5483,23.970446795488325
tested_raw,ant_clau,22874,5498,0,0,5498,24.03602343271837
tested_raw,fum_act,22874,5651,0,0,5651,24.70490513246481
tested_raw,diabetes,22874,5445,0,0,5445,23.804319314505552
tested_raw,hip_art,22874,5289,0,0,5289,23.122322287313107
tested_raw,insf_car,22874,186,0,0,186,0.8131503016525312
tested_raw,fibr_aur,22874,11585,0,0,11585,50.647022820669754
tested_raw,trat_est,22874,5555,0,0,5555,24.285214654192533
tested_raw,e_con_pp,22874,0,0,0,0,0.0
tested_raw,e_con_cu,22874,0,0,0,0,0.0
tested_raw,e_con_ec,22874,0,0,0,0,0.0
tested_raw,e_con_lu,22874,0,0,0,0,0.0
tested_raw,e_con_af,22874,0,0,0,0,0.0
tested_raw,e_con_be,22874,0,0,0,0,0.0
tested_raw,e_con_at,22874,0,0,0,0,0.0
tested_raw,e_con_va,22874,0,0,0,0,0.0
tested_raw,e_con_ar,22874,0,0,0,0,0.0
tested_raw,e_con_ea,22874,0,0,0,0,0.0
tested_raw,e_con_pr,22874,0,0,0,0,0.0
tested_raw,e_con_ro,22874,0,0,0,0,0.0
tested_raw,e_con_av,22874,0,0,0,0,0.0
tested_raw,e_con_sm,22874,0,0,0,0,0.0
tested_raw,sin_tvp_,22874,0,0,0,0,0.0
tested_raw,var171,22874,1007,0,0,1007,4.402378246043543
