n,positive_n,tp,fp,tn,fn,auc,brier,log_loss,tests_avoided_per_1000,missed_positive_per_1000,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper,false_negative_rate,false_positive_rate,lr_positive,lr_negative,auc_lower,auc_upper,mean_fold_raw_auc,outcome,label,priority,analysis,validation,model,mace,ece
7209,2801,2528,3698,710,273,0.5835861382148325,0.2327866597368054,0.6578924856366024,136.35733111388544,37.86933000416146,0.9025348089967868,0.890993501849777,0.9129735077323342,0.161070780399274,0.1505148889615858,0.172216893698912,0.4060391904914873,0.3939022534202753,0.4182920042131314,0.7222787385554426,0.6934565483077343,0.7493704084379101,0.0974651910032131,0.838929219600726,1.0758175873601503,0.6051078337213571,0.5709967051808047,0.5957791995712576,0.5839230059023428,ana_dura,Composite thrombophilia,composite,primary_complete_case,nested_cv,Logistic LASSO,0.0863061643026389,0.0145810527335888
7209,2801,2523,3691,717,278,0.5838334086024501,0.2328255034735074,0.6580004294795456,138.02191704813427,38.56290747676516,0.9007497322384862,0.8891220032486346,0.9112797424328908,0.1626588021778584,0.152058562907124,0.1738464978801318,0.4060186675249437,0.3938701902773683,0.41828327041548,0.7206030150753768,0.6919151559529829,0.74759403354173,0.0992502677615137,0.8373411978221416,1.075726041643795,0.6101745889717609,0.5713188451217512,0.5962412602917289,0.5840193181151366,ana_dura,Composite thrombophilia,composite,primary_complete_case,nested_cv,Automatic integer score,0.053398555558854,0.0155703901521506
7209,2801,2542,3669,739,259,0.5913048133574281,0.2317094623303714,0.6553794215925243,138.43806353169649,35.92731308087113,0.9075330239200284,0.8962397696662177,0.917709978837534,0.1676497277676951,0.1569124945082247,0.178965726105985,0.4092738689421993,0.3971052611401235,0.4215546342944647,0.7404809619238477,0.7123981860905646,0.7667195383496141,0.0924669760799714,0.832350272232305,1.090325857029023,0.551548620514904,0.5781198002755045,0.6048640942258112,0.591729658145179,ana_dura,Composite thrombophilia,composite,primary_complete_case,nested_cv,XGBoost,0.0241791744246473,0.0063219149673856
5864,1167,1050,3799,898,117,0.6229491777555328,0.1551806259595721,0.4857796994355095,173.0900409276944,19.95225102319236,0.8997429305912596,0.8811780190230656,0.9156847782165752,0.1911858633170108,0.180194192804557,0.2026822506124949,0.2165394926789028,0.2051732068914298,0.2283545472445884,0.8847290640394089,0.8636156954268632,0.9029412533883188,0.1002570694087403,0.8088141366829892,1.1124223598281513,0.5243958296356943,0.6067761441923859,0.6423163639428547,0.6234944405523223,var156,Factor V Leiden,primary,primary_complete_case,nested_cv,Logistic LASSO,0.2151096627513798,0.0092599639234599
5864,1167,1051,3807,890,116,0.6229850262679291,0.1552045462076655,0.4859211155598417,171.55525238744883,19.78171896316508,0.9005998286203942,0.8820972222894681,0.9164737481489716,0.1894826484990419,0.1785307359363717,0.2009420615291714,0.216344174557431,0.2049921413548085,0.2281444544509079,0.8846918489065606,0.8634750421489675,0.9029819033837372,0.0994001713796058,0.810517351500958,1.1111419477357478,0.5245871965955152,0.6064885716219527,0.6423314695755591,0.6233464402302602,var156,Factor V Leiden,primary,primary_complete_case,nested_cv,Automatic integer score,0.2154979267472335,0.0082860432258306
5864,1167,1054,3819,878,113,0.6234098265789445,0.1548296926321448,0.4845530632908345,168.99727148703954,19.27012278308322,0.9031705227077976,0.8848571772462572,0.9188383127885786,0.1869278262720885,0.1760361966074849,0.1983311319307949,0.2162938641493946,0.2049599762570391,0.228074699291215,0.8859737638748738,0.8646764532102497,0.9042902934177476,0.0968294772922022,0.8130721737279114,1.1108122401567233,0.5180046182704714,0.6061193752726265,0.6405449252097868,0.624540550189208,var156,Factor V Leiden,primary,primary_complete_case,nested_cv,XGBoost,0.0146274575285721,0.0063492141493772
5758,850,763,4111,797,87,0.5653867635073588,0.1252729189788866,0.4158963554393996,153.52552969781175,15.109412990621744,0.8976470588235295,0.8754482990622736,0.9162677660415168,0.1623879380603097,0.1523346668531747,0.1729692893547943,0.1565449322938038,0.1466145385802831,0.1670162900835417,0.9015837104072398,0.8801755510358368,0.919516773473408,0.1023529411764705,0.8376120619396903,1.071673988009215,0.6302989150490811,0.5426730008629369,0.5833694508365693,0.5689117510890702,var157,Prothrombin G20210A,primary,primary_complete_case,nested_cv,Logistic LASSO,0.1327006491828457,0.0069890259555905
5758,850,768,4131,777,82,0.5650002397046838,0.1254009468260179,0.4163455378154624,149.18374435567904,14.241055922195208,0.903529411764706,0.8818280067345221,0.9215998344802712,0.1583129584352078,0.1483682462468605,0.1687921246407461,0.1567666870789957,0.1468549426621211,0.1672162896536551,0.9045401629802096,0.8830497547889833,0.9224284624375104,0.0964705882352941,0.8416870415647921,1.0734743047545816,0.609366341131047,0.5424157827556451,0.5841037561723956,0.5679717080501738,var157,Prothrombin G20210A,primary,primary_complete_case,nested_cv,Automatic integer score,0.1861067560832067,0.008334269154818
5758,850,768,4170,738,82,0.5734432379308692,0.1251764527965369,0.4156216107036362,142.41055922195207,14.241055922195208,0.903529411764706,0.8818280067345221,0.9215998344802712,0.1503667481662591,0.1406406499760696,0.1606397295368301,0.1555285540704738,0.1456885920054214,0.1659040545114412,0.9,0.8775645776765844,0.9187051329289556,0.0964705882352941,0.8496332518337408,1.0634346170122726,0.6415686274509804,0.5514317051392684,0.5932504674241336,0.5741530049739835,var157,Prothrombin G20210A,primary,primary_complete_case,nested_cv,XGBoost,0.0910781461589524,0.0066359600769734
5866,851,772,4146,869,79,0.6124927216001819,0.1204234009453659,0.4019936656515626,161.60927378111148,13.46743948175929,0.9071680376028202,0.8857989521121159,0.9248776860519194,0.1732801595214357,0.1630559633129588,0.1840045033529845,0.1569743798291988,0.1470756499418746,0.1674085673517818,0.9166666666666666,0.897346498977016,0.932623652752652,0.0928319623971797,0.8267198404785643,1.0973101081954035,0.5357333618203184,0.5924313165087581,0.6325298487615884,0.6144099864150239,var161,Registry-coded APS,exploratory,primary_complete_case,nested_cv,Logistic LASSO,0.2038757762389783,0.0059312353574886
5866,851,771,4141,874,80,0.6124993995686268,0.1204261463349375,0.4021196876201941,162.63211728605523,13.637913399249914,0.9059929494712105,0.8845200632018527,0.923816959844826,0.1742771684945164,0.1640284868943819,0.1850244714814609,0.1569625407166123,0.1470582518718525,0.1674029592493743,0.9161425576519916,0.8968413472161766,0.932105857655893,0.0940070505287896,0.8257228315054835,1.0972119395310602,0.5394111652195426,0.5928893548496695,0.6317582856600586,0.6138970052347258,var161,Registry-coded APS,exploratory,primary_complete_case,nested_cv,Automatic integer score,0.1805428392738786,0.0069807616284405
5866,851,775,4157,858,76,0.6016675004364112,0.120843933540343,0.4033335146528915,159.22263893624276,12.95601772928742,0.91069330199765,0.8896412648567051,0.9280542186594,0.171086739780658,0.160916858279155,0.1817601266250094,0.1571370640713706,0.1472476135660033,0.1675602002149418,0.9186295503211992,0.8993330580586038,0.9344965755591512,0.0893066980023501,0.828913260219342,1.0986593479716655,0.5219966089531307,0.5817684695619371,0.6218791598178439,0.6021051842751758,var161,Registry-coded APS,exploratory,primary_complete_case,nested_cv,XGBoost,0.2008723775384781,0.0028604550412235
5723,384,338,4508,831,46,0.5502466617500157,0.0627504941662233,0.2466683144032201,153.2413070068146,8.03774244277477,0.8802083333333334,0.843907100607073,0.9089778562716518,0.1556471249297621,0.1461709274848699,0.1656184961130351,0.0697482459760627,0.0629120653269858,0.0772660136046927,0.9475484606613456,0.9307454147777292,0.9604478778847092,0.1197916666666666,0.8443528750702378,1.0424650158976636,0.7696362314480546,0.5270214727906287,0.5794085605333397,0.552152772274941,var155,Protein S deficiency,exploratory,primary_complete_case,nested_cv,Logistic LASSO,0.1136236305470413,0.0063085313403871
5723,384,340,4545,794,44,0.5526857206405694,0.0628063705215612,0.2469584559293136,146.42669928359254,7.688275380045431,0.8854166666666666,0.8496704653805777,0.9135279840581296,0.1487169882000374,0.1394255376135703,0.1585135779468707,0.0696008188331627,0.0627977552950559,0.077080263777719,0.9474940334128878,0.9302473469972768,0.9606567444342006,0.1145833333333333,0.8512830117999626,1.0400967180051337,0.7704791141897566,0.5292982163482549,0.5825001670588281,0.5520610506534249,var155,Protein S deficiency,exploratory,primary_complete_case,nested_cv,Automatic integer score,0.1002305310250165,0.0087973051820019
5723,384,345,4529,810,39,0.5662348013048636,0.0627252175940545,0.2462551646102901,148.3487681286039,6.814607723222086,0.8984375,0.864170220680814,0.9248119601578496,0.1517138040831616,0.1423416107536373,0.1615868272013828,0.0707837505129257,0.0639167074166505,0.0783268371261937,0.9540636042402828,0.9378201299164194,0.9662165958146866,0.1015625,0.8482861959168384,1.0591207358136454,0.669434799382716,0.5430653514625086,0.5942236666510583,0.5705250133551434,var155,Protein S deficiency,exploratory,primary_complete_case,nested_cv,XGBoost,0.0898910085858241,0.0068307468005627
