antecedent,n,antecedent_n,negative_n,antecedent_support,rule_support,confidence,lift,leverage
Female AND Age <50 AND No prior VTE,22847,4326,2684,0.18934652251936798,0.11747713047664901,0.6204345815996302,0.9911249395753566,-0.0010519527759443592
Hemoglobin ≥12 AND Negative D-dimer AND No cancer,22847,565,365,0.024729723814942883,0.015975839278679915,0.6460176991150443,1.0319931737995676,0.0004952724645987186
Female AND Age 50–69 AND No hormone exposure,22847,2710,1795,0.1186151354663632,0.07856611371296013,0.6623616236162362,1.0581020846567017,0.004314191471968903
Normal platelets AND No immobilization AND No prior VTE,22847,13448,8303,0.5886111962183219,0.36341751652295706,0.6174152290303391,0.9863016177916485,-0.005047372885474688
Female AND No prior VTE AND Normal creatinine,22847,8375,5428,0.36656891495601174,0.23758042631417692,0.6481194029850746,1.0353505803384142,0.008111847432884844
