variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
tvp_prox,DVT proximal/distal location,Proximal (incluyendo la vena poplítea),Development eligible,Temporal eligible,10034,221,6782,122,3252,99,5670.0,104.0,83.60365673842524,85.24590163934425,-0.04529989772789616,0.711685466606237,,,,,,,,,,
tv_l_svc,Cerebral sinus thrombosis,No,Development eligible,Temporal eligible,10034,221,2308,97,7726,124,2266.0,93.0,98.18024263431543,95.87628865979381,0.13599450675482888,0.11187331280843987,,,,,,,,,,
tv_l_svc,Cerebral sinus thrombosis,Yes,Development eligible,Temporal eligible,10034,221,2308,97,7726,124,42.0,4.0,1.8197573656845754,4.123711340206185,-0.13599450675482874,0.11187331280843987,,,,,,,,,,
tv_l_vre,Retinal vein thrombosis,No,Development eligible,Temporal eligible,10034,221,2068,97,7966,124,2027.0,96.0,98.0174081237911,98.96907216494846,-0.07817897499082045,1.0,,,,,,,,,,
tv_l_vre,Retinal vein thrombosis,Yes,Development eligible,Temporal eligible,10034,221,2068,97,7966,124,41.0,1.0,1.9825918762088972,1.0309278350515463,0.0781789749908203,1.0,,,,,,,,,,
tv_l_vrn,Renal vein thrombosis,No,Development eligible,Temporal eligible,10034,221,2086,99,7948,122,2072.0,98.0,99.32885906040269,98.98989898989899,0.037132686483376635,0.5023225548073293,,,,,,,,,,
tv_l_vrn,Renal vein thrombosis,Yes,Development eligible,Temporal eligible,10034,221,2086,99,7948,122,14.0,1.0,0.6711409395973155,1.0101010101010102,-0.03713268648337698,0.5023225548073293,,,,,,,,,,
tv_l_vca,Vena cava thrombosis,No,Development eligible,Temporal eligible,10034,221,1015,114,9019,107,975.0,110.0,96.05911330049261,96.49122807017544,-0.02282007367259971,1.0,,,,,,,,,,
tv_l_vca,Vena cava thrombosis,Yes,Development eligible,Temporal eligible,10034,221,1015,114,9019,107,40.0,4.0,3.9408866995073892,3.508771929824561,0.022820073672599958,1.0,,,,,,,,,,
tv_l_yug,Jugular vein thrombosis,No,Development eligible,Temporal eligible,10034,221,987,97,9047,124,970.0,91.0,98.27760891590678,93.81443298969072,0.230543829320135,0.012649913511438673,,,,,,,,,,
tv_l_yug,Jugular vein thrombosis,Yes,Development eligible,Temporal eligible,10034,221,987,97,9047,124,17.0,6.0,1.7223910840932117,6.185567010309279,-0.23054382932013498,0.012649913511438673,,,,,,,,,,
tv_l_ova,Ovarian vein thrombosis,No,Development eligible,Temporal eligible,10034,221,987,96,9047,125,979.0,96.0,99.18946301925025,100.0,-0.12784055442011835,1.0,,,,,,,,,,
tv_l_ova,Ovarian vein thrombosis,Yes,Development eligible,Temporal eligible,10034,221,987,96,9047,125,8.0,0.0,0.8105369807497468,0.0,0.1278405544201186,1.0,,,,,,,,,,
tv_l_sup,Suprahepatic vein thrombosis,No,Development eligible,Temporal eligible,10034,221,989,99,9045,122,985.0,99.0,99.59555106167846,100.0,-0.09012118181186618,1.0,,,,,,,,,,
tv_l_sup,Suprahepatic vein thrombosis,Yes,Development eligible,Temporal eligible,10034,221,989,99,9045,122,4.0,0.0,0.40444893832153694,0.0,0.09012118181186658,1.0,,,,,,,,,,
tv_l_pul,Pulmonary vein thrombosis,No,Development eligible,Temporal eligible,10034,221,987,99,9047,122,984.0,99.0,99.69604863221885,100.0,-0.07808688094430269,1.0,,,,,,,,,,
tv_l_pul,Pulmonary vein thrombosis,Yes,Development eligible,Temporal eligible,10034,221,987,99,9047,122,3.0,0.0,0.303951367781155,0.0,0.07808688094430302,1.0,,,,,,,,,,
tv_l_ove,Other vein thrombosis,No,Development eligible,Temporal eligible,10034,221,2073,100,7961,121,1991.0,92.0,96.0443801254221,92.0,0.17121877922532333,0.06489295419046412,,,,,,,,,,
tv_l_ove,Other vein thrombosis,Yes,Development eligible,Temporal eligible,10034,221,2073,100,7961,121,82.0,8.0,3.9556198745779065,8.0,-0.17121877922532364,0.06489295419046412,,,,,,,,,,
fr_cance,Active cancer,No,Development eligible,Temporal eligible,10034,221,10034,221,0,0,8981.0,213.0,89.50568068566874,96.38009049773756,-0.27086988579848814,0.0003067589394494777,,,,,,,,,,
fr_cance,Active cancer,Yes,Development eligible,Temporal eligible,10034,221,10034,221,0,0,1053.0,8.0,10.494319314331275,3.619909502262444,0.2708698857984881,0.0003067589394494777,,,,,,,,,,
fr_cirug,Recent surgery,No,Development eligible,Temporal eligible,10034,221,10034,221,0,0,9046.0,209.0,90.15347817420769,94.57013574660633,-0.1668623971543342,0.028599118412278954,,,,,,,,,,
fr_cirug,Recent surgery,Yes,Development eligible,Temporal eligible,10034,221,10034,221,0,0,988.0,12.0,9.846521825792307,5.429864253393665,0.16686239715433424,0.028599118412278954,,,,,,,,,,
