outcome,variable,selection_fraction,selected_imputations,imputations
ana_dura,ana_crea,1.0,20,20
ana_dura,ana_dime,1.0,20,20
ana_dura,ana_hemo,1.0,20,20
ana_dura,ana_leuc,1.0,20,20
ana_dura,ana_neu,1.0,20,20
ana_dura,ana_plaq,1.0,20,20
ana_dura,ana_trop,1.0,20,20
ana_dura,ant_clau,0.95,19,20
ana_dura,ant_inf,0.95,19,20
ana_dura,ant_isq,1.0,20,20
ana_dura,diabetes,1.0,20,20
ana_dura,e_con_ar,1.0,20,20
ana_dura,e_con_at,1.0,20,20
ana_dura,e_con_av,1.0,20,20
ana_dura,e_con_be,1.0,20,20
ana_dura,e_con_cu,1.0,20,20
ana_dura,e_con_ea,0.95,19,20
ana_dura,e_con_ec,0.15,3,20
ana_dura,e_con_lu,1.0,20,20
ana_dura,e_con_pp,1.0,20,20
ana_dura,e_con_pr,1.0,20,20
ana_dura,e_con_ro,1.0,20,20
ana_dura,e_con_sm,1.0,20,20
ana_dura,e_con_va,1.0,20,20
ana_dura,edad,1.0,20,20
ana_dura,fibr_aur,0.95,19,20
ana_dura,fr_antec,0.8,16,20
ana_dura,fr_antfa,1.0,20,20
ana_dura,fr_cance,1.0,20,20
ana_dura,fr_cirug,1.0,20,20
ana_dura,fr_embar,1.0,20,20
ana_dura,fr_estro,1.0,20,20
ana_dura,fr_inmov,1.0,20,20
ana_dura,fr_tvp_a,1.0,20,20
ana_dura,fr_tvs_a,0.95,19,20
ana_dura,fr_varic,0.55,11,20
ana_dura,fr_viaje,1.0,20,20
ana_dura,fum_act,1.0,20,20
ana_dura,hip_art,0.95,19,20
ana_dura,insf_car,1.0,20,20
ana_dura,peso,1.0,20,20
ana_dura,protcrea,1.0,20,20
ana_dura,raza,1.0,20,20
ana_dura,sexo,1.0,20,20
ana_dura,sin_tvp_,1.0,20,20
ana_dura,splanchnic,0.95,19,20
ana_dura,tension_,1.0,20,20
ana_dura,trat_est,0.8,16,20
ana_dura,tv_l_ein,1.0,20,20
ana_dura,tv_l_esu,1.0,20,20
ana_dura,tv_l_ova,0.9,18,20
ana_dura,tv_l_ove,0.95,19,20
ana_dura,tv_l_pul,1.0,20,20
ana_dura,tv_l_sup,0.95,19,20
ana_dura,tv_l_svc,1.0,20,20
ana_dura,tv_l_vca,0.9,18,20
ana_dura,tv_l_vre,1.0,20,20
ana_dura,tv_l_vrn,0.75,15,20
ana_dura,tv_l_yug,0.8,16,20
ana_dura,tvp_orig,0.8,16,20
ana_dura,tvp_prox,1.0,20,20
ana_dura,var171,1.0,20,20
var154,ana_crea,0.0,0,20
var154,ana_dime,1.0,20,20
var154,ana_hemo,1.0,20,20
var154,ana_leuc,0.95,19,20
var154,ana_neu,0.75,15,20
var154,ana_plaq,1.0,20,20
var154,ana_trop,0.6,12,20
var154,ant_clau,0.75,15,20
var154,ant_inf,0.6,12,20
var154,ant_isq,0.2,4,20
var154,diabetes,1.0,20,20
var154,e_con_ar,0.0,0,20
var154,e_con_at,0.0,0,20
var154,e_con_av,1.0,20,20
var154,e_con_be,1.0,20,20
var154,e_con_cu,1.0,20,20
var154,e_con_ea,1.0,20,20
var154,e_con_ec,0.0,0,20
var154,e_con_lu,1.0,20,20
var154,e_con_pp,1.0,20,20
var154,e_con_pr,1.0,20,20
var154,e_con_ro,0.0,0,20
var154,e_con_sm,1.0,20,20
var154,e_con_va,1.0,20,20
var154,edad,1.0,20,20
var154,fibr_aur,0.5,10,20
var154,fr_antec,0.0,0,20
var154,fr_antfa,0.6,12,20
var154,fr_cance,1.0,20,20
var154,fr_cirug,1.0,20,20
var154,fr_embar,0.0,0,20
var154,fr_estro,1.0,20,20
var154,fr_inmov,1.0,20,20
var154,fr_tvp_a,0.75,15,20
var154,fr_tvs_a,0.6,12,20
var154,fr_varic,0.0,0,20
var154,fr_viaje,0.2,4,20
var154,fum_act,0.3,6,20
var154,hip_art,0.25,5,20
var154,insf_car,0.05,1,20
var154,peso,1.0,20,20
var154,protcrea,1.0,20,20
var154,raza,1.0,20,20
var154,sexo,1.0,20,20
var154,sin_tvp_,1.0,20,20
var154,splanchnic,0.35,7,20
var154,tension_,1.0,20,20
var154,trat_est,0.75,15,20
var154,tv_l_ein,0.2,4,20
var154,tv_l_esu,0.25,5,20
var154,tv_l_ova,0.8,16,20
var154,tv_l_ove,0.35,7,20
var154,tv_l_pul,0.55,11,20
var154,tv_l_sup,0.45,9,20
var154,tv_l_svc,0.65,13,20
var154,tv_l_vca,0.7,14,20
var154,tv_l_vre,1.0,20,20
var154,tv_l_vrn,0.45,9,20
var154,tv_l_yug,0.8,16,20
var154,tvp_orig,0.65,13,20
var154,tvp_prox,0.75,15,20
var154,var171,0.95,19,20
var155,ana_crea,1.0,20,20
var155,ana_dime,1.0,20,20
var155,ana_hemo,1.0,20,20
var155,ana_leuc,0.95,19,20
var155,ana_neu,0.8,16,20
var155,ana_plaq,1.0,20,20
var155,ana_trop,0.95,19,20
var155,ant_clau,0.75,15,20
var155,ant_inf,1.0,20,20
var155,ant_isq,0.8,16,20
var155,diabetes,0.95,19,20
var155,e_con_ar,0.0,0,20
var155,e_con_at,1.0,20,20
var155,e_con_av,1.0,20,20
var155,e_con_be,0.0,0,20
var155,e_con_cu,0.0,0,20
var155,e_con_ea,1.0,20,20
var155,e_con_ec,1.0,20,20
var155,e_con_lu,0.0,0,20
var155,e_con_pp,1.0,20,20
var155,e_con_pr,1.0,20,20
var155,e_con_ro,0.25,5,20
var155,e_con_sm,1.0,20,20
var155,e_con_va,1.0,20,20
var155,edad,1.0,20,20
var155,fibr_aur,0.6,12,20
var155,fr_antec,0.35,7,20
var155,fr_antfa,1.0,20,20
var155,fr_cance,1.0,20,20
var155,fr_cirug,0.35,7,20
var155,fr_embar,1.0,20,20
var155,fr_estro,1.0,20,20
var155,fr_inmov,1.0,20,20
var155,fr_tvp_a,0.0,0,20
var155,fr_tvs_a,0.85,17,20
var155,fr_varic,1.0,20,20
var155,fr_viaje,1.0,20,20
var155,fum_act,0.7,14,20
var155,hip_art,0.65,13,20
var155,insf_car,1.0,20,20
var155,peso,1.0,20,20
var155,protcrea,1.0,20,20
var155,raza,1.0,20,20
var155,sexo,0.0,0,20
var155,sin_tvp_,1.0,20,20
var155,splanchnic,0.55,11,20
var155,tension_,0.75,15,20
var155,trat_est,0.15,3,20
var155,tv_l_ein,0.95,19,20
var155,tv_l_esu,0.9,18,20
var155,tv_l_ova,0.8,16,20
var155,tv_l_ove,0.8,16,20
var155,tv_l_pul,0.7,14,20
var155,tv_l_sup,0.65,13,20
var155,tv_l_svc,0.55,11,20
var155,tv_l_vca,0.6,12,20
var155,tv_l_vre,0.95,19,20
var155,tv_l_vrn,0.75,15,20
var155,tv_l_yug,0.75,15,20
var155,tvp_orig,0.65,13,20
var155,tvp_prox,1.0,20,20
var155,var171,0.75,15,20
var156,ana_crea,0.25,5,20
var156,ana_dime,1.0,20,20
var156,ana_hemo,1.0,20,20
var156,ana_leuc,0.95,19,20
var156,ana_neu,1.0,20,20
var156,ana_plaq,1.0,20,20
var156,ana_trop,0.95,19,20
var156,ant_clau,0.95,19,20
var156,ant_inf,0.8,16,20
var156,ant_isq,1.0,20,20
var156,diabetes,1.0,20,20
var156,e_con_ar,0.5,10,20
var156,e_con_at,0.0,0,20
var156,e_con_av,1.0,20,20
var156,e_con_be,1.0,20,20
var156,e_con_cu,1.0,20,20
var156,e_con_ea,1.0,20,20
var156,e_con_ec,1.0,20,20
var156,e_con_lu,1.0,20,20
var156,e_con_pp,1.0,20,20
var156,e_con_pr,1.0,20,20
var156,e_con_ro,1.0,20,20
var156,e_con_sm,1.0,20,20
var156,e_con_va,0.0,0,20
var156,edad,1.0,20,20
var156,fibr_aur,0.95,19,20
var156,fr_antec,0.95,19,20
var156,fr_antfa,0.95,19,20
var156,fr_cance,1.0,20,20
var156,fr_cirug,1.0,20,20
var156,fr_embar,1.0,20,20
var156,fr_estro,1.0,20,20
var156,fr_inmov,1.0,20,20
var156,fr_tvp_a,0.45,9,20
var156,fr_tvs_a,1.0,20,20
var156,fr_varic,1.0,20,20
var156,fr_viaje,1.0,20,20
var156,fum_act,0.6,12,20
var156,hip_art,0.65,13,20
var156,insf_car,1.0,20,20
var156,peso,1.0,20,20
var156,protcrea,1.0,20,20
var156,raza,1.0,20,20
var156,sexo,1.0,20,20
var156,sin_tvp_,1.0,20,20
var156,splanchnic,0.95,19,20
var156,tension_,1.0,20,20
var156,trat_est,0.9,18,20
var156,tv_l_ein,1.0,20,20
var156,tv_l_esu,0.5,10,20
var156,tv_l_ova,0.75,15,20
var156,tv_l_ove,0.8,16,20
var156,tv_l_pul,1.0,20,20
var156,tv_l_sup,0.8,16,20
var156,tv_l_svc,0.9,18,20
var156,tv_l_vca,0.7,14,20
var156,tv_l_vre,1.0,20,20
var156,tv_l_vrn,0.85,17,20
var156,tv_l_yug,0.75,15,20
var156,tvp_orig,0.95,19,20
var156,tvp_prox,1.0,20,20
var156,var171,1.0,20,20
var157,ana_crea,1.0,20,20
var157,ana_dime,0.9,18,20
var157,ana_hemo,1.0,20,20
var157,ana_leuc,1.0,20,20
var157,ana_neu,1.0,20,20
var157,ana_plaq,1.0,20,20
var157,ana_trop,0.85,17,20
var157,ant_clau,0.75,15,20
var157,ant_inf,0.8,16,20
var157,ant_isq,0.55,11,20
var157,diabetes,0.95,19,20
var157,e_con_ar,0.0,0,20
var157,e_con_at,1.0,20,20
var157,e_con_av,1.0,20,20
var157,e_con_be,1.0,20,20
var157,e_con_cu,1.0,20,20
var157,e_con_ea,0.2,4,20
var157,e_con_ec,1.0,20,20
var157,e_con_lu,1.0,20,20
var157,e_con_pp,1.0,20,20
var157,e_con_pr,1.0,20,20
var157,e_con_ro,1.0,20,20
var157,e_con_sm,1.0,20,20
var157,e_con_va,0.0,0,20
var157,edad,1.0,20,20
var157,fibr_aur,0.95,19,20
var157,fr_antec,1.0,20,20
var157,fr_antfa,0.75,15,20
var157,fr_cance,1.0,20,20
var157,fr_cirug,1.0,20,20
var157,fr_embar,1.0,20,20
var157,fr_estro,1.0,20,20
var157,fr_inmov,1.0,20,20
var157,fr_tvp_a,1.0,20,20
var157,fr_tvs_a,0.9,18,20
var157,fr_varic,1.0,20,20
var157,fr_viaje,1.0,20,20
var157,fum_act,0.7,14,20
var157,hip_art,0.45,9,20
var157,insf_car,0.5,10,20
var157,peso,1.0,20,20
var157,protcrea,1.0,20,20
var157,raza,1.0,20,20
var157,sexo,1.0,20,20
var157,sin_tvp_,1.0,20,20
var157,splanchnic,1.0,20,20
var157,tension_,1.0,20,20
var157,trat_est,0.5,10,20
var157,tv_l_ein,1.0,20,20
var157,tv_l_esu,1.0,20,20
var157,tv_l_ova,0.7,14,20
var157,tv_l_ove,0.7,14,20
var157,tv_l_pul,0.7,14,20
var157,tv_l_sup,0.75,15,20
var157,tv_l_svc,1.0,20,20
var157,tv_l_vca,0.8,16,20
var157,tv_l_vre,0.85,17,20
var157,tv_l_vrn,0.7,14,20
var157,tv_l_yug,0.9,18,20
var157,tvp_orig,0.7,14,20
var157,tvp_prox,1.0,20,20
var157,var171,1.0,20,20
var158,ana_crea,1.0,20,20
var158,ana_dime,0.8,16,20
var158,ana_hemo,1.0,20,20
var158,ana_leuc,0.65,13,20
var158,ana_neu,0.9,18,20
var158,ana_plaq,1.0,20,20
var158,ana_trop,0.8,16,20
var158,ant_clau,0.35,7,20
var158,ant_inf,0.15,3,20
var158,ant_isq,0.65,13,20
var158,diabetes,0.95,19,20
var158,e_con_ar,1.0,20,20
var158,e_con_at,0.0,0,20
var158,e_con_av,1.0,20,20
var158,e_con_be,0.05,1,20
var158,e_con_cu,1.0,20,20
var158,e_con_ea,1.0,20,20
var158,e_con_ec,1.0,20,20
var158,e_con_lu,0.0,0,20
var158,e_con_pp,1.0,20,20
var158,e_con_pr,1.0,20,20
var158,e_con_ro,0.0,0,20
var158,e_con_sm,1.0,20,20
var158,e_con_va,1.0,20,20
var158,edad,1.0,20,20
var158,fibr_aur,0.25,5,20
var158,fr_antec,0.95,19,20
var158,fr_antfa,0.9,18,20
var158,fr_cance,0.0,0,20
var158,fr_cirug,0.95,19,20
var158,fr_embar,0.0,0,20
var158,fr_estro,1.0,20,20
var158,fr_inmov,1.0,20,20
var158,fr_tvp_a,1.0,20,20
var158,fr_tvs_a,0.8,16,20
var158,fr_varic,1.0,20,20
var158,fr_viaje,0.95,19,20
var158,fum_act,0.4,8,20
var158,hip_art,0.55,11,20
var158,insf_car,0.95,19,20
var158,peso,1.0,20,20
var158,protcrea,0.95,19,20
var158,raza,1.0,20,20
var158,sexo,1.0,20,20
var158,sin_tvp_,1.0,20,20
var158,splanchnic,1.0,20,20
var158,tension_,1.0,20,20
var158,trat_est,0.25,5,20
var158,tv_l_ein,0.4,8,20
var158,tv_l_esu,0.35,7,20
var158,tv_l_ova,0.25,5,20
var158,tv_l_ove,0.5,10,20
var158,tv_l_pul,0.4,8,20
var158,tv_l_sup,0.45,9,20
var158,tv_l_svc,0.7,14,20
var158,tv_l_vca,0.45,9,20
var158,tv_l_vre,0.65,13,20
var158,tv_l_vrn,0.25,5,20
var158,tv_l_yug,0.4,8,20
var158,tvp_orig,0.55,11,20
var158,tvp_prox,0.65,13,20
var158,var171,1.0,20,20
var161,ana_crea,1.0,20,20
var161,ana_dime,1.0,20,20
var161,ana_hemo,1.0,20,20
var161,ana_leuc,1.0,20,20
var161,ana_neu,1.0,20,20
