candidate,auc,C,selected,outer_fold,inner_splits,analysis,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
0,0.4891617066481179,0.01,False,1,5,primary_complete_case,lasso,,,,,,,
1,0.521175993567615,0.1,False,1,5,primary_complete_case,lasso,,,,,,,
2,0.5521025772583508,1.0,False,1,5,primary_complete_case,lasso,,,,,,,
3,0.5523870932196532,10.0,True,1,5,primary_complete_case,lasso,,,,,,,
0,0.4986329460013671,0.01,False,2,5,primary_complete_case,lasso,,,,,,,
1,0.5373748947592245,0.1,True,2,5,primary_complete_case,lasso,,,,,,,
2,0.5306343199422876,1.0,False,2,5,primary_complete_case,lasso,,,,,,,
3,0.5281494324315483,10.0,False,2,5,primary_complete_case,lasso,,,,,,,
0,0.4923219429384086,0.01,False,3,5,primary_complete_case,lasso,,,,,,,
1,0.5352916008822147,0.1,False,3,5,primary_complete_case,lasso,,,,,,,
2,0.5348568639368056,1.0,False,3,5,primary_complete_case,lasso,,,,,,,
3,0.5369061536368973,10.0,True,3,5,primary_complete_case,lasso,,,,,,,
0,0.49689432936194944,0.01,False,4,5,primary_complete_case,lasso,,,,,,,
1,0.5529200741693996,0.1,False,4,5,primary_complete_case,lasso,,,,,,,
2,0.5645816901213555,1.0,False,4,5,primary_complete_case,lasso,,,,,,,
3,0.5661730111945978,10.0,True,4,5,primary_complete_case,lasso,,,,,,,
0,0.5066881499977192,0.01,False,5,5,primary_complete_case,lasso,,,,,,,
1,0.5435936896157876,0.1,False,5,5,primary_complete_case,lasso,,,,,,,
2,0.5862612548640895,1.0,False,5,5,primary_complete_case,lasso,,,,,,,
3,0.5914194921636624,10.0,True,5,5,primary_complete_case,lasso,,,,,,,
0,0.5403418668034868,,False,1,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.544584641131108,,False,1,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5502086737337963,,False,1,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5528424909307847,,True,1,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5451941337199192,,False,2,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5589774470524835,,False,2,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5437186107012436,,False,2,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5589907904636793,,True,2,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5415117826625184,,False,3,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5529070558236673,,True,3,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.536568264030812,,False,3,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5428129804704112,,False,3,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5748716564960494,,False,4,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5771859908395256,,False,4,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5585441833755379,,False,4,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5860723082458107,,True,4,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5709987080737216,,False,5,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5845428465930071,,True,5,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5780604063757983,,False,5,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5747707713083917,,False,5,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.6126871512844208,,False,1,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6268043566011872,,True,1,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6216755866822664,,False,1,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.623845127765905,,False,1,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5742828471378429,,False,2,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6076113482268908,,True,2,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5929561758130977,,False,2,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5971807696484517,,False,2,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5815159198475629,,False,3,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6080948429528551,,True,3,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5979887106357694,,False,3,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6043610035445736,,False,3,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5957090683713402,,False,4,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.6161973692298237,,True,4,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.613206814596267,,False,4,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6147184317823263,,False,4,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5888623045874568,,False,5,5,sensitivity_native_missing,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5986133648861844,,False,5,5,sensitivity_native_missing,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.6031268055811667,,False,5,5,sensitivity_native_missing,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.6057014874915483,,True,5,5,sensitivity_native_missing,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
