n,positive_n,tp,fp,tn,fn,auc,brier,log_loss,tests_avoided_per_1000,missed_positive_per_1000,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper,false_negative_rate,false_positive_rate,lr_positive,lr_negative,auc_lower,auc_upper,mean_fold_raw_auc,outcome,label,priority,analysis,validation,model,mace,ece
7209,261,217,5246,1702,44,0.5459593653566616,0.035031848562947714,0.15727458054415377,242.1972534332085,6.10348175891247,0.8314176245210728,0.7812659443890653,0.8719550458982839,0.24496257915947034,0.23499296544428405,0.2552140507840173,0.039721764598206116,0.0348579288128796,0.04523246014731996,0.9747995418098511,0.9663399741891201,0.981174437269281,0.1685823754789272,0.7550374208405296,1.10116081875189,0.6881964423193809,0.5118737275480472,0.5832735501492201,0.5495870133962388,var155,Protein S deficiency,exploratory,primary_complete_case,nested_cv,Logistic LASSO,0.10077848105524591,0.0008919927995074837
7209,261,232,5913,1035,29,0.5463547491270676,0.035046244420357475,0.15751135551965484,147.5932861700652,4.0227493411014015,0.8888888888888888,0.8449808607397141,0.9215154457824352,0.1489637305699482,0.1407857096153889,0.1575297038049424,0.03775427176566314,0.033270249909035536,0.042815865167091814,0.9727443609022557,0.9611306150832651,0.9809568003192136,0.1111111111111111,0.8510362694300518,1.0444782682225604,0.7458937198067632,0.5149950880321689,0.586210101807185,0.547968812773246,var155,Protein S deficiency,exploratory,primary_complete_case,nested_cv,Automatic integer score,0.0996184648238128,0.00174389205613936
423,15,15,365,43,0,0.5482026143790849,0.034362487951436274,0.1546571689098694,101.6548463356974,0.0,1.0,0.7961166989641515,1.0,0.1053921568627451,0.07918993961402875,0.13895579801509356,0.039473684210526314,0.02406515904100089,0.06410004053037388,1.0,0.9179901967742088,1.0,0.0,0.8946078431372549,1.117808219178082,0.0,0.42697712418300654,0.6500674019607844,0.5482026143790849,var155,Protein S deficiency,exploratory,primary_complete_case,temporal_holdout,Logistic LASSO,0.0028915780238217906,0.0028915780238217906
423,15,15,365,43,0,0.5482026143790849,0.03443635811074647,0.15524404634871652,101.6548463356974,0.0,1.0,0.7961166989641515,1.0,0.1053921568627451,0.07918993961402875,0.13895579801509356,0.039473684210526314,0.02406515904100089,0.06410004053037388,1.0,0.9179901967742088,1.0,0.0,0.8946078431372549,1.117808219178082,0.0,0.42697712418300654,0.6500674019607844,0.5482026143790849,var155,Protein S deficiency,exploratory,primary_complete_case,temporal_holdout,Automatic integer score,0.0017100994820300613,0.0017100994820300613
7209,261,240,6113,835,21,0.55752447850149,0.03493267544164028,0.15575010789972843,118.7404633097517,2.913025384935497,0.9195402298850575,0.8801355485550171,0.9467742599590259,0.12017846862406448,0.11274167933875971,0.1280350225949239,0.0377774279867779,0.03336158114374019,0.04275191987008803,0.9754672897196262,0.962787192648725,0.9838989570473275,0.08045977011494253,0.8798215313759356,1.0451440401180074,0.6695023745612224,0.5244024921309256,0.5913894155158076,0.5599178074462315,var155,Protein S deficiency,exploratory,primary_complete_case,nested_cv,XGBoost,0.020458375816809433,0.002333376783232183
423,15,12,362,46,3,0.4738562091503268,0.0344556660586092,0.15669200282409662,115.83924349881796,7.092198581560283,0.8,0.5481455128483065,0.9295245065301844,0.11274509803921569,0.0855982737835009,0.14711617680905392,0.03208556149732621,0.018447841708584867,0.05523771653479037,0.9387755102040817,0.834795121642736,0.9789598533270324,0.2,0.8872549019607843,0.901657458563536,1.7739130434782608,0.3442524509803922,0.6265931372549021,0.4738562091503268,var155,Protein S deficiency,exploratory,primary_complete_case,temporal_holdout,XGBoost,0.0589162035849634,0.0012256671756012783
21762,725,658,17557,3480,67,0.6036446130217203,0.0320841850608524,0.14414059355271813,162.9905339582759,3.0787611432772723,0.9075862068965517,0.8843031240477071,0.9265728117919894,0.16542282644863812,0.16046303291723832,0.17050478851945275,0.03612407356574252,0.03351057076460248,0.03893319366486897,0.9811107978573442,0.9760825302450385,0.9850980911881487,0.09241379310344827,0.8345771735513619,1.087480266246099,0.5586520015854142,0.5847227413768517,0.6237699881817421,0.6064924386404013,var155,Protein S deficiency,exploratory,sensitivity_native_missing,nested_cv,XGBoost,0.08167483807918414,0.0007137617979353734
1085,31,26,789,265,5,0.5883883209891657,0.02773628004129564,0.1287726300999233,248.8479262672811,4.608294930875576,0.8387096774193549,0.6736564604120674,0.9290737555663471,0.2514231499051233,0.22616706261416306,0.2784846074157039,0.03190184049079755,0.02186223628673927,0.04633345436761243,0.9814814814814815,0.9573897786668156,0.9920647017456729,0.16129032258064516,0.7485768500948766,1.120405576679341,0.6415094339622642,0.4831303176837853,0.68107516679929,0.5883883209891657,var155,Protein S deficiency,exploratory,sensitivity_native_missing,temporal_holdout,XGBoost,0.0603528790635264,0.001224787834568234
