candidate,auc,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,selected
0,0.6428423645435011,80,2,0.03,0.8,0.8,0.0,1.0,False
1,0.6570983915790557,80,3,0.08,0.8,0.8,0.1,5.0,True
2,0.6542221782942327,120,2,0.08,1.0,0.9,0.5,5.0,False
3,0.6507172847899112,120,3,0.03,0.9,1.0,0.1,10.0,False
