variable,p_value,selected,observed_n
sexo,0.1428503418341273,False,7209
ant_inf,0.7899280599930774,False,7209
ant_isq,0.016226642361636553,True,7209
ant_clau,0.6085238115189759,False,7209
fum_act,0.15997842043142124,False,7209
diabetes,0.00199003603577691,True,7209
hip_art,6.924262567996492e-06,True,7209
insf_car,0.026592814312485665,True,7209
trat_est,0.3491361561732954,False,7209
e_con_pp,0.011195423933982178,True,7209
e_con_cu,0.8823212208507801,False,7209
e_con_ec,0.08235436729857427,True,7209
e_con_lu,0.01131476871521544,True,7209
e_con_be,0.05129812660733044,True,7209
e_con_at,0.6881854899910883,False,7209
e_con_va,0.7266775791224971,False,7209
e_con_ar,0.6200881115032956,False,7209
e_con_ea,0.10615730718592542,False,7209
e_con_pr,0.016953945918360063,True,7209
e_con_ro,0.30833592813561483,False,7209
e_con_av,0.8398173828245608,False,7209
e_con_sm,0.897026183677614,False,7209
sin_tvp_,4.2588991862613356e-07,True,7209
var171,0.00015767629657884464,True,7209
tv_l_ein,1.0,False,7209
tvp_prox,0.0006727787613313828,True,7209
fr_cance,1.2875642640341436e-06,True,7209
fr_cirug,0.06621167962134285,True,7209
fr_inmov,5.452400259000694e-05,True,7209
fr_tvp_a,0.09727320516810516,True,7209
fr_viaje,0.2030645318263949,False,7209
fr_estro,0.0020684480201844245,True,7209
fr_embar,0.00288311863264219,True,7209
fr_varic,0.18442478554213756,False,7209
fr_antec,0.42078289333830177,False,7209
ana_dime,0.35284356757682156,False,7209
ana_crea,0.005460771836456921,True,7209
edad,1.7998121283865412e-13,True,7209
peso,0.2710784803652053,False,7209
tension_,6.82616395812547e-05,True,7209
ana_hemo,1.1283346694156666e-08,True,7209
ana_plaq,0.0051559090748731174,True,7209
ana_leuc,0.13436937646798178,False,7209
female_under45,0.001139335186619401,True,7209
