variable,p_value,selected,observed_n
sexo,0.0017158907711718873,True,5723
insf_car,0.6882222078472151,False,5723
e_con_pp,0.8400979867296716,False,5723
e_con_cu,0.8442665961527158,False,5723
e_con_ec,0.07357945565621317,True,5723
e_con_lu,0.8892107727544546,False,5723
e_con_be,0.5553292978592217,False,5723
e_con_at,0.5185171504108721,False,5723
e_con_va,0.13572442678432553,False,5723
e_con_ar,0.07099403919469965,True,5723
e_con_ea,0.32818153824470037,False,5723
e_con_pr,0.45594149895193903,False,5723
e_con_ro,0.709354933944653,False,5723
e_con_av,0.3239373123941285,False,5723
e_con_sm,0.9946642116954549,False,5723
sin_tvp_,0.05327626085963879,True,5723
var171,0.3192061714779669,False,5723
tv_l_ein,1.0,False,5723
tvp_prox,0.0021599323209552474,True,5723
fr_cance,0.8201518924649748,False,5723
fr_cirug,0.13077468192226438,False,5723
fr_inmov,0.07058102602944212,True,5723
fr_tvp_a,0.21024686904312298,False,5723
fr_viaje,0.055998694992260435,True,5723
fr_estro,0.09210620656838085,True,5723
fr_embar,0.002657302304310515,True,5723
fr_varic,0.5348018881874619,False,5723
fr_antec,0.8551625668576022,False,5723
ana_dime,0.01228313035121878,True,5723
ana_crea,0.4158372790333079,False,5723
edad,0.012995871323670118,True,5723
peso,0.22535708806767168,False,5723
tension_,0.001821142160986616,True,5723
ana_hemo,0.00035973873173831856,True,5723
ana_plaq,0.9082768090186341,False,5723
ana_leuc,0.04746699916363655,True,5723
female_under45,0.0002432909149600437,True,5723
