candidate,auc,C,selected,outer_fold,inner_splits,analysis,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
0,0.5136516480742406,0.01,False,1,5,primary_complete_case,lasso,,,,,,,
1,0.5324421120548629,0.1,False,1,5,primary_complete_case,lasso,,,,,,,
2,0.5574860223139619,1.0,False,1,5,primary_complete_case,lasso,,,,,,,
3,0.5584893040481331,10.0,True,1,5,primary_complete_case,lasso,,,,,,,
0,0.504503899871644,0.01,False,2,5,primary_complete_case,lasso,,,,,,,
1,0.5579024357133214,0.1,True,2,5,primary_complete_case,lasso,,,,,,,
2,0.5514228601804306,1.0,False,2,5,primary_complete_case,lasso,,,,,,,
3,0.5502899259226494,10.0,False,2,5,primary_complete_case,lasso,,,,,,,
0,0.5104179616030238,0.01,False,3,5,primary_complete_case,lasso,,,,,,,
1,0.5519963819319293,0.1,False,3,5,primary_complete_case,lasso,,,,,,,
2,0.5577849857801689,1.0,True,3,5,primary_complete_case,lasso,,,,,,,
3,0.5563687226252043,10.0,False,3,5,primary_complete_case,lasso,,,,,,,
0,0.5301782331459222,0.01,False,4,5,primary_complete_case,lasso,,,,,,,
1,0.5657944549012215,0.1,True,4,5,primary_complete_case,lasso,,,,,,,
2,0.5616480218446971,1.0,False,4,5,primary_complete_case,lasso,,,,,,,
3,0.5595529499767384,10.0,False,4,5,primary_complete_case,lasso,,,,,,,
0,0.5098470915834035,0.01,False,5,5,primary_complete_case,lasso,,,,,,,
1,0.5697306298722689,0.1,False,5,5,primary_complete_case,lasso,,,,,,,
2,0.5884614152911466,1.0,True,5,5,primary_complete_case,lasso,,,,,,,
3,0.5869410234356891,10.0,False,5,5,primary_complete_case,lasso,,,,,,,
0,0.566634914509414,,False,1,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5761369191662274,,False,1,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5644537014651498,,False,1,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5781587358726415,,True,1,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5660362249150966,,False,2,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5741665821383057,,True,2,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.5645856419744707,,False,2,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5738618987078219,,False,2,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
0,0.5679283890979007,,True,3,5,primary_complete_case,xgb,80.0,2.0,0.03,0.8,0.8,0.0,1.0
1,0.5660903739102515,,False,3,5,primary_complete_case,xgb,80.0,3.0,0.08,0.8,0.8,0.1,5.0
2,0.551828214982188,,False,3,5,primary_complete_case,xgb,120.0,2.0,0.08,1.0,0.9,0.5,5.0
3,0.5662200264338616,,False,3,5,primary_complete_case,xgb,120.0,3.0,0.03,0.9,1.0,0.1,10.0
