variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
fr_embar,Pregnancy,No,Complete cases,Excluded for missing predictors,5825,4470,5825,4470,0,0,5716.0,4414.0,98.12875536480686,98.74720357941834,-0.04989002307403734,0.01397661014290575,,,,,,,,,,
fr_embar,Pregnancy,Yes,Complete cases,Excluded for missing predictors,5825,4470,5825,4470,0,0,109.0,56.0,1.871244635193133,1.2527964205816555,0.049890023074037386,0.01397661014290575,,,,,,,,,,
fr_varic,Varicose veins,No,Complete cases,Excluded for missing predictors,5825,4470,5825,4224,0,246,4496.0,3538.0,77.18454935622317,83.7594696969697,-0.166432387287232,2.620558149225094e-16,,,,,,,,,,
fr_varic,Varicose veins,Yes,Complete cases,Excluded for missing predictors,5825,4470,5825,4224,0,246,1329.0,686.0,22.815450643776824,16.240530303030305,0.16643238728723184,2.620558149225094e-16,,,,,,,,,,
fr_antec,Recent delivery,No,Complete cases,Excluded for missing predictors,5825,4470,5825,4423,0,47,5758.0,4362.0,98.84978540772532,98.62084557992313,0.020488812196533132,0.3235978579133728,,,,,,,,,,
fr_antec,Recent delivery,Yes,Complete cases,Excluded for missing predictors,5825,4470,5825,4423,0,47,67.0,61.0,1.1502145922746783,1.3791544200768708,-0.020488812196533524,0.3235978579133728,,,,,,,,,,
ana_dime,Recorded categorical D-dimer,Negative,Complete cases,Excluded for missing predictors,5825,4470,5825,4007,0,463,169.0,179.0,2.9012875536480687,4.4671824307461945,-0.08319853917686729,0.0001975749841917244,,,,,,,,,,
ana_dime,Recorded categorical D-dimer,Not performed,Complete cases,Excluded for missing predictors,5825,4470,5825,4007,0,463,1443.0,980.0,24.7725321888412,24.457199900174693,0.007320314808235091,0.0001975749841917244,,,,,,,,,,
ana_dime,Recorded categorical D-dimer,Positive,Complete cases,Excluded for missing predictors,5825,4470,5825,4007,0,463,4213.0,2848.0,72.32618025751073,71.07561766907912,0.027765062641708468,0.0001975749841917244,,,,,,,,,,
ana_crea,Recorded creatinine category,Elevated,Complete cases,Excluded for missing predictors,5825,4470,5825,4192,0,278,553.0,437.0,9.493562231759658,10.424618320610687,-0.031095572598725273,0.12679377234820882,,,,,,,,,,
ana_crea,Recorded creatinine category,Normal,Complete cases,Excluded for missing predictors,5825,4470,5825,4192,0,278,5272.0,3755.0,90.50643776824035,89.57538167938931,0.03109557259872541,0.12679377234820882,,,,,,,,,,
ana_trop,Recorded troponin category,Elevated,Complete cases,Excluded for missing predictors,5825,4470,1402,1518,4423,2952,298.0,411.0,21.255349500713265,27.07509881422925,-0.13626374315594092,0.00028198795291068226,,,,,,,,,,
ana_trop,Recorded troponin category,Normal,Complete cases,Excluded for missing predictors,5825,4470,1402,1518,4423,2952,1104.0,1107.0,78.74465049928673,72.92490118577075,0.13626374315594078,0.00028198795291068226,,,,,,,,,,
edad,Age (years),50–69,Complete cases,Excluded for missing predictors,5825,4470,5825,4470,0,0,1980.0,1523.0,33.99141630901287,34.07158836689038,-0.001692054428933864,0.9689987395908445,,,,,,,,,,
edad,Age (years),<50,Complete cases,Excluded for missing predictors,5825,4470,5825,4470,0,0,2369.0,1824.0,40.66952789699571,40.80536912751678,-0.002764680420224442,0.9689987395908445,,,,,,,,,,
edad,Age (years),≥70,Complete cases,Excluded for missing predictors,5825,4470,5825,4470,0,0,1476.0,1123.0,25.339055793991417,25.123042505592842,0.00497340140710988,0.9689987395908445,,,,,,,,,,
peso,Weight (kg),50–100,Complete cases,Excluded for missing predictors,5825,4470,5825,4466,0,4,5298.0,4079.0,90.95278969957081,91.3345275414241,-0.013436452195816654,0.11003622837202112,,,,,,,,,,
peso,Weight (kg),<50,Complete cases,Excluded for missing predictors,5825,4470,5825,4466,0,4,64.0,65.0,1.0987124463519313,1.4554411106135245,-0.031774249512867704,0.11003622837202112,,,,,,,,,,
peso,Weight (kg),>100,Complete cases,Excluded for missing predictors,5825,4470,5825,4466,0,4,463.0,322.0,7.948497854077254,7.210031347962382,0.027904537244262066,0.11003622837202112,,,,,,,,,,
tension_,Systolic BP (mmHg),<100,Complete cases,Excluded for missing predictors,5825,4470,5825,4020,0,450,208.0,213.0,3.5708154506437766,5.298507462686567,-0.08399792924604553,3.871512856411752e-05,,,,,,,,,,
tension_,Systolic BP (mmHg),≥100,Complete cases,Excluded for missing predictors,5825,4470,5825,4020,0,450,5617.0,3807.0,96.42918454935622,94.70149253731344,0.08399792924604564,3.871512856411752e-05,,,,,,,,,,
ana_hemo,Hemoglobin (g/dL),<12,Complete cases,Excluded for missing predictors,5825,4470,5825,4459,0,11,976.0,855.0,16.755364806866954,19.174702848172238,-0.06305198242532757,0.0015099399859450362,,,,,,,,,,
ana_hemo,Hemoglobin (g/dL),≥12,Complete cases,Excluded for missing predictors,5825,4470,5825,4459,0,11,4849.0,3604.0,83.24463519313305,80.82529715182777,0.06305198242532735,0.0015099399859450362,,,,,,,,,,
ana_plaq,Platelets (10^9/L),144–400,Complete cases,Excluded for missing predictors,5825,4470,5825,4459,0,11,4974.0,3782.0,85.39055793991416,84.8172235927338,0.016103152468717314,6.493426703358638e-05,,,,,,,,,,
ana_plaq,Platelets (10^9/L),<144,Complete cases,Excluded for missing predictors,5825,4470,5825,4459,0,11,594.0,401.0,10.197424892703863,8.993047768557973,0.04090061117253771,6.493426703358638e-05,,,,,,,,,,
