variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
e_con_ec,Crohn disease,Yes,Development eligible,Temporal eligible,2098,141,2098,141,0,0,7.0,1.0,0.3336510962821735,0.7092198581560284,-0.0521641444609512,0.40619305870830913,,,,,,,,,,
e_con_lu,Known lupus,No,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2090.0,141.0,99.61868446139181,100.0,-0.08749572785196112,1.0,,,,,,,,,,
e_con_lu,Known lupus,Yes,Development eligible,Temporal eligible,2098,141,2098,141,0,0,8.0,0.0,0.3813155386081983,0.0,0.08749572785196141,1.0,,,,,,,,,,
e_con_be,Behcet disease,No,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2096.0,141.0,99.90467111534795,100.0,-0.043685202833051114,1.0,,,,,,,,,,
e_con_be,Behcet disease,Yes,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2.0,0.0,0.09532888465204957,0.0,0.0436852028330519,1.0,,,,,,,,,,
e_con_at,Temporal arteritis,No,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2098.0,141.0,100.0,100.0,,,,,,,,,,,,
e_con_va,Other vasculitis,No,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2083.0,141.0,99.28503336510963,100.0,-0.12000960115215333,0.6186633088372104,,,,,,,,,,
e_con_va,Other vasculitis,Yes,Development eligible,Temporal eligible,2098,141,2098,141,0,0,15.0,0.0,0.7149666348903718,0.0,0.12000960115215363,0.6186633088372104,,,,,,,,,,
e_con_ar,Rheumatoid arthritis,No,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2079.0,141.0,99.09437559580553,100.0,-0.13519622138957246,0.6276564226427579,,,,,,,,,,
e_con_ar,Rheumatoid arthritis,Yes,Development eligible,Temporal eligible,2098,141,2098,141,0,0,19.0,0.0,0.905624404194471,0.0,0.1351962213895724,0.6276564226427579,,,,,,,,,,
e_con_ea,Ankylosing spondylitis,No,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2095.0,141.0,99.85700667302193,100.0,-0.053515995868921085,1.0,,,,,,,,,,
e_con_ea,Ankylosing spondylitis,Yes,Development eligible,Temporal eligible,2098,141,2098,141,0,0,3.0,0.0,0.14299332697807435,0.0,0.05351599586892205,1.0,,,,,,,,,,
e_con_pr,Polymyalgia rheumatica,No,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2094.0,141.0,99.80934223069589,100.0,-0.061809702721541994,1.0,,,,,,,,,,
e_con_pr,Polymyalgia rheumatica,Yes,Development eligible,Temporal eligible,2098,141,2098,141,0,0,4.0,0.0,0.19065776930409914,0.0,0.0618097027215413,1.0,,,,,,,,,,
e_con_ro,Rendu-Osler disease,No,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2098.0,141.0,100.0,100.0,,,,,,,,,,,,
e_con_av,Vena cava agenesis,No,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2096.0,141.0,99.90467111534795,100.0,-0.043685202833051114,1.0,,,,,,,,,,
e_con_av,Vena cava agenesis,Yes,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2.0,0.0,0.09532888465204957,0.0,0.0436852028330519,1.0,,,,,,,,,,
e_con_sm,May-Thurner syndrome,No,Development eligible,Temporal eligible,2098,141,2098,141,0,0,2090.0,140.0,99.61868446139181,99.29078014184397,0.04453866420200844,0.4437218703273716,,,,,,,,,,
e_con_sm,May-Thurner syndrome,Yes,Development eligible,Temporal eligible,2098,141,2098,141,0,0,8.0,1.0,0.3813155386081983,0.7092198581560284,-0.04453866420200792,0.4437218703273716,,,,,,,,,,
sin_tvp_,Index VTE presentation,Asintomático,Development eligible,Temporal eligible,2098,141,2098,141,0,0,90.0,3.0,4.28979980934223,2.127659574468085,0.12291867537759613,0.6496369372508695,,,,,,,,,,
sin_tvp_,Index VTE presentation,DVT,Development eligible,Temporal eligible,2098,141,2098,141,0,0,1047.0,73.0,49.904671115347945,51.77304964539007,-0.03737935739549454,0.6496369372508695,,,,,,,,,,
sin_tvp_,Index VTE presentation,PE,Development eligible,Temporal eligible,2098,141,2098,141,0,0,650.0,43.0,30.981887511916113,30.49645390070922,0.010520731451187596,0.6496369372508695,,,,,,,,,,
sin_tvp_,Index VTE presentation,PE+DVT,Development eligible,Temporal eligible,2098,141,2098,141,0,0,311.0,22.0,14.823641563393707,15.602836879432624,-0.02169686658074053,0.6496369372508695,,,,,,,,,,
var171,Syncope,No,Development eligible,Temporal eligible,2098,141,2066,140,32,1,1945.0,130.0,94.14327202323331,92.85714285714286,0.05218868572040834,0.464313487610125,,,,,,,,,,
