iteration,variable,missing_n,imputed_mean,imputed_sd,imputation
1,raza,539,2.8608534322820036,0.6952849516900685,1
1,ant_inf,35,0.0,0.0,1
1,ant_isq,34,0.029411764705882353,0.1689577248981773,1
1,ant_clau,36,0.0,0.0,1
1,fum_act,44,0.3409090909090909,0.47401485487759565,1
1,diabetes,34,0.058823529411764705,0.23529411764705885,1
1,hip_art,35,0.4,0.48989794855663565,1
1,insf_car,7,0.0,0.0,1
1,fibr_aur,236,0.012711864406779662,0.11202800056273124,1
1,trat_est,40,0.125,0.33071891388307384,1
1,var171,27,0.0,0.0,1
1,tv_l_esu,449,0.013363028953229399,0.11482359692338748,1
1,tvp_orig,1607,0.21717485998755445,0.4123226166206998,1
1,tv_l_ein,343,0.760932944606414,0.42651377283626624,1
1,tvp_prox,679,0.8895434462444771,0.31345797722817026,1
1,tv_l_svc,606,0.01485148514851485,0.12095833388980808,1
1,tv_l_vre,621,0.01288244766505636,0.11276741642519546,1
1,tv_l_vrn,611,0.016366612111292964,0.1268808343261166,1
1,tv_l_vca,1149,0.04960835509138381,0.21713444267667664,1
1,tv_l_yug,1162,0.012908777969018933,0.11288109416711688,1
1,tv_l_ova,1163,0.0008598452278589854,0.029310508252896494,1
1,tv_l_sup,1161,0.009474590869939707,0.09687529611715756,1
1,tv_l_pul,1162,0.0068846815834767644,0.08268786333538254,1
1,tv_l_ove,611,0.057283142389525366,0.23238283927068865,1
1,fr_antfa,864,0.13657407407407407,0.34339714088047296,1
1,fr_tvs_a,322,0.031055900621118012,0.17346882041948997,1
1,fr_viaje,11,0.09090909090909091,0.2874797872880344,1
1,fr_estro,15,0.0,0.0,1
1,fr_varic,34,0.2647058823529412,0.44117647058823534,1
1,fr_antec,1,1.0,0.0,1
1,ana_dime,237,1.5232067510548524,0.5241926195604825,1
1,ana_crea,64,0.890625,0.3121091305537215,1
1,ana_trop,1071,0.8860877684407096,0.3177046349370324,1
1,tension_,78,133.1153846153846,18.430730169899963,1
1,ana_hemo,5,13.9,3.0958036113422964,1
1,ana_plaq,5,247.8,64.90115561374851,1
1,ana_leuc,19,7.949999999999999,2.9250173188870985,1
1,ana_neu,1297,6.933970701619121,3.1031656494159696,1
1,protcrea,1646,25.096465370595382,28.984847376572667,1
1,splanchnic,588,0.02040816326530612,0.14139190265868387,1
2,raza,539,2.8905380333951762,0.7110860073000669,1
2,ant_inf,35,0.05714285714285714,0.2321153829895989,1
2,ant_isq,34,0.0,0.0,1
2,ant_clau,36,0.08333333333333333,0.27638539919628335,1
2,fum_act,44,0.1590909090909091,0.36576083953252464,1
2,diabetes,34,0.14705882352941177,0.3541645464350675,1
2,hip_art,35,0.2571428571428571,0.4370588154508102,1
2,insf_car,7,0.0,0.0,1
2,fibr_aur,236,0.00423728813559322,0.06495639710489784,1
2,trat_est,40,0.225,0.41758232721225164,1
2,var171,27,0.0,0.0,1
2,tv_l_esu,449,0.013363028953229399,0.11482359692338748,1
2,tvp_orig,1607,0.14187927815805848,0.3489262795884064,1
2,tv_l_ein,343,0.7201166180758017,0.4489417272284585,1
2,tvp_prox,679,0.8807069219440353,0.32413305845578017,1
2,tv_l_svc,606,0.0049504950495049506,0.07018538058791003,1
2,tv_l_vre,621,0.00966183574879227,0.09781863155225402,1
2,tv_l_vrn,611,0.0016366612111292963,0.040422550033481074,1
2,tv_l_vca,1149,0.03742384682332463,0.18979805718781464,1
2,tv_l_yug,1162,0.02495697074010327,0.15599397536950232,1
2,tv_l_ova,1163,0.0,0.0,1
2,tv_l_sup,1161,0.0068906115417743325,0.08272321931812555,1
2,tv_l_pul,1162,0.0,0.0,1
2,tv_l_ove,611,0.060556464811783964,0.23851494582370122,1
2,fr_antfa,864,0.16435185185185186,0.3705945502091454,1
2,fr_tvs_a,322,0.059006211180124224,0.23563632619418173,1
2,fr_viaje,11,0.09090909090909091,0.2874797872880344,1
2,fr_estro,15,0.06666666666666667,0.24944382578492946,1
2,fr_varic,34,0.029411764705882353,0.16895772489817729,1
2,fr_antec,1,0.0,0.0,1
2,ana_dime,237,1.4261603375527425,0.5661246076070909,1
2,ana_crea,64,0.90625,0.2914805954090255,1
2,ana_trop,1071,0.8366013071895425,0.36972903591453465,1
2,tension_,78,129.73076923076923,19.528199909770905,1
