outcome,kind,candidate,selected,log_loss,auc,C,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
var155,xgb,2,False,0.14143017226164575,0.5955107041608261,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var155,xgb,3,False,0.14156403601616196,0.5970614782606869,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var154,lasso,0,False,0.08134595199849368,0.46987928765453707,0.01,,,,,,,
var154,lasso,1,True,0.07995578833637229,0.5469362705374141,0.1,,,,,,,
var154,lasso,2,False,0.0810636505639134,0.5571959555097428,1.0,,,,,,,
var154,lasso,3,False,0.08215938719676011,0.5527488746696402,10.0,,,,,,,
var154,xgb,0,False,0.08230985828668469,0.5135129323850953,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var154,xgb,1,False,0.08013800652776841,0.5443822082190715,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var154,xgb,2,True,0.0800865184077989,0.5492040029994404,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var154,xgb,3,False,0.0804321035309964,0.5229335088049133,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var158,lasso,0,False,0.06536925506442463,0.4831363146828042,0.01,,,,,,,
var158,lasso,1,True,0.06352627865466492,0.5866728208284185,0.1,,,,,,,
var158,lasso,2,False,0.06518018343829944,0.56162452775356,1.0,,,,,,,
var158,lasso,3,False,0.06606386365294337,0.5569502139710868,10.0,,,,,,,
var158,xgb,0,False,0.06635219644347086,0.5882164897345163,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var158,xgb,1,False,0.06365677945476737,0.582753531520135,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var158,xgb,2,True,0.0636269083725161,0.5850724538580325,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var158,xgb,3,False,0.06386485765617146,0.5831113846294111,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
