outcome,kind,candidate,selected,log_loss,auc,C,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
ana_dura,lasso,0,False,0.6538769453828924,0.5768031615817126,0.01,,,,,,,
ana_dura,lasso,1,True,0.651839223978484,0.5813688852968353,0.1,,,,,,,
ana_dura,lasso,2,False,0.6522103755597499,0.5804369262987035,1.0,,,,,,,
ana_dura,lasso,3,False,0.6523313520846382,0.5800442437090976,10.0,,,,,,,
ana_dura,xgb,0,False,0.6543482440291362,0.5751023472996275,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
ana_dura,xgb,1,True,0.6500154880749686,0.5832951334168148,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
ana_dura,xgb,2,False,0.6511803359157521,0.5806228347448006,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
ana_dura,xgb,3,False,0.6514299188927446,0.5806167014943493,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var156,lasso,0,False,0.29266527056979424,0.6484395799234792,0.01,,,,,,,
var156,lasso,1,True,0.28869728033855524,0.6622680777379272,0.1,,,,,,,
var156,lasso,2,False,0.28920082213489434,0.6618287373004355,1.0,,,,,,,
var156,lasso,3,False,0.2897673767231883,0.6611689792604651,10.0,,,,,,,
var156,xgb,0,False,0.2926916444461412,0.6483490050948947,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var156,xgb,1,True,0.2890530256391524,0.6593920643360844,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var156,xgb,2,False,0.2896276835133686,0.6560372203562767,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var156,xgb,3,False,0.2901460173918637,0.6552598604759807,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var157,lasso,0,False,0.25718968001739995,0.5780620198080684,0.01,,,,,,,
var157,lasso,1,True,0.255075522255549,0.5951173484701338,0.1,,,,,,,
var157,lasso,2,False,0.2555899503058216,0.594206387956846,1.0,,,,,,,
var157,lasso,3,False,0.2559575698957491,0.5934514283817378,10.0,,,,,,,
var157,xgb,0,False,0.2564854685221391,0.5826268996992018,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var157,xgb,1,True,0.2551673095115569,0.5906710500394499,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var157,xgb,2,False,0.25533821711665655,0.5897158530346678,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var157,xgb,3,False,0.25565606313405387,0.5855279095459335,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var161,lasso,0,False,0.27799503344446685,0.578333360034391,0.01,,,,,,,
var161,lasso,1,True,0.27436371614427296,0.6078102373635019,0.1,,,,,,,
var161,lasso,2,False,0.2750944611785106,0.6059980365822291,1.0,,,,,,,
var161,lasso,3,False,0.27549656807147593,0.6052025675737016,10.0,,,,,,,
var161,xgb,0,False,0.2765548922085643,0.5966182220477753,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var161,xgb,1,True,0.27378395719825727,0.6095318325558875,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var161,xgb,2,False,0.2741563396693404,0.6092918122986852,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var161,xgb,3,False,0.27491100450638495,0.6033690059463256,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var155,lasso,0,False,0.14373980195706573,0.5516377775863047,0.01,,,,,,,
var155,lasso,1,True,0.14112431938065467,0.6024542758851134,0.1,,,,,,,
var155,lasso,2,False,0.14260224587439854,0.5859796193282237,1.0,,,,,,,
var155,lasso,3,False,0.1433473686870617,0.582321164753921,10.0,,,,,,,
var155,xgb,0,False,0.14284392598930903,0.593354163032765,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var155,xgb,1,True,0.14127080593742433,0.6003372435866451,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
