Model,Threshold,Decision_Rule,Selected_Threshold,TP,FP,TN,FN,Sensitivity,Specificity,PPV,NPV,Predicted_Positive_Count,Predicted_Negative_Count
Automatic Integer Score,0.0,score >= threshold,False,1559,29141,0,0,1.0,0.0,0.05078175895765472,,30700,0
Automatic Integer Score,1.0,score >= threshold,True,1466,17746,11395,93,0.9403463758819757,0.39102982052777874,0.07630647511971685,0.9919045961002786,19212,11488
Automatic Integer Score,2.0,score >= threshold,False,1357,11854,17287,202,0.8704297626683771,0.5932191757317868,0.10271743244266142,0.9884498827834639,13211,17489
Automatic Integer Score,3.0,score >= threshold,False,1319,10730,18411,240,0.8460551635663887,0.6317902611440925,0.10946966553240933,0.9871320572623452,12049,18651
Automatic Integer Score,4.0,score >= threshold,False,1101,7396,21745,458,0.7062219371391918,0.7461995127140455,0.12957514416853008,0.9793721569157321,8497,22203
Automatic Integer Score,5.0,score >= threshold,False,883,4430,24711,676,0.5663887107119948,0.8479805085618202,0.16619612271786185,0.973372198369244,5313,25387
Automatic Integer Score,6.0,score >= threshold,False,695,3129,26012,864,0.44579858883899937,0.8926255104491952,0.1817468619246862,0.9678523589819914,3824,26876
Automatic Integer Score,7.0,score >= threshold,False,559,2100,27041,1000,0.35856318152661965,0.9279365841940908,0.21022940955246333,0.9643379337398809,2659,28041
Automatic Integer Score,8.0,score >= threshold,False,396,1496,27645,1163,0.25400898011545864,0.9486633952163618,0.20930232558139536,0.9596292696473202,1892,28808
Automatic Integer Score,9.0,score >= threshold,False,275,983,28158,1284,0.1763951250801796,0.9662674582203767,0.21860095389507153,0.9563888322804157,1258,29442
Automatic Integer Score,10.0,score >= threshold,False,148,591,28550,1411,0.0949326491340603,0.9797192958374799,0.20027063599458728,0.9529054437435333,739,29961
Automatic Integer Score,11.0,score >= threshold,False,85,299,28842,1474,0.05452212957023733,0.98973954222573,0.22135416666666666,0.951378809869376,384,30316
Automatic Integer Score,12.0,score >= threshold,False,41,126,29015,1518,0.026298909557408594,0.9956761950516454,0.24550898203592814,0.9502833000360266,167,30533
Automatic Integer Score,13.0,score >= threshold,False,19,62,29079,1540,0.012187299550994226,0.9978724134381113,0.2345679012345679,0.9497044318886966,81,30619
Automatic Integer Score,14.0,score >= threshold,False,7,24,29117,1552,0.004490057729313663,0.9991764181050753,0.22580645161290322,0.9493951547164889,31,30669
Automatic Integer Score,15.0,score >= threshold,False,1,7,29134,1558,0.0006414368184733803,0.9997597886139803,0.125,0.9492375863417177,8,30692
Association-Guided Integer Score,0.0,score <= threshold,False,948,16858,12283,611,0.6080821039127646,0.42150235063999175,0.053240480736830284,0.9526136187373972,17806,12894
Association-Guided Integer Score,1.0,score <= threshold,True,1527,28445,696,32,0.9794740218088518,0.02388387495281562,0.050947551047644465,0.9560439560439561,29972,728
Association-Guided Integer Score,9.0,score <= threshold,False,1529,28536,605,30,0.9807568954457986,0.020761126934559556,0.05085647763179777,0.952755905511811,30065,635
Association-Guided Integer Score,10.0,score <= threshold,False,1531,28627,514,28,0.9820397690827454,0.01763837891630349,0.050765965912858944,0.948339483394834,30158,542
Association-Guided Integer Score,16.0,score <= threshold,False,1534,28701,440,25,0.9839640795381654,0.015099001406952403,0.05073590210021498,0.946236559139785,30235,465
Association-Guided Integer Score,17.0,score <= threshold,False,1539,28771,370,20,0.9871712636305324,0.012696887546755431,0.05077532167601451,0.9487179487179487,30310,390
Association-Guided Integer Score,22.0,score <= threshold,False,1549,28868,273,10,0.9935856318152662,0.009368244054768196,0.05092546930992537,0.9646643109540636,30417,283
Association-Guided Integer Score,23.0,score <= threshold,False,1552,28947,194,7,0.9955099422706863,0.006657286983974469,0.05088691432505984,0.9651741293532339,30499,201
Association-Guided Integer Score,166.0,score <= threshold,False,1558,29052,89,1,0.9993585631815266,0.003054116193679009,0.050898399215942504,0.9888888888888889,30610,90
Association-Guided Integer Score,167.0,score <= threshold,False,1559,29141,0,0,1.0,0.0,0.05078175895765472,,30700,0
