outcome,kind,candidate,selected,log_loss,auc,C,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
ana_dura,lasso,0,False,0.6539543510868736,0.5749594807238394,0.01,,,,,,,
ana_dura,lasso,1,True,0.6513872010596012,0.5810194447566596,0.1,,,,,,,
ana_dura,lasso,2,False,0.6517790241820781,0.5805380324828594,1.0,,,,,,,
ana_dura,lasso,3,False,0.6520405943914045,0.5802712431156569,10.0,,,,,,,
ana_dura,xgb,0,False,0.6542488134710326,0.572357473024615,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
ana_dura,xgb,1,True,0.6508495815686496,0.5783293806901202,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
ana_dura,xgb,2,False,0.6517579836541958,0.5762147704282343,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
ana_dura,xgb,3,False,0.6518011121289746,0.5768330687310329,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var156,lasso,0,False,0.29656585747476805,0.6433699632912371,0.01,,,,,,,
var156,lasso,1,True,0.2923365694578562,0.65897936648489,0.1,,,,,,,
var156,lasso,2,False,0.29290640250545336,0.6571710324590286,1.0,,,,,,,
var156,lasso,3,False,0.2935315190837723,0.6561237628822157,10.0,,,,,,,
var156,xgb,0,False,0.2965330654552961,0.6434463204790575,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var156,xgb,1,True,0.2928421746229822,0.6555521486359427,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var156,xgb,2,False,0.2932794025238768,0.6544180742498329,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var156,xgb,3,False,0.29418991357536556,0.6498002852578768,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var157,lasso,0,False,0.25414660509336573,0.580177962442666,0.01,,,,,,,
var157,lasso,1,True,0.25134153651385116,0.6072067030017083,0.1,,,,,,,
var157,lasso,2,False,0.25219775169320496,0.6034400065077686,1.0,,,,,,,
var157,lasso,3,False,0.2527216402963514,0.6017313167593814,10.0,,,,,,,
var157,xgb,0,False,0.25332504008000784,0.5882160078593822,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var157,xgb,1,False,0.2519207248131201,0.5987115619270504,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var157,xgb,2,True,0.25179347919539485,0.5996938845747111,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var157,xgb,3,False,0.2525015482092789,0.5930701024347815,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var161,lasso,0,False,0.2767569149754208,0.5896309616857458,0.01,,,,,,,
var161,lasso,1,True,0.27369517663669096,0.6050648887440285,0.1,,,,,,,
var161,lasso,2,False,0.2746673739331517,0.6024704915519368,1.0,,,,,,,
var161,lasso,3,False,0.2752450404870112,0.601670617566153,10.0,,,,,,,
var161,xgb,0,False,0.2755755743532027,0.5982807467003467,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var161,xgb,1,True,0.2732717969672976,0.6057514937830961,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var161,xgb,2,False,0.27355424582456755,0.6053318335640259,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var161,xgb,3,False,0.2741233289294173,0.603644526083263,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var155,lasso,0,False,0.14414009979776127,0.5583320008699493,0.01,,,,,,,
var155,lasso,1,True,0.14212796280798273,0.5933234840990782,0.1,,,,,,,
var155,lasso,2,False,0.14349395320837674,0.5848804306521658,1.0,,,,,,,
var155,lasso,3,False,0.1445224552220073,0.5790237697855106,10.0,,,,,,,
var155,xgb,0,False,0.14337296982235104,0.590733793082939,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var155,xgb,1,True,0.14174380433195127,0.6006860641921695,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var155,xgb,2,False,0.14197327059936085,0.5943920726125005,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var155,xgb,3,False,0.14202849203074383,0.5965831764482045,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var154,lasso,0,False,0.08307216597364031,0.44203809187876286,0.01,,,,,,,
var154,lasso,1,True,0.08193825274213433,0.5356456316172413,0.1,,,,,,,
var154,lasso,2,False,0.08277667480479652,0.5629811449646122,1.0,,,,,,,
var154,lasso,3,False,0.08363970861650039,0.5580903363597727,10.0,,,,,,,
var154,xgb,0,False,0.08407213552944329,0.5002390514136483,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var154,xgb,1,True,0.08175435387542773,0.5535165421681847,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var154,xgb,2,False,0.08199156053299242,0.5356682830292882,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var154,xgb,3,False,0.08219375109269803,0.5268518266836163,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
var158,lasso,0,False,0.06109178710270131,0.4859452957601466,0.01,,,,,,,
var158,lasso,1,True,0.059228847094265,0.5702202719221685,0.1,,,,,,,
var158,lasso,2,False,0.06052929617895284,0.5595614122515564,1.0,,,,,,,
var158,lasso,3,False,0.061347835011050914,0.5551421879895091,10.0,,,,,,,
var158,xgb,0,False,0.06226862669244708,0.5916258603328902,,80.0,2.0,0.03,0.8,0.8,0.0,1.0
var158,xgb,1,True,0.05894858858282591,0.6008679476921328,,80.0,3.0,0.08,0.8,0.8,0.1,5.0
var158,xgb,2,False,0.059153531059147946,0.5808139283963336,,120.0,2.0,0.08,1.0,0.9,0.5,5.0
var158,xgb,3,False,0.05950753362808032,0.5944482272648097,,120.0,3.0,0.03,0.9,1.0,0.1,10.0
